model,language,template_id,triple,residualization,subspace_rank,relative_signed_permutation_norm,ratio_to_exact_null_mean,exact_empirical_p
bert-base-multilingual-cased,ar,0,NQM,raw,0,0.33905377984046936,0.5471338262192195,0.15789473684210525
bert-base-multilingual-cased,ar,0,NQM,remove_sign,1,0.3382396174526231,0.5461407793965029,0.2631578947368421
bert-base-multilingual-cased,ar,0,NQM,remove_triple_label,4,0.35264438026837003,0.5344602262713546,0.3684210526315789
bert-base-multilingual-cased,ar,0,NQM,remove_endpoint_position,6,0.36074522115555857,0.5299067525254135,0.3684210526315789
bert-base-multilingual-cased,ar,0,NQM,remove_triple_plus_position_plus_sign,11,0.3600879657244612,0.5249520332468209,0.3684210526315789
bert-base-multilingual-cased,ar,0,NQT,raw,0,0.4141277074813843,0.6679041581850121,0.5789473684210527
bert-base-multilingual-cased,ar,0,NQT,remove_sign,1,0.41298425318752136,0.6668713848491346,0.5789473684210527
bert-base-multilingual-cased,ar,0,NQT,remove_triple_label,4,0.44500333953981214,0.6688398971425437,0.5789473684210527
bert-base-multilingual-cased,ar,0,NQT,remove_endpoint_position,6,0.46652309935470515,0.678098594804012,0.05263157894736842
bert-base-multilingual-cased,ar,0,NQT,remove_triple_plus_position_plus_sign,11,0.4669089078900155,0.6792054227748259,0.5789473684210527
bert-base-multilingual-cased,ar,0,NMT,raw,0,0.5125569701194763,0.7679175468391243,0.3684210526315789
bert-base-multilingual-cased,ar,0,NMT,remove_sign,1,0.5100514484951767,0.767483647090799,0.3684210526315789
bert-base-multilingual-cased,ar,0,NMT,remove_triple_label,4,0.5119249540494296,0.7691718021969256,0.3684210526315789
bert-base-multilingual-cased,ar,0,NMT,remove_endpoint_position,6,0.5230070635011419,0.771308859278331,0.15789473684210525
bert-base-multilingual-cased,ar,0,NMT,remove_triple_plus_position_plus_sign,11,0.5226263305291922,0.7724006832475624,0.2631578947368421
bert-base-multilingual-cased,ar,0,QMT,raw,0,0.5420093536376953,0.7186250939248763,0.5789473684210527
bert-base-multilingual-cased,ar,0,QMT,remove_sign,1,0.540187978697939,0.7173226372282692,0.47368421052631576
bert-base-multilingual-cased,ar,0,QMT,remove_triple_label,4,0.5737143589663772,0.7167035478902319,0.5789473684210527
bert-base-multilingual-cased,ar,0,QMT,remove_endpoint_position,6,0.5814859586872347,0.7216615133635564,0.5789473684210527
bert-base-multilingual-cased,ar,0,QMT,remove_triple_plus_position_plus_sign,11,0.5878606816460713,0.7239052392996639,0.5789473684210527
bert-base-multilingual-cased,ar,1,NQM,raw,0,0.38167497515678406,0.4894211502138077,0.3684210526315789
bert-base-multilingual-cased,ar,1,NQM,remove_sign,1,0.3816892348797594,0.4896906703686801,0.3684210526315789
bert-base-multilingual-cased,ar,1,NQM,remove_triple_label,4,0.3991306476670442,0.4793883390824436,0.3684210526315789
bert-base-multilingual-cased,ar,1,NQM,remove_endpoint_position,6,0.4220527543857713,0.48982605701737314,0.3684210526315789
bert-base-multilingual-cased,ar,1,NQM,remove_triple_plus_position_plus_sign,11,0.41692487730344896,0.47853599869790414,0.3684210526315789
bert-base-multilingual-cased,ar,1,NQT,raw,0,0.4811703562736511,0.6934638785729252,0.3684210526315789
bert-base-multilingual-cased,ar,1,NQT,remove_sign,1,0.4804062708904634,0.693471519034209,0.5789473684210527
bert-base-multilingual-cased,ar,1,NQT,remove_triple_label,4,0.5170616987772,0.6941000109997761,0.5789473684210527
bert-base-multilingual-cased,ar,1,NQT,remove_endpoint_position,6,0.526887193605906,0.6941916202665858,0.5789473684210527
bert-base-multilingual-cased,ar,1,NQT,remove_triple_plus_position_plus_sign,11,0.531714485768631,0.6914862565034733,0.5789473684210527
bert-base-multilingual-cased,ar,1,NMT,raw,0,0.40202200412750244,0.757508573030287,0.5789473684210527
bert-base-multilingual-cased,ar,1,NMT,remove_sign,1,0.40063552858132373,0.7570002011145462,0.2631578947368421
bert-base-multilingual-cased,ar,1,NMT,remove_triple_label,4,0.40356135331839876,0.7569450827566742,0.5789473684210527
bert-base-multilingual-cased,ar,1,NMT,remove_endpoint_position,6,0.40258774185327634,0.7541561714125364,0.5789473684210527
bert-base-multilingual-cased,ar,1,NMT,remove_triple_plus_position_plus_sign,11,0.40517397346547424,0.756079269963067,0.5789473684210527
bert-base-multilingual-cased,ar,1,QMT,raw,0,0.5816724896430969,0.7179972774177101,0.5789473684210527
bert-base-multilingual-cased,ar,1,QMT,remove_sign,1,0.5810463721031216,0.7192811492317175,0.5789473684210527
bert-base-multilingual-cased,ar,1,QMT,remove_triple_label,4,0.6163557615599452,0.7230616076235472,0.5789473684210527
bert-base-multilingual-cased,ar,1,QMT,remove_endpoint_position,6,0.6453331310190773,0.7335380102132887,0.5789473684210527
bert-base-multilingual-cased,ar,1,QMT,remove_triple_plus_position_plus_sign,11,0.6510876492508685,0.7375145944577665,0.5789473684210527
bert-base-multilingual-cased,ar,2,NQM,raw,0,0.3320578336715698,0.5181643677830978,0.3684210526315789
bert-base-multilingual-cased,ar,2,NQM,remove_sign,1,0.331228821840396,0.5175190308236497,0.3684210526315789
bert-base-multilingual-cased,ar,2,NQM,remove_triple_label,4,0.34164397906720073,0.5051231103770094,0.15789473684210525
bert-base-multilingual-cased,ar,2,NQM,remove_endpoint_position,6,0.3540486068772682,0.5092558168783726,0.3684210526315789
bert-base-multilingual-cased,ar,2,NQM,remove_triple_plus_position_plus_sign,11,0.3520374970263282,0.5044422378317264,0.3684210526315789
bert-base-multilingual-cased,ar,2,NQT,raw,0,0.4005346894264221,0.7079785963248715,0.5789473684210527
bert-base-multilingual-cased,ar,2,NQT,remove_sign,1,0.39910697702293385,0.7067648877275314,0.5789473684210527
bert-base-multilingual-cased,ar,2,NQT,remove_triple_label,4,0.4291776279710912,0.7143931652837807,0.5789473684210527
bert-base-multilingual-cased,ar,2,NQT,remove_endpoint_position,6,0.4435345467268074,0.7157224883365891,0.5789473684210527
bert-base-multilingual-cased,ar,2,NQT,remove_triple_plus_position_plus_sign,11,0.45059806078725434,0.7227254921753404,0.5789473684210527
bert-base-multilingual-cased,ar,2,NMT,raw,0,0.4381961226463318,0.7778980721227561,0.3684210526315789
bert-base-multilingual-cased,ar,2,NMT,remove_sign,1,0.4377651688106637,0.7776802034993515,0.3684210526315789
bert-base-multilingual-cased,ar,2,NMT,remove_triple_label,4,0.43283169925115644,0.7754240250749741,0.3684210526315789
bert-base-multilingual-cased,ar,2,NMT,remove_endpoint_position,6,0.4481078192923309,0.7772131701489673,0.3684210526315789
bert-base-multilingual-cased,ar,2,NMT,remove_triple_plus_position_plus_sign,11,0.43939755005401304,0.7774174469527705,0.3684210526315789
bert-base-multilingual-cased,ar,2,QMT,raw,0,0.5222616791725159,0.8322136965344192,0.5789473684210527
bert-base-multilingual-cased,ar,2,QMT,remove_sign,1,0.5179652240551615,0.8294784711480833,0.3684210526315789
bert-base-multilingual-cased,ar,2,QMT,remove_triple_label,4,0.5470712953602969,0.8350727424363864,0.5789473684210527
bert-base-multilingual-cased,ar,2,QMT,remove_endpoint_position,6,0.5604555832068694,0.8311372042566333,0.5789473684210527
bert-base-multilingual-cased,ar,2,QMT,remove_triple_plus_position_plus_sign,11,0.5653927197469621,0.838527848590549,0.5789473684210527
bert-base-multilingual-cased,ar,3,NQM,raw,0,0.38553494215011597,0.5915170508534014,0.5789473684210527
bert-base-multilingual-cased,ar,3,NQM,remove_sign,1,0.38618107415181574,0.5922829170756772,0.2631578947368421
bert-base-multilingual-cased,ar,3,NQM,remove_triple_label,4,0.4062373148950797,0.5818451576991315,0.5789473684210527
bert-base-multilingual-cased,ar,3,NQM,remove_endpoint_position,6,0.4053193411313086,0.57847624063746,0.5789473684210527
bert-base-multilingual-cased,ar,3,NQM,remove_triple_plus_position_plus_sign,11,0.40577948155532473,0.576933588751922,0.5789473684210527
bert-base-multilingual-cased,ar,3,NQT,raw,0,0.47225967049598694,0.6785726121192162,0.5789473684210527
bert-base-multilingual-cased,ar,3,NQT,remove_sign,1,0.47098208831717076,0.6771520600102475,0.5789473684210527
bert-base-multilingual-cased,ar,3,NQT,remove_triple_label,4,0.500482968825005,0.6815850880911496,0.2631578947368421
bert-base-multilingual-cased,ar,3,NQT,remove_endpoint_position,6,0.5045741450756779,0.6821618501890976,0.5789473684210527
bert-base-multilingual-cased,ar,3,NQT,remove_triple_plus_position_plus_sign,11,0.5077090628396256,0.683628680579025,0.5789473684210527
bert-base-multilingual-cased,ar,3,NMT,raw,0,0.5619508028030396,0.8007268394236554,0.5789473684210527
bert-base-multilingual-cased,ar,3,NMT,remove_sign,1,0.5642972176138799,0.8006460809509814,0.5789473684210527
bert-base-multilingual-cased,ar,3,NMT,remove_triple_label,4,0.5626595678921564,0.8028340801951356,0.5789473684210527
bert-base-multilingual-cased,ar,3,NMT,remove_endpoint_position,6,0.5722693307261634,0.8009384684930051,0.5789473684210527
bert-base-multilingual-cased,ar,3,NMT,remove_triple_plus_position_plus_sign,11,0.5750391929011907,0.8023669885945826,0.5789473684210527
bert-base-multilingual-cased,ar,3,QMT,raw,0,0.45896750688552856,0.6751065786274038,0.5789473684210527
bert-base-multilingual-cased,ar,3,QMT,remove_sign,1,0.456003045462537,0.6722836996574305,0.5789473684210527
bert-base-multilingual-cased,ar,3,QMT,remove_triple_label,4,0.48534420549914264,0.6786596778205984,0.05263157894736842
bert-base-multilingual-cased,ar,3,QMT,remove_endpoint_position,6,0.49023874214771546,0.6815792874795085,0.5789473684210527
bert-base-multilingual-cased,ar,3,QMT,remove_triple_plus_position_plus_sign,11,0.49595102804712926,0.6841705089496508,0.5789473684210527
bert-base-multilingual-cased,ar,4,NQM,raw,0,0.3358667194843292,0.6013788216305487,0.3684210526315789
bert-base-multilingual-cased,ar,4,NQM,remove_sign,1,0.33520396519445017,0.6006378859854334,0.2631578947368421
bert-base-multilingual-cased,ar,4,NQM,remove_triple_label,4,0.33770444935065996,0.589562458617061,0.3684210526315789
bert-base-multilingual-cased,ar,4,NQM,remove_endpoint_position,6,0.35537766157823714,0.5950590155137764,0.3684210526315789
bert-base-multilingual-cased,ar,4,NQM,remove_triple_plus_position_plus_sign,11,0.3490594763694722,0.5883092523206518,0.3684210526315789
bert-base-multilingual-cased,ar,4,NQT,raw,0,0.38160187005996704,0.764342963114739,0.5789473684210527
bert-base-multilingual-cased,ar,4,NQT,remove_sign,1,0.38182322637266564,0.7645716723420278,0.5789473684210527
bert-base-multilingual-cased,ar,4,NQT,remove_triple_label,4,0.4062037816336756,0.7666845194245593,0.05263157894736842
bert-base-multilingual-cased,ar,4,NQT,remove_endpoint_position,6,0.4184529404965202,0.7637295751300484,0.5789473684210527
bert-base-multilingual-cased,ar,4,NQT,remove_triple_plus_position_plus_sign,11,0.4206533327764356,0.7640298955861432,0.5789473684210527
bert-base-multilingual-cased,ar,4,NMT,raw,0,0.43597811460494995,0.7762949955570361,0.15789473684210525
bert-base-multilingual-cased,ar,4,NMT,remove_sign,1,0.4363877296700085,0.7771968449378243,0.2631578947368421
bert-base-multilingual-cased,ar,4,NMT,remove_triple_label,4,0.43028043783890624,0.7742796619017661,0.3684210526315789
bert-base-multilingual-cased,ar,4,NMT,remove_endpoint_position,6,0.442932009771741,0.7759515034187944,0.3684210526315789
bert-base-multilingual-cased,ar,4,NMT,remove_triple_plus_position_plus_sign,11,0.43826409878526884,0.7755391818138037,0.3684210526315789
bert-base-multilingual-cased,ar,4,QMT,raw,0,0.500746488571167,0.8614426541166743,0.5789473684210527
bert-base-multilingual-cased,ar,4,QMT,remove_sign,1,0.49790519809763956,0.8592120681642537,0.15789473684210525
bert-base-multilingual-cased,ar,4,QMT,remove_triple_label,4,0.5197098584510913,0.8646271955357446,0.5789473684210527
bert-base-multilingual-cased,ar,4,QMT,remove_endpoint_position,6,0.5323030600261647,0.8637640996523251,0.5789473684210527
bert-base-multilingual-cased,ar,4,QMT,remove_triple_plus_position_plus_sign,11,0.5343117092455169,0.8696790816341302,0.5789473684210527
bert-base-multilingual-cased,ar,5,NQM,raw,0,0.4150828421115875,0.5048137593144528,0.3684210526315789
bert-base-multilingual-cased,ar,5,NQM,remove_sign,1,0.41554885559803534,0.5049306348889542,0.3684210526315789
bert-base-multilingual-cased,ar,5,NQM,remove_triple_label,4,0.43166504838151304,0.4979461095963761,0.3684210526315789
bert-base-multilingual-cased,ar,5,NQM,remove_endpoint_position,6,0.4152033762313355,0.5029047579314485,0.3684210526315789
bert-base-multilingual-cased,ar,5,NQM,remove_triple_plus_position_plus_sign,11,0.42229334537671864,0.4992490924138286,0.05263157894736842
bert-base-multilingual-cased,ar,5,NQT,raw,0,0.4688720107078552,0.802101602113728,0.5789473684210527
bert-base-multilingual-cased,ar,5,NQT,remove_sign,1,0.46470316635392533,0.7990399927094384,0.5789473684210527
bert-base-multilingual-cased,ar,5,NQT,remove_triple_label,4,0.48479167372588083,0.8017507219801137,0.05263157894736842
