model,base_id,class,variant_id,source,target,delta_norm
roberta-base,0,negation,0,The economist explained a black cat.,The economist did not explain a black cat.,1.387514591217041
roberta-base,0,negation,1,The economist explained a black cat.,The economist never explained a black cat.,1.3835591077804565
roberta-base,0,negation,2,The economist explained a black cat.,The economist failed to explain a black cat.,1.5706379413604736
roberta-base,0,negation,3,The economist explained a black cat.,The economist was unable to explain a black cat.,2.122612714767456
roberta-base,0,negation,4,The economist explained a black cat.,The economist could not explain a black cat.,1.7548863887786865
roberta-base,0,question,0,The economist explained a black cat.,Did the economist explain a black cat?,1.5688101053237915
roberta-base,0,question,1,The economist explained a black cat.,Was it true that the economist explained a black cat?,2.2359886169433594
roberta-base,0,question,2,The economist explained a black cat.,Could the economist have explained a black cat?,1.88046133518219
roberta-base,0,question,3,The economist explained a black cat.,Is there evidence that the economist explained a black cat?,2.082717180252075
roberta-base,0,question,4,The economist explained a black cat.,Can we confirm that the economist explained a black cat?,2.027616500854492
roberta-base,0,past_to_future,0,The economist explained a black cat.,The economist will explain a black cat.,1.0270507335662842
roberta-base,0,past_to_future,1,The economist explained a black cat.,The economist is going to explain a black cat.,1.740794062614441
roberta-base,0,past_to_future,2,The economist explained a black cat.,The economist is expected to explain a black cat.,1.8220274448394775
roberta-base,0,past_to_future,3,The economist explained a black cat.,The economist is likely to explain a black cat.,1.7409207820892334
roberta-base,0,past_to_future,4,The economist explained a black cat.,The economist plans to explain a black cat.,1.338538408279419
roberta-base,0,certainty_to_uncertainty,0,The economist explained a black cat.,The economist may have explained a black cat.,1.3780083656311035
roberta-base,0,certainty_to_uncertainty,1,The economist explained a black cat.,The economist might have explained a black cat.,1.5254319906234741
roberta-base,0,certainty_to_uncertainty,2,The economist explained a black cat.,It is possible that the economist explained a black cat.,2.373199701309204
roberta-base,0,certainty_to_uncertainty,3,The economist explained a black cat.,There is a chance that the economist explained a black cat.,2.3490078449249268
roberta-base,0,certainty_to_uncertainty,4,The economist explained a black cat.,The economist probably explained a black cat.,1.0581156015396118
roberta-base,0,active_to_passive,0,The economist explained a black cat.,A black cat was explained by the economist.,1.1983455419540405
roberta-base,0,active_to_passive,1,The economist explained a black cat.,A black cat had been explained by the economist.,1.6116724014282227
roberta-base,0,active_to_passive,2,The economist explained a black cat.,A black cat got explained by the economist.,1.331152319908142
roberta-base,0,active_to_passive,3,The economist explained a black cat.,A black cat was successfully explained by the economist.,1.6484183073043823
roberta-base,0,active_to_passive,4,The economist explained a black cat.,A black cat was eventually explained by the economist.,1.685341238975525
roberta-base,0,formalization,0,The economist explained a black cat.,It is true that the economist explained a black cat.,2.218442440032959
roberta-base,0,formalization,1,The economist explained a black cat.,The statement that the economist explained a black cat is true.,2.1538639068603516
roberta-base,0,formalization,2,The economist explained a black cat.,One can state that the economist explained a black cat.,1.8458112478256226
roberta-base,0,formalization,3,The economist explained a black cat.,It can be formally said that the economist explained a black cat.,2.8342232704162598
roberta-base,0,formalization,4,The economist explained a black cat.,The fact is that the economist explained a black cat.,2.0728201866149902
roberta-base,1,negation,0,The nurse discovered a complex machine.,The nurse did not discover a complex machine.,1.395033597946167
roberta-base,1,negation,1,The nurse discovered a complex machine.,The nurse never discovered a complex machine.,1.205160140991211
roberta-base,1,negation,2,The nurse discovered a complex machine.,The nurse failed to discover a complex machine.,1.3336166143417358
roberta-base,1,negation,3,The nurse discovered a complex machine.,The nurse was unable to discover a complex machine.,1.8783798217773438
