model,base_id,class,variant_id,source,target,delta_norm
distilgpt2,0,negation,0,The economist explained a black cat.,The economist did not explain a black cat.,13.929851531982422
distilgpt2,0,negation,1,The economist explained a black cat.,The economist never explained a black cat.,15.906339645385742
distilgpt2,0,negation,2,The economist explained a black cat.,The economist failed to explain a black cat.,8.821703910827637
distilgpt2,0,negation,3,The economist explained a black cat.,The economist was unable to explain a black cat.,11.466225624084473
distilgpt2,0,negation,4,The economist explained a black cat.,The economist could not explain a black cat.,16.338947296142578
distilgpt2,0,question,0,The economist explained a black cat.,Did the economist explain a black cat?,8.089898109436035
distilgpt2,0,question,1,The economist explained a black cat.,Was it true that the economist explained a black cat?,13.059847831726074
distilgpt2,0,question,2,The economist explained a black cat.,Could the economist have explained a black cat?,12.591076850891113
distilgpt2,0,question,3,The economist explained a black cat.,Is there evidence that the economist explained a black cat?,14.210492134094238
distilgpt2,0,question,4,The economist explained a black cat.,Can we confirm that the economist explained a black cat?,15.195223808288574
distilgpt2,0,past_to_future,0,The economist explained a black cat.,The economist will explain a black cat.,10.132234573364258
distilgpt2,0,past_to_future,1,The economist explained a black cat.,The economist is going to explain a black cat.,9.921012878417969
distilgpt2,0,past_to_future,2,The economist explained a black cat.,The economist is expected to explain a black cat.,9.963888168334961
distilgpt2,0,past_to_future,3,The economist explained a black cat.,The economist is likely to explain a black cat.,10.563223838806152
distilgpt2,0,past_to_future,4,The economist explained a black cat.,The economist plans to explain a black cat.,8.792295455932617
distilgpt2,0,certainty_to_uncertainty,0,The economist explained a black cat.,The economist may have explained a black cat.,12.247893333435059
distilgpt2,0,certainty_to_uncertainty,1,The economist explained a black cat.,The economist might have explained a black cat.,14.70844554901123
distilgpt2,0,certainty_to_uncertainty,2,The economist explained a black cat.,It is possible that the economist explained a black cat.,17.02127456665039
distilgpt2,0,certainty_to_uncertainty,3,The economist explained a black cat.,There is a chance that the economist explained a black cat.,18.641992568969727
distilgpt2,0,certainty_to_uncertainty,4,The economist explained a black cat.,The economist probably explained a black cat.,11.830659866333008
distilgpt2,0,active_to_passive,0,The economist explained a black cat.,A black cat was explained by the economist.,8.697245597839355
distilgpt2,0,active_to_passive,1,The economist explained a black cat.,A black cat had been explained by the economist.,10.11079216003418
distilgpt2,0,active_to_passive,2,The economist explained a black cat.,A black cat got explained by the economist.,7.848649501800537
distilgpt2,0,active_to_passive,3,The economist explained a black cat.,A black cat was successfully explained by the economist.,10.105996131896973
distilgpt2,0,active_to_passive,4,The economist explained a black cat.,A black cat was eventually explained by the economist.,9.005656242370605
distilgpt2,0,formalization,0,The economist explained a black cat.,It is true that the economist explained a black cat.,17.513076782226562
distilgpt2,0,formalization,1,The economist explained a black cat.,The statement that the economist explained a black cat is true.,17.515121459960938
distilgpt2,0,formalization,2,The economist explained a black cat.,One can state that the economist explained a black cat.,17.546049118041992
distilgpt2,0,formalization,3,The economist explained a black cat.,It can be formally said that the economist explained a black cat.,17.54159927368164
distilgpt2,0,formalization,4,The economist explained a black cat.,The fact is that the economist explained a black cat.,10.469985961914062
distilgpt2,1,negation,0,The nurse discovered a complex machine.,The nurse did not discover a complex machine.,9.779439926147461
distilgpt2,1,negation,1,The nurse discovered a complex machine.,The nurse never discovered a complex machine.,10.847466468811035
distilgpt2,1,negation,2,The nurse discovered a complex machine.,The nurse failed to discover a complex machine.,7.2202043533325195
distilgpt2,1,negation,3,The nurse discovered a complex machine.,The nurse was unable to discover a complex machine.,10.66112995147705
distilgpt2,1,negation,4,The nurse discovered a complex machine.,The nurse could not discover a complex machine.,12.313703536987305
distilgpt2,1,question,0,The nurse discovered a complex machine.,Did the nurse discover a complex machine?,5.886386871337891
distilgpt2,1,question,1,The nurse discovered a complex machine.,Was it true that the nurse discovered a complex machine?,7.066967487335205
distilgpt2,1,question,2,The nurse discovered a complex machine.,Could the nurse have discovered a complex machine?,8.234271049499512
distilgpt2,1,question,3,The nurse discovered a complex machine.,Is there evidence that the nurse discovered a complex machine?,9.589834213256836
distilgpt2,1,question,4,The nurse discovered a complex machine.,Can we confirm that the nurse discovered a complex machine?,10.553609848022461
distilgpt2,1,past_to_future,0,The nurse discovered a complex machine.,The nurse will discover a complex machine.,8.83675479888916
distilgpt2,1,past_to_future,1,The nurse discovered a complex machine.,The nurse is going to discover a complex machine.,7.526979923248291
distilgpt2,1,past_to_future,2,The nurse discovered a complex machine.,The nurse is expected to discover a complex machine.,6.626504898071289
distilgpt2,1,past_to_future,3,The nurse discovered a complex machine.,The nurse is likely to discover a complex machine.,7.267014503479004
distilgpt2,1,past_to_future,4,The nurse discovered a complex machine.,The nurse plans to discover a complex machine.,9.110095024108887
distilgpt2,1,certainty_to_uncertainty,0,The nurse discovered a complex machine.,The nurse may have discovered a complex machine.,7.4447808265686035
distilgpt2,1,certainty_to_uncertainty,1,The nurse discovered a complex machine.,The nurse might have discovered a complex machine.,9.117935180664062
distilgpt2,1,certainty_to_uncertainty,2,The nurse discovered a complex machine.,It is possible that the nurse discovered a complex machine.,11.049280166625977
distilgpt2,1,certainty_to_uncertainty,3,The nurse discovered a complex machine.,There is a chance that the nurse discovered a complex machine.,11.318011283874512
distilgpt2,1,certainty_to_uncertainty,4,The nurse discovered a complex machine.,The nurse probably discovered a complex machine.,10.492734909057617
distilgpt2,1,active_to_passive,0,The nurse discovered a complex machine.,A complex machine was discovered by the nurse.,12.14130973815918
distilgpt2,1,active_to_passive,1,The nurse discovered a complex machine.,A complex machine had been discovered by the nurse.,10.599336624145508
distilgpt2,1,active_to_passive,2,The nurse discovered a complex machine.,A complex machine got discovered by the nurse.,11.003464698791504
distilgpt2,1,active_to_passive,3,The nurse discovered a complex machine.,A complex machine was successfully discovered by the nurse.,12.511713981628418
distilgpt2,1,active_to_passive,4,The nurse discovered a complex machine.,A complex machine was eventually discovered by the nurse.,12.461177825927734
distilgpt2,1,formalization,0,The nurse discovered a complex machine.,It is true that the nurse discovered a complex machine.,12.58142375946045
distilgpt2,1,formalization,1,The nurse discovered a complex machine.,The statement that the nurse discovered a complex machine is true.,12.190520286560059
distilgpt2,1,formalization,2,The nurse discovered a complex machine.,One can state that the nurse discovered a complex machine.,11.349848747253418
distilgpt2,1,formalization,3,The nurse discovered a complex machine.,It can be formally said that the nurse discovered a complex machine.,11.27004337310791
distilgpt2,1,formalization,4,The nurse discovered a complex machine.,The fact is that the nurse discovered a complex machine.,6.589048385620117
distilgpt2,2,negation,0,The manager reported the event.,The manager did not report the event.,10.14316463470459
distilgpt2,2,negation,1,The manager reported the event.,The manager never reported the event.,10.625554084777832
distilgpt2,2,negation,2,The manager reported the event.,The manager failed to report the event.,9.012231826782227
distilgpt2,2,negation,3,The manager reported the event.,The manager was unable to report the event.,12.069804191589355
distilgpt2,2,negation,4,The manager reported the event.,The manager could not report the event.,12.813837051391602
distilgpt2,2,question,0,The manager reported the event.,Did the manager report the event?,14.653645515441895
distilgpt2,2,question,1,The manager reported the event.,Was it true that the manager reported the event?,18.115737915039062
distilgpt2,2,question,2,The manager reported the event.,Could the manager have reported the event?,21.06178092956543
distilgpt2,2,question,3,The manager reported the event.,Is there evidence that the manager reported the event?,20.122905731201172
