model,language,template_id,triple,residualization,subspace_rank,relative_signed_permutation_norm,ratio_to_exact_null_mean,exact_empirical_p
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,NQM,raw,0,0.39437559247016907,0.3415737520207113,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,NQM,remove_sign,1,0.3917360663965351,0.3414599684548106,0.47368421052631576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,NQM,remove_triple_label,4,0.3989287711887912,0.34560419280697885,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,NQM,remove_endpoint_position,6,0.40124348304775237,0.3431182936526807,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,NQM,remove_triple_plus_position_plus_sign,11,0.40326173451397507,0.3465520860870531,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,NQT,raw,0,0.6083341836929321,0.5329494937216893,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,NQT,remove_sign,1,0.6108802840143079,0.533202465515812,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,NQT,remove_triple_label,4,0.6132591495741609,0.5365456816592048,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,NQT,remove_endpoint_position,6,0.6284957760727004,0.5332043930658337,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,NQT,remove_triple_plus_position_plus_sign,11,0.6279886762404397,0.535669191965329,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,NMT,raw,0,0.780911386013031,0.7227905904844308,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,NMT,remove_sign,1,0.792200505158721,0.722995722329379,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,NMT,remove_triple_label,4,0.7859909207340363,0.721952832975857,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,NMT,remove_endpoint_position,6,0.792206243273795,0.7263466337366772,0.2631578947368421
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,NMT,remove_triple_plus_position_plus_sign,11,0.8093560318760277,0.7262883168947333,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,QMT,raw,0,0.5109835267066956,0.5624291664323884,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,QMT,remove_sign,1,0.5072765437331334,0.5583505456933533,0.2631578947368421
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,QMT,remove_triple_label,4,0.5120954441443277,0.5664499693101658,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,QMT,remove_endpoint_position,6,0.5093405843452234,0.5557095133779867,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,0,QMT,remove_triple_plus_position_plus_sign,11,0.5019348355351139,0.5557789613656287,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,NQM,raw,0,0.3475310206413269,0.39369578844621206,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,NQM,remove_sign,1,0.34987522782679836,0.3972352987563592,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,NQM,remove_triple_label,4,0.35171288704040704,0.38789986425312767,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,NQM,remove_endpoint_position,6,0.3597958946710742,0.3966650608418926,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,NQM,remove_triple_plus_position_plus_sign,11,0.35919939002151796,0.38984704871934245,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,NQT,raw,0,0.4093739688396454,0.40878466570784633,0.47368421052631576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,NQT,remove_sign,1,0.4126009375631328,0.4095851525415656,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,NQT,remove_triple_label,4,0.41592618978190476,0.4095679988138819,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,NQT,remove_endpoint_position,6,0.4201017056597788,0.4060806763557753,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,NQT,remove_triple_plus_position_plus_sign,11,0.41509913551338706,0.4024470272736288,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,NMT,raw,0,0.6322308778762817,0.6927154336092796,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,NMT,remove_sign,1,0.6288144961201453,0.6934069800812014,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,NMT,remove_triple_label,4,0.6286382432138001,0.6880981986226422,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,NMT,remove_endpoint_position,6,0.6290317279096709,0.6948493966737604,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,NMT,remove_triple_plus_position_plus_sign,11,0.6206683122835751,0.6874156641197312,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,QMT,raw,0,0.30095306038856506,0.4380611091435545,0.05263157894736842
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,QMT,remove_sign,1,0.30434015089832805,0.4383928086580063,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,QMT,remove_triple_label,4,0.30118269370466094,0.4339222974828853,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,QMT,remove_endpoint_position,6,0.3086097375356976,0.4336171492297146,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,1,QMT,remove_triple_plus_position_plus_sign,11,0.30498737661242326,0.42989759059145594,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,NQM,raw,0,0.39473453164100647,0.37143243566764134,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,NQM,remove_sign,1,0.3950437486991858,0.3756680019087039,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,NQM,remove_triple_label,4,0.4005811987767595,0.37093167685299105,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,NQM,remove_endpoint_position,6,0.40931714736344693,0.37665721200918767,0.47368421052631576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,NQM,remove_triple_plus_position_plus_sign,11,0.4123604153554286,0.3767602678372619,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,NQT,raw,0,0.47668275237083435,0.4961360984523073,0.47368421052631576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,NQT,remove_sign,1,0.4780170330552747,0.49614218371834196,0.47368421052631576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,NQT,remove_triple_label,4,0.47773604413080467,0.4960857770429353,0.47368421052631576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,NQT,remove_endpoint_position,6,0.4857715065854753,0.4957062009396756,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,NQT,remove_triple_plus_position_plus_sign,11,0.48640780545289974,0.49716201699700513,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,NMT,raw,0,0.9650951027870178,0.809178841054192,0.47368421052631576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,NMT,remove_sign,1,0.9638440497130066,0.8107544118714122,0.47368421052631576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,NMT,remove_triple_label,4,0.9802648958378194,0.8108826726954433,0.47368421052631576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,NMT,remove_endpoint_position,6,0.967626769136544,0.8123826316569497,0.47368421052631576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,NMT,remove_triple_plus_position_plus_sign,11,0.9862604001028765,0.8140804609564947,0.47368421052631576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,QMT,raw,0,0.37352752685546875,0.5063745424520391,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,QMT,remove_sign,1,0.3775665797448893,0.5060570982774345,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,QMT,remove_triple_label,4,0.37503478040251664,0.506110354958733,0.47368421052631576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,QMT,remove_endpoint_position,6,0.386736090789122,0.5066452780645906,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,2,QMT,remove_triple_plus_position_plus_sign,11,0.38498496954500283,0.505342640797319,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,NQM,raw,0,0.3662479519844055,0.3330491616300383,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,NQM,remove_sign,1,0.36538969668912563,0.3327808927687075,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,NQM,remove_triple_label,4,0.369863020540579,0.33862497974924327,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,NQM,remove_endpoint_position,6,0.3729205628682491,0.33153205014432124,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,NQM,remove_triple_plus_position_plus_sign,11,0.372372281989878,0.3344933645614955,0.47368421052631576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,NQT,raw,0,0.4272864758968353,0.4765927182420916,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,NQT,remove_sign,1,0.43099408064878814,0.4784184001476576,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,NQT,remove_triple_label,4,0.42507138067251626,0.47854757627193856,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,NQT,remove_endpoint_position,6,0.43984932677144495,0.47437985383670817,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,NQT,remove_triple_plus_position_plus_sign,11,0.4322766040157673,0.47385708864625964,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,NMT,raw,0,0.86504727602005,0.7452716165824907,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,NMT,remove_sign,1,0.8597133728748461,0.7430300475801216,0.2631578947368421
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,NMT,remove_triple_label,4,0.843700443959513,0.742889932872083,0.05263157894736842
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,NMT,remove_endpoint_position,6,0.8617910615058239,0.7440313845345101,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,NMT,remove_triple_plus_position_plus_sign,11,0.851735527620197,0.7423535969547517,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,QMT,raw,0,0.4188856780529022,0.48616070844830406,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,QMT,remove_sign,1,0.42277796568147014,0.48628157101649444,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,QMT,remove_triple_label,4,0.4102528651007696,0.4832264660920348,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,QMT,remove_endpoint_position,6,0.43170805433950754,0.48492856893347563,0.5789473684210527
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,3,QMT,remove_triple_plus_position_plus_sign,11,0.41575473480813385,0.4789203481718028,0.47368421052631576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,4,NQM,raw,0,0.48974719643592834,0.5034535155051615,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,4,NQM,remove_sign,1,0.4874929555069008,0.5076629785157081,0.3684210526315789
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,4,NQM,remove_triple_label,4,0.503027580933644,0.5015908488454415,0.3684210526315789
