model,layer,source_set,prompt_style,source,target,target_class,control,gain,vector_class,prompt,generated,content_preservation,question_and_preserved,question_marker,negation_marker,modality_marker,tense_shift_marker,passive_marker,target_marker_hit,any_other_marker_hit,question_mark_hit,generated_chars
gpt2,2,in_template_test,repeat_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,none,0.0,,"Repeat this sentence:
The oracle built the tower.
Repeated:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,in_template_test,repeat_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,target,0.75,question,"Repeat this sentence:
The oracle built the tower.
Repeated:","The oracle built the tower.

The oracle built the tower?

The oracle built the tower?",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,85.0
gpt2,2,in_template_test,repeat_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,random_norm,0.75,random_norm,"Repeat this sentence:
The oracle built the tower.
Repeated:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,in_template_test,repeat_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,wrong_class,0.75,negation,"Repeat this sentence:
The oracle built the tower.
Repeated:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,in_template_test,repeat_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,negative_target,0.75,question,"Repeat this sentence:
The oracle built the tower.
Repeated:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,in_template_test,copy_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,none,0.0,,"Copy this sentence:
The oracle built the tower.
Copy:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,in_template_test,copy_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,target,0.75,question,"Copy this sentence:
The oracle built the tower.
Copy:","The oracle built the tower.

The oracle built the tower?

The oracle built the tower?",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,85.0
gpt2,2,in_template_test,copy_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,random_norm,0.75,random_norm,"Copy this sentence:
The oracle built the tower.
Copy:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,in_template_test,copy_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,wrong_class,0.75,modality,"Copy this sentence:
The oracle built the tower.
Copy:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0
gpt2,2,in_template_test,copy_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,negative_target,0.75,question,"Copy this sentence:
The oracle built the tower.
Copy:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
