model,heldout_language,method,operator,target_cosine,mse,n_test
sentence-transformers/LaBSE,en,additive,N,0.9493204951286316,0.18101951479911804,160
sentence-transformers/LaBSE,en,linear,N,0.8926439603997274,0.3607937347946043,160
sentence-transformers/LaBSE,en,affine,N,0.8952738642692566,0.35143598914146423,160
sentence-transformers/LaBSE,en,additive,Q,0.9536206126213074,0.17113855481147766,160
sentence-transformers/LaBSE,en,linear,Q,0.879526487447067,0.43241360991765865,160
sentence-transformers/LaBSE,en,affine,Q,0.8697155714035034,0.47502270340919495,160
sentence-transformers/LaBSE,en,additive,M,0.9544792175292969,0.1535293012857437,160
sentence-transformers/LaBSE,en,linear,M,0.9192926018292443,0.23629374771540168,160
sentence-transformers/LaBSE,en,affine,M,0.9171169400215149,0.24107304215431213,160
sentence-transformers/LaBSE,en,additive,T,0.9380899667739868,0.22355079650878906,160
sentence-transformers/LaBSE,en,linear,T,0.8749716102493613,0.419324485572545,160
sentence-transformers/LaBSE,en,affine,T,0.8838052749633789,0.39112144708633423,160
sentence-transformers/LaBSE,es,additive,N,0.8900077939033508,0.31113845109939575,160
sentence-transformers/LaBSE,es,linear,N,0.8656468312979767,0.35438076837240423,160
sentence-transformers/LaBSE,es,affine,N,0.8650163412094116,0.35824114084243774,160
sentence-transformers/LaBSE,es,additive,Q,0.9316412210464478,0.21415133774280548,160
sentence-transformers/LaBSE,es,linear,Q,0.8718200094960309,0.4536170706457141,160
sentence-transformers/LaBSE,es,affine,Q,0.8685296773910522,0.4720701575279236,160
sentence-transformers/LaBSE,es,additive,M,0.9439899325370789,0.16905491054058075,160
sentence-transformers/LaBSE,es,linear,M,0.9210912333820938,0.17272402902828374,160
sentence-transformers/LaBSE,es,affine,M,0.9216827154159546,0.17143289744853973,160
sentence-transformers/LaBSE,es,additive,T,0.9051445126533508,0.293889582157135,160
sentence-transformers/LaBSE,es,linear,T,0.9102350011205023,0.27301652802324544,160
sentence-transformers/LaBSE,es,affine,T,0.9111558198928833,0.27133336663246155,160
sentence-transformers/LaBSE,fr,additive,N,0.9002231359481812,0.32109540700912476,160
sentence-transformers/LaBSE,fr,linear,N,0.907495488512934,0.28800002638311206,160
