model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test
sentence-transformers/LaBSE,10.0,en,linear,N,0.892643825897174,0.3607937970380171,160
sentence-transformers/LaBSE,10.0,en,affine,N,0.8952744603157043,0.3514344096183777,160
sentence-transformers/LaBSE,10.0,en,linear,Q,0.8795247550804234,0.4324208222146699,160
sentence-transformers/LaBSE,10.0,en,affine,Q,0.8697139620780945,0.47502660751342773,160
sentence-transformers/LaBSE,10.0,en,linear,M,0.9192925595446203,0.23629358277629056,160
sentence-transformers/LaBSE,10.0,en,affine,M,0.9171161651611328,0.24107544124126434,160
sentence-transformers/LaBSE,10.0,en,linear,T,0.8749745321605534,0.4193155457615207,160
sentence-transformers/LaBSE,10.0,en,affine,T,0.8838059306144714,0.3911188542842865,160
sentence-transformers/LaBSE,10.0,es,linear,N,0.8656465240381654,0.35438084173842277,160
sentence-transformers/LaBSE,10.0,es,affine,N,0.8650161623954773,0.3582412600517273,160
sentence-transformers/LaBSE,10.0,es,linear,Q,0.8718218838899569,0.45360814670184635,160
sentence-transformers/LaBSE,10.0,es,affine,Q,0.8685304522514343,0.4720662236213684,160
sentence-transformers/LaBSE,10.0,es,linear,M,0.9210907561101671,0.17272488785939397,160
sentence-transformers/LaBSE,10.0,es,affine,M,0.9216825366020203,0.17143309116363525,160
sentence-transformers/LaBSE,10.0,es,linear,T,0.9102350868931331,0.2730160111568107,160
sentence-transformers/LaBSE,10.0,es,affine,T,0.911156177520752,0.2713325023651123,160
sentence-transformers/LaBSE,10.0,fr,linear,N,0.9074957978560828,0.28799913500545826,160
sentence-transformers/LaBSE,10.0,fr,affine,N,0.9080691337585449,0.2868044376373291,160
sentence-transformers/LaBSE,10.0,fr,linear,Q,0.9220653357873022,0.3567859281129199,160
sentence-transformers/LaBSE,10.0,fr,affine,Q,0.922859787940979,0.3546818196773529,160
sentence-transformers/LaBSE,10.0,fr,linear,M,0.9126684400358851,0.22087908262109507,160
sentence-transformers/LaBSE,10.0,fr,affine,M,0.9127378463745117,0.22042283415794373,160
sentence-transformers/LaBSE,10.0,fr,linear,T,0.9202673155116333,0.2780806913748886,160
sentence-transformers/LaBSE,10.0,fr,affine,T,0.9203590154647827,0.27790191769599915,160
sentence-transformers/LaBSE,10.0,de,linear,N,0.8919464991094725,0.40796969009137796,160
sentence-transformers/LaBSE,10.0,de,affine,N,0.8919082880020142,0.4084325432777405,160
sentence-transformers/LaBSE,10.0,de,linear,Q,0.9459383573002114,0.2622522125501697,160
sentence-transformers/LaBSE,10.0,de,affine,Q,0.9457811117172241,0.2665712237358093,160
sentence-transformers/LaBSE,10.0,de,linear,M,0.8823380741107314,0.37700129190814724,160
sentence-transformers/LaBSE,10.0,de,affine,M,0.8826929926872253,0.3758869171142578,160
sentence-transformers/LaBSE,10.0,de,linear,T,0.8776829946568391,0.426737882224055,160
sentence-transformers/LaBSE,10.0,de,affine,T,0.8786079287528992,0.42602378129959106,160
sentence-transformers/LaBSE,10.0,ru,linear,N,0.7620064135966867,0.44850715094467464,160
sentence-transformers/LaBSE,10.0,ru,affine,N,0.7670581936836243,0.4391922056674957,160
sentence-transformers/LaBSE,10.0,ru,linear,Q,0.8250157876313186,0.4132979172593533,160
sentence-transformers/LaBSE,10.0,ru,affine,Q,0.8248413801193237,0.4109896719455719,160
sentence-transformers/LaBSE,10.0,ru,linear,M,0.8250654972023106,0.3358732127270976,160
sentence-transformers/LaBSE,10.0,ru,affine,M,0.8228987455368042,0.3393320143222809,160
sentence-transformers/LaBSE,10.0,ru,linear,T,0.7098876911357328,0.579455551551065,160
sentence-transformers/LaBSE,10.0,ru,affine,T,0.702472984790802,0.5997174978256226,160
sentence-transformers/LaBSE,10.0,zh,linear,N,0.875321056223281,0.30034015558961125,160
sentence-transformers/LaBSE,10.0,zh,affine,N,0.8753854632377625,0.300687313079834,160
sentence-transformers/LaBSE,10.0,zh,linear,Q,0.8668506039708685,0.3700300693055931,160
sentence-transformers/LaBSE,10.0,zh,affine,Q,0.8658193349838257,0.3730112612247467,160
sentence-transformers/LaBSE,10.0,zh,linear,M,0.8891457657152335,0.22341762233064588,160
sentence-transformers/LaBSE,10.0,zh,affine,M,0.8892715573310852,0.2234666347503662,160
sentence-transformers/LaBSE,10.0,zh,linear,T,0.8918633211800973,0.2679481939163247,160
sentence-transformers/LaBSE,10.0,zh,affine,T,0.8913924098014832,0.2695810794830322,160
sentence-transformers/LaBSE,10.0,ar,linear,N,0.6227790657228583,0.895827656787852,160
sentence-transformers/LaBSE,10.0,ar,affine,N,0.5684715509414673,1.0499178171157837,160
sentence-transformers/LaBSE,10.0,ar,linear,Q,0.7127525377667224,0.6540798802290371,160
sentence-transformers/LaBSE,10.0,ar,affine,Q,0.662171483039856,0.7808462381362915,160
sentence-transformers/LaBSE,10.0,ar,linear,M,0.7981508630993209,0.4824344431654558,160
sentence-transformers/LaBSE,10.0,ar,affine,M,0.7961480021476746,0.4856887459754944,160
sentence-transformers/LaBSE,10.0,ar,linear,T,0.7113450235491137,0.7275299147351099,160
sentence-transformers/LaBSE,10.0,ar,affine,T,0.6973328590393066,0.7575005888938904,160
