source_set,source,target
in_template_test,The oracle built the tower.,Someone asked whether the oracle built the tower.
in_template_test,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.
in_template_test,The vampire found the island.,Someone asked whether the vampire found the island.
in_template_test,The mermaid built the tower.,It is unclear whether the mermaid built the tower.
in_template_test,The spirit built the tower.,I wonder whether the spirit built the tower.
in_template_test,The oracle repaired the satellite.,Someone asked whether the oracle repaired the satellite.
in_template_test,The wizard built the tower.,Someone asked whether the wizard built the tower.
in_template_test,The alien created the artifact.,Nobody knew whether the alien had created the artifact.
in_template_test,The knight protected the village.,Someone asked whether the knight protected the village.
in_template_test,The druid opened the portal.,I wonder whether the druid opened the portal.
in_template_test,The wizard revealed the secret.,Someone asked whether the wizard revealed the secret.
in_template_test,The giant opened the portal.,Someone asked whether the giant opened the portal.
in_template_test,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.
in_template_test,The alien predicted the storm.,It is unclear whether the alien predicted the storm.
in_template_test,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.
in_template_test,The robot opened the portal.,It is unclear whether the robot opened the portal.
in_template_test,The griffin opened the portal.,It is unclear whether the griffin opened the portal.
in_template_test,The spirit created the artifact.,I wonder whether the spirit created the artifact.
in_template_test,The dragon signed the treaty.,Someone asked whether the dragon signed the treaty.
in_template_test,The phoenix opened the portal.,Someone asked whether the phoenix opened the portal.
in_template_test,The oracle found the island.,I wonder whether the oracle found the island.
in_template_test,The ranger guarded the treasure.,I wonder whether the ranger guarded the treasure.
in_template_test,The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.
in_template_test,The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.
in_template_test,The druid built the tower.,It is unclear whether the druid built the tower.
in_template_test,The phoenix protected the village.,I wonder whether the phoenix protected the village.
in_template_test,The vampire created the artifact.,It is unclear whether the vampire created the artifact.
in_template_test,The queen repaired the satellite.,I wonder whether the queen repaired the satellite.
in_template_test,The pirate opened the portal.,Someone asked whether the pirate opened the portal.
in_template_test,The vampire opened the portal.,Nobody knew whether the vampire had opened the portal.
in_template_test,The mermaid opened the portal.,Someone asked whether the mermaid opened the portal.
in_template_test,The titan signed the treaty.,Nobody knew whether the titan had signed the treaty.
in_template_test,The goblin repaired the satellite.,Someone asked whether the goblin repaired the satellite.
in_template_test,The knight created the artifact.,Nobody knew whether the knight had created the artifact.
in_template_test,The dragon opened the portal.,It is unclear whether the dragon opened the portal.
in_template_test,The vampire guarded the treasure.,I wonder whether the vampire guarded the treasure.
in_template_test,The pirate revealed the secret.,It is unclear whether the pirate revealed the secret.
in_template_test,The sorcerer guarded the treasure.,I wonder whether the sorcerer guarded the treasure.
in_template_test,The giant signed the treaty.,I wonder whether the giant signed the treaty.
in_template_test,The giant protected the village.,I wonder whether the giant protected the village.
in_template_test,The goblin created the artifact.,Someone asked whether the goblin created the artifact.
in_template_test,The robot created the artifact.,It is unclear whether the robot created the artifact.
in_template_test,The sphinx signed the treaty.,I wonder whether the sphinx signed the treaty.
in_template_test,The griffin built the tower.,Someone asked whether the griffin built the tower.
in_template_test,The sphinx predicted the storm.,Someone asked whether the sphinx predicted the storm.
in_template_test,The mermaid signed the treaty.,Nobody knew whether the mermaid had signed the treaty.
in_template_test,The ranger opened the portal.,I wonder whether the ranger opened the portal.
in_template_test,The goblin built the tower.,It is unclear whether the goblin built the tower.
in_template_test,The oracle opened the portal.,Someone asked whether the oracle opened the portal.
in_template_test,The ranger built the tower.,It is unclear whether the ranger built the tower.
in_template_test,The vampire revealed the secret.,It is unclear whether the vampire revealed the secret.
in_template_test,The griffin signed the treaty.,I wonder whether the griffin signed the treaty.
in_template_test,The queen revealed the secret.,It is unclear whether the queen revealed the secret.
in_template_test,The wizard predicted the storm.,Nobody knew whether the wizard had predicted the storm.
in_template_test,The titan opened the portal.,Nobody knew whether the titan had opened the portal.
in_template_test,The sphinx protected the village.,I wonder whether the sphinx protected the village.
in_template_test,The knight found the island.,I wonder whether the knight found the island.
in_template_test,The goblin guarded the treasure.,Someone asked whether the goblin guarded the treasure.
in_template_test,The robot revealed the secret.,I wonder whether the robot revealed the secret.
in_template_test,The pirate created the artifact.,It is unclear whether the pirate created the artifact.
in_template_test,The robot found the island.,Nobody knew whether the robot had found the island.
in_template_test,The oracle signed the treaty.,Someone asked whether the oracle signed the treaty.
in_template_test,The phoenix built the tower.,Someone asked whether the phoenix built the tower.
in_template_test,The phoenix guarded the treasure.,I wonder whether the phoenix guarded the treasure.
in_template_test,The griffin predicted the storm.,Nobody knew whether the griffin had predicted the storm.
in_template_test,The goblin signed the treaty.,Nobody knew whether the goblin had signed the treaty.
in_template_test,The titan guarded the treasure.,It is unclear whether the titan guarded the treasure.
in_template_test,The titan predicted the storm.,I wonder whether the titan predicted the storm.
in_template_test,The phoenix repaired the satellite.,Someone asked whether the phoenix repaired the satellite.
in_template_test,The sorcerer created the artifact.,Nobody knew whether the sorcerer had created the artifact.
in_template_test,The alien signed the treaty.,I wonder whether the alien signed the treaty.
in_template_test,The wizard opened the portal.,Nobody knew whether the wizard had opened the portal.
in_template_test,The spirit guarded the treasure.,I wonder whether the spirit guarded the treasure.
in_template_test,The giant predicted the storm.,I wonder whether the giant predicted the storm.
in_template_test,The vampire protected the village.,Nobody knew whether the vampire had protected the village.
in_template_test,The dragon found the island.,Nobody knew whether the dragon had found the island.
in_template_test,The dragon revealed the secret.,I wonder whether the dragon revealed the secret.
in_template_test,The mermaid created the artifact.,It is unclear whether the mermaid created the artifact.
in_template_test,The robot protected the village.,It is unclear whether the robot protected the village.
in_template_test,The griffin repaired the satellite.,Someone asked whether the griffin repaired the satellite.
out_of_template_freeform,The cat sat on the mat.,Could someone ask whether the cat sat on the mat?
out_of_template_freeform,The kettle whistled on the stove.,Could someone ask whether the kettle whistled on the stove?
out_of_template_freeform,A student solved the puzzle.,Could someone ask whether a student solved the puzzle?
out_of_template_freeform,The gardener watered the roses.,Could someone ask whether the gardener watered the roses?
out_of_template_freeform,The musician tuned the violin.,Could someone ask whether the musician tuned the violin?
out_of_template_freeform,A doctor checked the chart.,Could someone ask whether a doctor checked the chart?
out_of_template_freeform,The driver parked the car.,Could someone ask whether the driver parked the car?
out_of_template_freeform,The child opened the window.,Could someone ask whether the child opened the window?
out_of_template_freeform,A researcher cleaned the dataset.,Could someone ask whether a researcher cleaned the dataset?
out_of_template_freeform,The painter mixed the colors.,Could someone ask whether the painter mixed the colors?
out_of_template_freeform,The pilot landed the plane.,Could someone ask whether the pilot landed the plane?
out_of_template_freeform,A chef sliced the tomato.,Could someone ask whether a chef sliced the tomato?
out_of_template_freeform,The librarian stamped the card.,Could someone ask whether the librarian stamped the card?
out_of_template_freeform,The engineer tested the bridge.,Could someone ask whether the engineer tested the bridge?
out_of_template_freeform,A nurse folded the blanket.,Could someone ask whether a nurse folded the blanket?
out_of_template_freeform,The baker warmed the bread.,Could someone ask whether the baker warmed the bread?
out_of_template_freeform,The photographer adjusted the lens.,Could someone ask whether the photographer adjusted the lens?
out_of_template_freeform,A farmer repaired the fence.,Could someone ask whether a farmer repaired the fence?
out_of_template_freeform,The swimmer crossed the pool.,Could someone ask whether the swimmer crossed the pool?
out_of_template_freeform,The analyst reviewed the table.,Could someone ask whether the analyst reviewed the table?
out_of_template_freeform,A teacher erased the board.,Could someone ask whether a teacher erased the board?
out_of_template_freeform,The carpenter measured the shelf.,Could someone ask whether the carpenter measured the shelf?
out_of_template_freeform,The cyclist crossed the square.,Could someone ask whether the cyclist crossed the square?
out_of_template_freeform,A lawyer signed the document.,Could someone ask whether a lawyer signed the document?
out_of_template_freeform,The mechanic replaced the battery.,Could someone ask whether the mechanic replaced the battery?
out_of_template_freeform,The dancer practiced the routine.,Could someone ask whether the dancer practiced the routine?
out_of_template_freeform,A manager approved the invoice.,Could someone ask whether a manager approved the invoice?
out_of_template_freeform,The sailor tied the rope.,Could someone ask whether the sailor tied the rope?
out_of_template_freeform,The architect sketched the room.,Could someone ask whether the architect sketched the room?
out_of_template_freeform,A journalist recorded the interview.,Could someone ask whether a journalist recorded the interview?
out_of_template_freeform,The botanist labeled the sample.,Could someone ask whether the botanist labeled the sample?
out_of_template_freeform,The courier delivered the package.,Could someone ask whether the courier delivered the package?
out_of_template_freeform,A programmer fixed the bug.,Could someone ask whether a programmer fixed the bug?
out_of_template_freeform,The pianist played the melody.,Could someone ask whether the pianist played the melody?
out_of_template_freeform,The guard locked the gate.,Could someone ask whether the guard locked the gate?
out_of_template_freeform,A scientist weighed the powder.,Could someone ask whether a scientist weighed the powder?
out_of_template_freeform,The tailor adjusted the jacket.,Could someone ask whether the tailor adjusted the jacket?
out_of_template_freeform,The waiter cleared the table.,Could someone ask whether the waiter cleared the table?
out_of_template_freeform,A climber packed the rope.,Could someone ask whether a climber packed the rope?
out_of_template_freeform,The dentist polished the mirror.,Could someone ask whether the dentist polished the mirror?
