model,target_class,source_set,prompt_style,control,target_marker_rate,question_mark_rate,mean_content_preservation,target_and_preserved_rate,other_marker_rate,rows
distilgpt2,question,out_of_template_freeform,copy_sentence,negative_target,0.8,0.0,0.5009424603174603,0.225,0.8,40
distilgpt2,question,out_of_template_freeform,copy_sentence,none,0.55,0.0,0.594047619047619,0.275,0.55,40
distilgpt2,question,out_of_template_freeform,copy_sentence,random_norm,0.35,0.0,0.18874007936507936,0.025,0.475,40
distilgpt2,question,out_of_template_freeform,copy_sentence,target,0.825,0.75,0.13834325396825395,0.05,0.65,40
distilgpt2,question,out_of_template_freeform,copy_sentence,wrong_class,0.6,0.0,0.6092261904761905,0.3,0.6,40
distilgpt2,question,out_of_template_freeform,repeat_sentence,negative_target,0.725,0.0,0.5461309523809523,0.25,0.75,40
distilgpt2,question,out_of_template_freeform,repeat_sentence,none,0.575,0.0,0.7542162698412699,0.3,0.6,40
distilgpt2,question,out_of_template_freeform,repeat_sentence,random_norm,0.5,0.0,0.2769345238095238,0.05,0.6,40
distilgpt2,question,out_of_template_freeform,repeat_sentence,target,0.8,0.725,0.3296626984126984,0.175,0.725,40
distilgpt2,question,out_of_template_freeform,repeat_sentence,wrong_class,0.575,0.0,0.7524305555555555,0.3,0.6,40
distilgpt2,question,out_of_template_freeform,same_sentence,negative_target,0.725,0.0,0.5336309523809524,0.175,0.75,40
distilgpt2,question,out_of_template_freeform,same_sentence,none,0.575,0.0,0.8501984126984127,0.4,0.6,40
distilgpt2,question,out_of_template_freeform,same_sentence,random_norm,0.475,0.0,0.4147321428571429,0.1,0.5,40
distilgpt2,question,out_of_template_freeform,same_sentence,target,0.85,0.8,0.46741071428571435,0.275,0.65,40
distilgpt2,question,out_of_template_freeform,same_sentence,wrong_class,0.55,0.0,0.8403769841269841,0.35,0.575,40
