model,heldout_language,probe,subspace_rank,accuracy,macro_f1,chance,n_train,n_test
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,triple_label_from_single_endpoint_delta,4,0.44140625,0.3453275243654669,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,endpoint_position_from_endpoint_delta,6,0.16319444444444445,0.10821129576068185,0.16666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,cyclic_vs_anticyclic_from_endpoint_delta,1,0.4991319444444444,0.48208501795588826,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,triple_label_from_single_endpoint_delta,4,0.9665798611111112,0.9665802696538554,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,endpoint_position_from_endpoint_delta,6,0.3511284722222222,0.32651083059933467,0.16666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6145833333333334,0.614526402734779,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,triple_label_from_single_endpoint_delta,4,0.9900173611111112,0.9899948053675278,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,endpoint_position_from_endpoint_delta,6,0.375,0.33791171822212146,0.16666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6189236111111112,0.6082676738414443,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,triple_label_from_single_endpoint_delta,4,0.8376736111111112,0.83984118442864,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,endpoint_position_from_endpoint_delta,6,0.4014756944444444,0.38489579179376504,0.16666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5894097222222222,0.5892599237159095,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,triple_label_from_single_endpoint_delta,4,0.9088541666666666,0.9069965592714644,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,endpoint_position_from_endpoint_delta,6,0.4192708333333333,0.4157153504508379,0.16666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6063368055555556,0.6057217410499922,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,triple_label_from_single_endpoint_delta,4,0.6184895833333334,0.6199709422736386,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,endpoint_position_from_endpoint_delta,6,0.1714409722222222,0.15821506933487706,0.16666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5052083333333334,0.4426317451371181,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,triple_label_from_single_endpoint_delta,4,0.9396701388888888,0.9399237949434248,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,endpoint_position_from_endpoint_delta,6,0.3472222222222222,0.351515052948113,0.16666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5668402777777778,0.5573130808914298,0.5,13824,2304
