model,ridge_alpha,heldout_language,method,operator,operator_fro_norm,operator_spectral_norm,operator_trace
BAAI/bge-m3,10.0,en,linear,N,8.447982705778742,3.238144252851165,-42.30722552537918
BAAI/bge-m3,10.0,en,linear,Q,7.699025762230343,2.4823308401328887,-29.77344834804535
BAAI/bge-m3,10.0,en,linear,M,5.733956448143696,1.7439163328533636,-32.01795411109924
BAAI/bge-m3,10.0,en,linear,T,7.341545487890404,2.657599447018555,-37.58863162994385
BAAI/bge-m3,10.0,en,affine,N,8.407980062857296,3.2315143414719607,-42.10719087719917
BAAI/bge-m3,10.0,en,affine,Q,7.625564840038643,2.425746426698607,-29.834883600473404
BAAI/bge-m3,10.0,en,affine,M,5.755111652548348,1.74615504570692,-32.462971687316895
BAAI/bge-m3,10.0,en,affine,T,7.312793049093661,2.63639522864442,-38.097982972860336
BAAI/bge-m3,10.0,es,linear,N,8.478546241570399,3.149650323119534,-41.39557030797005
BAAI/bge-m3,10.0,es,linear,Q,8.078865578572229,2.8074370103563093,-28.998425602912903
BAAI/bge-m3,10.0,es,linear,M,5.64478500407485,1.8104823363919813,-31.85774600505829
BAAI/bge-m3,10.0,es,linear,T,7.299169243843253,2.79282081220025,-37.21169582009316
BAAI/bge-m3,10.0,es,affine,N,8.444245982819085,3.147515976224129,-41.20247921347618
BAAI/bge-m3,10.0,es,affine,Q,7.996677632856084,2.7432150530602546,-28.99856188893318
BAAI/bge-m3,10.0,es,affine,M,5.665933079649998,1.808785088502194,-32.27722030878067
BAAI/bge-m3,10.0,es,affine,T,7.286239854511905,2.780228123845344,-37.619822680950165
BAAI/bge-m3,10.0,fr,linear,N,8.683587150626112,3.1371731422129803,-42.97087350487709
BAAI/bge-m3,10.0,fr,linear,Q,7.883374901065499,2.659226051298378,-29.403016418218613
BAAI/bge-m3,10.0,fr,linear,M,5.578827583633499,1.6672504821677572,-32.816659688949585
BAAI/bge-m3,10.0,fr,linear,T,7.43768815155073,2.706875422864284,-38.267148941755295
BAAI/bge-m3,10.0,fr,affine,N,8.63443458776162,3.1253544447628547,-42.85783267021179
BAAI/bge-m3,10.0,fr,affine,Q,7.798241583120253,2.657684245582125,-29.42521780729294
