prompt_id,prompt
0,The musician played the rule.
1,The student found the problem.
2,The musician played a short story.
3,The programmer discovered the meal.
4,The doctor explained the aircraft.
5,The journalist explained a complex machine.
6,The nurse designed the event.
7,The musician grew the problem.
8,The engineer helped a complex machine.
9,The writer controlled the aircraft.
10,The journalist created a sad melody.
11,The nurse examined the event.
12,The writer controlled a short story.
13,The scientist discovered the family.
14,The pilot tested a complex machine.
15,The analyst controlled the decision.
16,The writer designed the rule.
17,The scientist defended the garden.
18,The nurse found a sad melody.
19,The journalist solved the decision.
20,The musician approved the data.
21,The scientist grew the interface.
22,The programmer defended the rule.
23,The doctor defended a black cat.
24,The researcher analyzed the aircraft.
25,The chef helped the client.
26,The musician approved the family.
27,The lawyer studied a black cat.
28,The designer helped a short story.
29,The engineer tested a beautiful painting.
30,The analyst wrote the aircraft.
31,The student approved the event.
32,The scientist designed a new principle.
33,The chef controlled a new principle.
34,The teacher tested the decision.
35,The journalist solved the garden.
36,The pilot approved the family.
37,The musician improved a short story.
38,The doctor created a sad melody.
39,The manager discovered the problem.
40,The scientist prepared a black cat.
41,The writer improved the question.
42,The programmer designed a sad melody.
43,The lawyer wrote the meal.
44,The researcher examined the client.
45,The teacher improved a new principle.
46,The lawyer approved the event.
47,The nurse analyzed the rule.
48,The programmer approved the data.
49,The researcher discovered the meal.
50,The engineer controlled the aircraft.
51,The engineer helped the family.
52,The teacher studied the aircraft.
53,The designer analyzed a beautiful painting.
54,The pilot designed a sad melody.
55,The pilot analyzed the meal.
56,The lawyer examined the garden.
57,The lawyer approved the family.
58,The pilot examined a short story.
59,The analyst solved the event.
60,The manager studied the system.
61,The designer tested a complex machine.
62,The student analyzed a new principle.
63,The writer explained the data.
64,The student discovered the garden.
65,The journalist wrote the data.
66,The journalist reported the family.
67,The pilot examined a new principle.
68,The doctor controlled the garden.
69,The lawyer discovered the system.
70,The engineer reported a beautiful painting.
71,The writer reported the data.
72,The researcher explained the question.
73,The nurse played a new principle.
74,The engineer discovered the event.
75,The analyst controlled a beautiful painting.
76,The chef grew the meal.
77,The doctor studied the garden.
78,The engineer explained the event.
79,The teacher grew the patient.
80,The artist played a new principle.
81,The designer created a new principle.
82,The doctor solved a new principle.
83,The journalist discovered the event.
84,The pilot tested a new principle.
85,The child analyzed a short story.
86,The lawyer helped the garden.
87,The manager improved a sad melody.
88,The farmer designed the system.
89,The programmer found a beautiful painting.
90,The farmer reported the decision.
91,The programmer tested a complex machine.
92,The lawyer approved the patient.
93,The pilot reported the system.
94,The farmer improved the system.
95,The chef analyzed the family.
96,The doctor examined a sad melody.
97,The artist explained a new principle.
98,The musician prepared the meal.
99,The farmer designed the event.
100,The child grew the garden.
101,The researcher prepared the client.
102,The designer grew the question.
103,The journalist discovered the problem.
104,The researcher reported a new principle.
105,The student found the data.
106,The scientist wrote the data.
107,The researcher explained the event.
108,The programmer explained the client.
109,The scientist reported a complex machine.
110,The researcher reported the garden.
111,The student discovered the decision.
112,The musician explained the data.
113,The scientist reported the garden.
114,The child tested the system.
115,The musician analyzed the interface.
116,The musician created a beautiful painting.
117,The teacher controlled the garden.
118,The pilot solved the problem.
119,The journalist solved the rule.
120,The scientist played a short story.
121,The designer analyzed the problem.
122,The manager studied the data.
123,The writer wrote a complex machine.
124,The scientist tested a black cat.
125,The chef defended the question.
126,The student helped the data.
127,The teacher solved the meal.
128,The writer solved the rule.
129,The writer found the data.
130,The chef studied a short story.
131,The journalist analyzed the problem.
132,The nurse studied the system.
133,The designer reported the data.
134,The programmer grew the system.
135,The artist created a black cat.
136,The designer helped a black cat.
137,The writer solved a short story.
138,The designer studied a black cat.
139,The student reported the client.
140,The researcher studied the garden.
141,The chef grew the problem.
142,The child created a black cat.
143,The artist studied the patient.
144,The journalist examined the meal.
145,The journalist explained a beautiful painting.
146,The nurse tested the family.
147,The designer prepared a short story.
148,The doctor solved the client.
149,The nurse controlled the decision.
150,The journalist found the family.
151,The engineer created the rule.
152,The nurse explained the family.
153,The designer improved the problem.
154,The artist designed the system.
155,The student wrote a complex machine.
156,The pilot solved the question.
157,The student solved the client.
158,The doctor approved the interface.
159,The child improved the problem.
160,The analyst analyzed the family.
161,The doctor studied a beautiful painting.
162,The designer discovered a short story.
163,The analyst prepared a short story.
164,The engineer controlled a new principle.
165,The farmer approved a black cat.
166,The musician discovered the system.
167,The child helped the client.
168,The chef defended the client.
169,The pilot tested the aircraft.
170,The teacher discovered the data.
171,The teacher grew a new principle.
172,The student designed the question.
173,The doctor discovered the rule.
174,The journalist tested the decision.
175,The musician designed a complex machine.
176,The engineer helped the meal.
177,The child defended the garden.
178,The designer analyzed the rule.
179,The writer designed the problem.
180,The teacher analyzed the family.
181,The chef explained the aircraft.
182,The analyst controlled the event.
183,The journalist designed the interface.
184,The doctor defended the question.
185,The teacher prepared a sad melody.
186,The farmer grew a sad melody.
187,The student improved a new principle.
188,The pilot wrote the patient.
189,The journalist grew the aircraft.
190,The programmer grew a short story.
191,The researcher controlled the garden.
192,The scientist designed the rule.
193,The artist helped the interface.
194,The engineer approved the question.
195,The chef grew the event.
196,The chef helped the aircraft.
197,The student wrote the interface.
198,The farmer discovered the system.
199,The farmer tested the meal.
200,The musician did not play the rule.
201,Did the musician play the rule?
202,The musician will play the rule.
203,The musician may have played the rule.
204,The rule was played by the musician.
205,It is true that the musician played the rule.
206,The student did not find the problem.
207,Did the student find the problem?
208,The student will find the problem.
209,The student may have found the problem.
210,The problem was found by the student.
211,It is true that the student found the problem.
212,The musician did not play a short story.
213,Did the musician play a short story?
214,The musician will play a short story.
215,The musician may have played a short story.
