model,pair,mean_comm_norm,mean_relative_antisym_error,mean_cos_comm_ab_neg_comm_ba,n
distilgpt2,MT_vs_TM,10.140847778320312,0.0,1.0000000184774398,100
distilgpt2,NM_vs_MN,4.8427437615394595,0.0,0.9999999880790711,100
distilgpt2,NQ_vs_QN,5.731833548545837,0.0,1.0,100
distilgpt2,NT_vs_TN,10.679415755271911,0.0,1.0000000059604646,100
distilgpt2,QM_vs_MQ,7.757226929664612,0.0,0.9999999833106995,100
distilgpt2,QT_vs_TQ,2.66394637465477,0.0,0.9999999618530273,100
gpt2,MT_vs_TM,11.579464921951294,0.0,0.9999999934434891,100
gpt2,NM_vs_MN,12.723761668205261,0.0,0.9999999970197677,100
gpt2,NQ_vs_QN,11.188406562805175,0.0,0.9999999958276748,100
gpt2,NT_vs_TN,24.89106451034546,0.0,0.9999999970197677,100
gpt2,QM_vs_MQ,12.813545370101929,0.0,0.9999999898672104,100
gpt2,QT_vs_TQ,4.090029985904693,0.0,1.000000005364418,100
