model,language,triple,basis_rank,jacobi_coeff_norm,jacobi_embedding_norm,relative_jacobi_embedding_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T
sentence-transformers/LaBSE,ar,NQM,4,0.1689046175588614,0.2636096312324724,0.16178843524811073,0.157018406316638,-0.0003391826758161187,-0.02485411800444126,-0.05706266453489661
sentence-transformers/LaBSE,ar,NQT,4,0.9173738294122583,2.726787924118283,1.37313757237288,0.3135097185149789,-0.011901503370609134,-0.343306802213192,-0.7907497663982213
sentence-transformers/LaBSE,ar,NMT,4,0.2517760854145944,0.32550259428140166,0.42768969797860973,0.18160671630175784,-0.003049384045880288,-0.15741322422400117,-0.07497983647044748
sentence-transformers/LaBSE,ar,QMT,4,0.4129195081032871,0.5033172973111524,0.44836878880828107,-0.33165582874789834,-0.019952284987084568,0.13887241389602423,0.20204774290323257
sentence-transformers/LaBSE,de,NQM,4,0.12645012196440222,0.8009399321103194,0.2987916701400176,0.05981620529200882,0.02141627378296107,-0.09390661399811506,-0.055987016297876835
sentence-transformers/LaBSE,de,NQT,4,0.32657010611766574,2.406086867614596,0.7455053002147214,-0.055260043824091554,-0.07677351590245962,-0.3062493687029928,-0.06254209135659039
sentence-transformers/LaBSE,de,NMT,4,0.04805139899257078,0.2792836895015004,0.21459138007985365,0.023150001565227285,0.0007426478259731084,0.005194085417315364,-0.04177899380738381
sentence-transformers/LaBSE,de,QMT,4,0.07650094179735564,0.453126223738168,0.2132912694166512,-0.022804210719186813,-0.0042997433338314295,-0.07116898451931775,0.015774977626278996
sentence-transformers/LaBSE,en,NQM,4,0.07862229274753309,0.5484966650876244,0.23092964392153717,0.03669326438102871,-0.0004083216190338135,0.034602836705744267,0.060312073677778244
sentence-transformers/LaBSE,en,NQT,4,0.46485078645972144,2.8421093039224,0.8390208938855876,-0.08422413852531463,0.05482349265366793,-0.37676842138171196,-0.25304641760885715
sentence-transformers/LaBSE,en,NMT,4,0.1786123315583162,0.9585584325819418,0.4540127074344377,0.05347007530508563,-0.008911579265259206,-0.1537836231291294,-0.07290059700608253
sentence-transformers/LaBSE,en,QMT,4,0.07797566693956332,0.3730917959143858,0.17617691180493888,0.02588460745755583,-0.0024833520874381065,-0.07347237702924758,0.0024154725251719356
sentence-transformers/LaBSE,es,NQM,4,0.2659069912984231,1.485539728465643,0.5360642197016909,0.22500962382764556,0.10903502587461844,0.03843390953261405,-0.08192310380400158
sentence-transformers/LaBSE,es,NQT,4,0.23122733649114613,1.179176019595703,0.38401113902783435,0.18945887095469516,0.08842124720104039,0.013498450862243772,-0.09783093695295975
sentence-transformers/LaBSE,es,NMT,4,0.10204715812666125,0.5208696423122823,0.35337897094644705,0.09624625206924975,0.021927748995949514,-0.01001938059926033,-0.02385513111948967
sentence-transformers/LaBSE,es,QMT,4,0.08176560571218298,0.3513439862535788,0.20810634560441002,0.050221043173223734,0.028965226840227842,0.0021764100529253483,-0.057617184706032276
sentence-transformers/LaBSE,fr,NQM,4,0.12224084709245878,0.7236260394714128,0.2781109679191453,0.09381040988955647,0.02004857122665271,-0.0754556143656373,-0.006851039826869965
sentence-transformers/LaBSE,fr,NQT,4,0.3254589679059125,1.9154207261723846,0.5723293838863209,0.23918503988534212,-0.13562016189098358,-0.07900233939290047,0.1551768621429801
sentence-transformers/LaBSE,fr,NMT,4,0.1293575960083337,0.5384279195142551,0.49210939715836804,0.028038865712005645,-0.004551699152216315,0.12298985570669174,-0.028284042899031192
sentence-transformers/LaBSE,fr,QMT,4,0.08121322932739555,0.35383455693889654,0.16602115830872716,-0.03979297075420618,0.013001339830225334,0.06360120326280594,0.028248189366422594
sentence-transformers/LaBSE,ru,NQM,4,0.08761557773446452,0.39483698852152277,0.44677602311859343,-0.06968703831080347,-0.0002112830989062786,0.018948132317746058,-0.04960977518931031
sentence-transformers/LaBSE,ru,NQT,4,0.15858239727562926,0.6654719098488089,0.46147337684924894,-0.15323056191846263,0.02161185533623211,-0.023998840690182988,-0.025015094928676262
sentence-transformers/LaBSE,ru,NMT,4,0.050927833187523405,0.28068173145452324,0.32853428741285684,-0.010986242559738457,-0.008010182675207034,-0.02259485999820754,-0.043568979133851826
sentence-transformers/LaBSE,ru,QMT,4,0.06233195534711156,0.32386656548930093,0.42657329722269766,-0.03171823895536363,-0.0009953465196304023,-0.007953891225042753,-0.053056299104355276
sentence-transformers/LaBSE,zh,NQM,4,0.05852299607354962,0.27013648101159354,0.18735139218724695,-0.05485962692182511,0.004856085870414972,0.005230627954006195,-0.019089823588728905
sentence-transformers/LaBSE,zh,NQT,4,0.4359250992806302,1.945451787805882,0.8098223556497707,-0.028447482327464968,0.08234934019856155,-0.3863935493864119,-0.18204407184384763
sentence-transformers/LaBSE,zh,NMT,4,0.015212470725177042,0.06030500254285831,0.08135520872662384,0.0004568585136439651,0.0053904675878584385,-0.01336307730525732,0.004856085870414972
sentence-transformers/LaBSE,zh,QMT,4,0.03965550204881235,0.17352021756151326,0.14888272833480592,-0.0011288485839031637,-0.0004568585136439651,0.03834531840402633,0.010035555809736252
