model,target_class,source_set,prompt_style,control,target_marker_rate,question_mark_rate,mean_content_preservation,target_and_preserved_rate,other_marker_rate,rows
distilgpt2,question,in_template_test,copy_sentence,negative_target,0.2125,0.0,0.7222222222222222,0.008333333333333333,0.2125,240
distilgpt2,question,in_template_test,copy_sentence,none,0.05,0.0,0.825,0.0,0.05,240
distilgpt2,question,in_template_test,copy_sentence,random_norm,0.13333333333333333,0.0,0.6291666666666667,0.0,0.13333333333333333,240
distilgpt2,question,in_template_test,copy_sentence,target,0.32083333333333336,0.30416666666666664,0.22222222222222224,0.0375,0.2625,240
distilgpt2,question,in_template_test,copy_sentence,wrong_class,0.1,0.0,0.8333333333333334,0.0,0.1,240
distilgpt2,question,in_template_test,repeat_sentence,negative_target,0.25,0.0,0.8138888888888889,0.004166666666666667,0.25,240
distilgpt2,question,in_template_test,repeat_sentence,none,0.125,0.0,0.9166666666666666,0.0,0.125,240
distilgpt2,question,in_template_test,repeat_sentence,random_norm,0.175,0.0,0.8069444444444444,0.0,0.19166666666666668,240
distilgpt2,question,in_template_test,repeat_sentence,target,0.42916666666666664,0.375,0.7138888888888889,0.2708333333333333,0.125,240
distilgpt2,question,in_template_test,repeat_sentence,wrong_class,0.12916666666666668,0.0,0.8944444444444444,0.0,0.13333333333333333,240
distilgpt2,question,in_template_test,same_sentence,negative_target,0.0875,0.0,0.9069444444444444,0.0,0.0875,240
distilgpt2,question,in_template_test,same_sentence,none,0.0,0.0,1.0,0.0,0.0,240
distilgpt2,question,in_template_test,same_sentence,random_norm,0.04583333333333333,0.0,0.9027777777777778,0.0,0.05,240
distilgpt2,question,in_template_test,same_sentence,target,0.475,0.4666666666666667,0.775,0.2833333333333333,0.0125,240
distilgpt2,question,in_template_test,same_sentence,wrong_class,0.029166666666666667,0.0,0.9833333333333333,0.0,0.029166666666666667,240
distilgpt2,question,out_of_template_freeform,copy_sentence,negative_target,0.2916666666666667,0.0,0.6652777777777777,0.0125,0.29583333333333334,240
distilgpt2,question,out_of_template_freeform,copy_sentence,none,0.175,0.0,0.75,0.025,0.175,240
distilgpt2,question,out_of_template_freeform,copy_sentence,random_norm,0.19583333333333333,0.0,0.5305555555555556,0.008333333333333333,0.22083333333333333,240
distilgpt2,question,out_of_template_freeform,copy_sentence,target,0.30833333333333335,0.2916666666666667,0.23472222222222222,0.008333333333333333,0.23333333333333334,240
distilgpt2,question,out_of_template_freeform,copy_sentence,wrong_class,0.15833333333333333,0.0,0.7388888888888889,0.008333333333333333,0.17083333333333334,240
distilgpt2,question,out_of_template_freeform,repeat_sentence,negative_target,0.24583333333333332,0.0,0.8111111111111111,0.0125,0.25,240
distilgpt2,question,out_of_template_freeform,repeat_sentence,none,0.075,0.0,0.9166666666666666,0.0,0.1,240
distilgpt2,question,out_of_template_freeform,repeat_sentence,random_norm,0.1625,0.0,0.773611111111111,0.004166666666666667,0.17916666666666667,240
distilgpt2,question,out_of_template_freeform,repeat_sentence,target,0.3333333333333333,0.29583333333333334,0.611111111111111,0.17083333333333334,0.14166666666666666,240
distilgpt2,question,out_of_template_freeform,repeat_sentence,wrong_class,0.09583333333333334,0.0,0.9305555555555556,0.004166666666666667,0.10416666666666667,240
distilgpt2,question,out_of_template_freeform,same_sentence,negative_target,0.20833333333333334,0.0,0.851388888888889,0.008333333333333333,0.20833333333333334,240
distilgpt2,question,out_of_template_freeform,same_sentence,none,0.0,0.0,1.0,0.0,0.0,240
distilgpt2,question,out_of_template_freeform,same_sentence,random_norm,0.09583333333333334,0.0,0.8638888888888889,0.008333333333333333,0.10833333333333334,240
distilgpt2,question,out_of_template_freeform,same_sentence,target,0.39166666666666666,0.38333333333333336,0.7402777777777777,0.24583333333333332,0.075,240
distilgpt2,question,out_of_template_freeform,same_sentence,wrong_class,0.008333333333333333,0.0,0.9972222222222222,0.0,0.008333333333333333,240
