source_set,prompt_style,control,question_mark_rate,mean_content_preservation,mean_content_preservation_until_question,steered_question_and_preserved_rate,strict_question_and_preserved_rate,rows
in_template_test,input_output,negative_target,0.0,0.9375,0.9375,0.0,0.0,80
in_template_test,input_output,none,0.0,0.9916666666666666,0.9916666666666666,0.0,0.0,80
in_template_test,input_output,random_norm,0.0,0.9208333333333334,0.9208333333333334,0.0,0.0,80
in_template_test,input_output,target,0.9625,0.8583333333333334,0.8583333333333334,0.75,0.75,80
in_template_test,input_output,wrong_class,0.0,0.9666666666666666,0.9666666666666666,0.0,0.0,80
in_template_test,plain_statement,negative_target,0.0,0.225,0.225,0.0,0.0,80
in_template_test,plain_statement,none,0.0,0.20833333333333334,0.20833333333333334,0.0,0.0,80
in_template_test,plain_statement,random_norm,0.025,0.4125,0.4125,0.0,0.0,80
in_template_test,plain_statement,target,0.775,0.6375,0.6375,0.4875,0.4875,80
in_template_test,plain_statement,wrong_class,0.0,0.225,0.225,0.0,0.0,80
in_template_test,sentence_continuation,negative_target,0.0,0.825,0.825,0.0,0.0,80
in_template_test,sentence_continuation,none,0.0,0.9166666666666666,0.9166666666666666,0.0,0.0,80
in_template_test,sentence_continuation,random_norm,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,80
in_template_test,sentence_continuation,target,0.9875,0.9208333333333334,0.9208333333333334,0.85,0.85,80
in_template_test,sentence_continuation,wrong_class,0.0,0.9083333333333334,0.9083333333333334,0.0,0.0,80
in_template_test,source_response,negative_target,0.0,0.32083333333333336,0.32083333333333336,0.0,0.0,80
in_template_test,source_response,none,0.0,0.9166666666666666,0.9166666666666666,0.0,0.0,80
in_template_test,source_response,random_norm,0.0,0.7041666666666667,0.7041666666666667,0.0,0.0,80
in_template_test,source_response,target,0.925,0.8666666666666666,0.8666666666666666,0.7375,0.7375,80
in_template_test,source_response,wrong_class,0.0,0.9333333333333333,0.9333333333333333,0.0,0.0,80
out_of_template_freeform,input_output,negative_target,0.0,0.8375,0.8375,0.0,0.0,80
out_of_template_freeform,input_output,none,0.0,0.9416666666666667,0.9416666666666667,0.0,0.0,80
out_of_template_freeform,input_output,random_norm,0.0,0.9333333333333333,0.9333333333333333,0.0,0.0,80
out_of_template_freeform,input_output,target,0.8375,0.825,0.825,0.5,0.5,80
out_of_template_freeform,input_output,wrong_class,0.0,0.95,0.95,0.0,0.0,80
out_of_template_freeform,plain_statement,negative_target,0.0,0.19583333333333333,0.19583333333333333,0.0,0.0,80
out_of_template_freeform,plain_statement,none,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,80
out_of_template_freeform,plain_statement,random_norm,0.0,0.23333333333333334,0.23333333333333334,0.0,0.0,80
out_of_template_freeform,plain_statement,target,0.8125,0.2333333333333333,0.2333333333333333,0.0875,0.0875,80
out_of_template_freeform,plain_statement,wrong_class,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,80
out_of_template_freeform,sentence_continuation,negative_target,0.0,0.7166666666666666,0.7166666666666666,0.0,0.0,80
out_of_template_freeform,sentence_continuation,none,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,80
out_of_template_freeform,sentence_continuation,random_norm,0.0,0.7541666666666667,0.7541666666666667,0.0,0.0,80
out_of_template_freeform,sentence_continuation,target,0.925,0.8541666666666666,0.8541666666666666,0.7,0.7,80
out_of_template_freeform,sentence_continuation,wrong_class,0.0,0.8458333333333334,0.8458333333333334,0.0,0.0,80
out_of_template_freeform,source_response,negative_target,0.0,0.275,0.275,0.0,0.0,80
out_of_template_freeform,source_response,none,0.0,0.5666666666666667,0.5666666666666667,0.0,0.0,80
out_of_template_freeform,source_response,random_norm,0.0,0.3708333333333333,0.3708333333333333,0.0,0.0,80
out_of_template_freeform,source_response,target,0.875,0.4625,0.4625,0.2125,0.2125,80
out_of_template_freeform,source_response,wrong_class,0.0,0.5416666666666667,0.5416666666666667,0.0,0.0,80
