model,scale,language,template_id,representation,from_level,to_level,step_size,delta_norm
sentence-transformers/LaBSE,affect,en,0,mean_pool,-2,-1,1,4.383899688720703
sentence-transformers/LaBSE,affect,en,0,mean_pool,-1,0,1,8.932392120361328
sentence-transformers/LaBSE,affect,en,0,mean_pool,0,1,1,11.390432357788086
sentence-transformers/LaBSE,affect,en,0,mean_pool,1,2,1,4.2653937339782715
sentence-transformers/LaBSE,affect,en,0,mean_pool,-2,0,2,9.499743461608887
sentence-transformers/LaBSE,affect,en,0,mean_pool,-1,1,2,6.934904098510742
sentence-transformers/LaBSE,affect,en,0,mean_pool,0,2,2,11.310079574584961
sentence-transformers/LaBSE,affect,en,0,mean_pool,-2,2,4,7.376589775085449
sentence-transformers/LaBSE,affect,en,1,mean_pool,-2,-1,1,4.485650539398193
sentence-transformers/LaBSE,affect,en,1,mean_pool,-1,0,1,8.3550443649292
sentence-transformers/LaBSE,affect,en,1,mean_pool,0,1,1,10.910113334655762
sentence-transformers/LaBSE,affect,en,1,mean_pool,1,2,1,3.753176212310791
sentence-transformers/LaBSE,affect,en,1,mean_pool,-2,0,2,8.954449653625488
sentence-transformers/LaBSE,affect,en,1,mean_pool,-1,1,2,6.752557277679443
sentence-transformers/LaBSE,affect,en,1,mean_pool,0,2,2,10.351510047912598
sentence-transformers/LaBSE,affect,en,1,mean_pool,-2,2,4,6.770927906036377
sentence-transformers/LaBSE,affect,en,2,mean_pool,-2,-1,1,4.8642964363098145
sentence-transformers/LaBSE,affect,en,2,mean_pool,-1,0,1,9.138260841369629
sentence-transformers/LaBSE,affect,en,2,mean_pool,0,1,1,11.76186466217041
sentence-transformers/LaBSE,affect,en,2,mean_pool,1,2,1,4.282227039337158
sentence-transformers/LaBSE,affect,en,2,mean_pool,-2,0,2,9.31328010559082
sentence-transformers/LaBSE,affect,en,2,mean_pool,-1,1,2,7.160423278808594
sentence-transformers/LaBSE,affect,en,2,mean_pool,0,2,2,11.353181838989258
