model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,N,0.8637235471724154,0.02884606958603053,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,N,0.8651419878005981,0.028881702572107315,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,Q,0.8265995284292572,0.033322536679482796,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,Q,0.831621527671814,0.03280537202954292,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,M,0.9247114402576837,0.022797358431472414,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,M,0.9259096384048462,0.022918490692973137,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,T,0.924854370726889,0.023108396998193087,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,T,0.9265058636665344,0.023235272616147995,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,N,0.8646471256596986,0.024243105393907158,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,N,0.8600105047225952,0.022846847772598267,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,Q,0.8929060629945447,0.016159370332316562,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,Q,0.8905433416366577,0.015978267416357994,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,M,0.8709804586684591,0.018401673834976227,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,M,0.8628199696540833,0.018489306792616844,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,T,0.8927205919232268,0.018270164657386647,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,T,0.8769218325614929,0.018553275614976883,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,N,0.8723491129355733,0.021649687123130666,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,affine,N,0.8695955276489258,0.020581740885972977,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,Q,0.8396187375212418,0.01727182658232178,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,affine,Q,0.839978039264679,0.017034530639648438,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,M,0.8942125496627664,0.013765369443930139,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,affine,M,0.8871687650680542,0.013902166858315468,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,T,0.9081337123260844,0.013848182034652556,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,affine,T,0.9020372629165649,0.013680219650268555,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,linear,N,0.8610146928241729,0.02428706502974831,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,affine,N,0.8725870251655579,0.02083616331219673,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,linear,Q,0.8660395700017993,0.017555623200046718,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,affine,Q,0.8691279292106628,0.016735339537262917,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,linear,M,0.8927688027091794,0.0129075982954082,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,affine,M,0.8297711610794067,0.01542943436652422,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,linear,T,0.8772524403297363,0.015304839418851135,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,affine,T,0.8628804087638855,0.014953697100281715,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,linear,N,0.4093861373958255,0.030699683906829513,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,affine,N,0.29795756936073303,0.041195593774318695,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,linear,Q,0.5989640033733216,0.02190214494006055,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,affine,Q,0.5589269399642944,0.022186601534485817,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,linear,M,0.5991980003371079,0.026927877692214375,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,affine,M,0.5585032105445862,0.027101535350084305,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,linear,T,0.6307114923124496,0.02174226532447281,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,affine,T,0.6041735410690308,0.021402353420853615,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,linear,N,0.8699127203063732,0.021663465910445694,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,affine,N,0.8620912432670593,0.021639907732605934,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,linear,Q,0.9107084046764499,0.011760389496401255,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,affine,Q,0.9103776216506958,0.011725501157343388,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,linear,M,0.9370351764015808,0.01533626588063966,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,affine,M,0.9349679946899414,0.014940308406949043,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,linear,T,0.9248696053728388,0.013801853570924722,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,affine,T,0.9208532571792603,0.01360472571104765,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,linear,N,0.4175253406212184,0.07969234641752934,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,affine,N,0.19897620379924774,0.09670218080282211,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,linear,Q,0.6294270478937299,0.06473242247623004,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,affine,Q,0.328820139169693,0.0864017978310585,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,linear,M,0.5869429610283621,0.07009911367617169,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,affine,M,0.2781549096107483,0.09345434606075287,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,linear,T,0.5192374744394147,0.07496670112752701,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,affine,T,0.28406065702438354,0.09218618273735046,160
