model,template_id,pair,label,source,ab_text,ba_text,norm_ab,norm_ba,commutator_norm,relative_commutator_norm,cosine_ab_ba,noncommutativity_score
roberta-base,0,N_M_equivalent,equivalent,The teacher fixed the bug.,The teacher allegedly failed to fix the bug.,"Allegedly, the teacher failed to fix the bug.",2.3877198696136475,2.7640440464019775,1.2684098482131958,0.49241769183929984,0.8888411521911621,0.11115884780883789
roberta-base,0,M_T_equivalent,equivalent,The teacher fixed the bug.,The teacher will allegedly fix the bug tomorrow.,"Allegedly, the teacher will fix the bug tomorrow.",2.4454188346862793,2.978095293045044,1.3502832651138306,0.49793666368788875,0.8943026065826416,0.1056973934173584
roberta-base,0,Q_M_equivalent,equivalent,The teacher fixed the bug.,Could the teacher allegedly fix the bug?,"Allegedly, could the teacher fix the bug?",2.1493775844573975,2.8362526893615723,1.6513177156448364,0.6624308763189823,0.8150436878204346,0.18495631217956543
roberta-base,0,Q_T_equivalent,equivalent,The teacher fixed the bug.,Will the teacher fix the bug tomorrow?,Could the teacher fix the bug tomorrow?,2.3904402256011963,2.27917218208313,0.7643833756446838,0.32738621920161304,0.9475149512290955,0.05248504877090454
roberta-base,0,N_Q_nonequivalent,non_equivalent,The teacher fixed the bug.,Could the teacher fail to fix the bug?,Is it false that the teacher fixed the bug?,2.196047782897949,2.0517759323120117,1.6034414768218994,0.754947278569864,0.7170079946517944,0.28299200534820557
roberta-base,0,N_T_nonequivalent,non_equivalent,The teacher fixed the bug.,The teacher will fail to fix the bug tomorrow.,The teacher failed to have fixed the bug earlier.,2.1375880241394043,2.0471365451812744,1.4752894639968872,0.7050831850735978,0.7522475123405457,0.24775248765945435
roberta-base,0,M_T_nonequivalent,non_equivalent,The teacher fixed the bug.,The teacher will allegedly fix the bug tomorrow.,The teacher was allegedly going to fix the bug.,2.4454188346862793,2.358120918273926,1.3481084108352661,0.5612979095276255,0.8430811166763306,0.15691888332366943
roberta-base,0,Q_M_nonequivalent,non_equivalent,The teacher fixed the bug.,Could the teacher allegedly fix the bug?,Is it alleged that the teacher fixed the bug?,2.1493775844573975,2.279467821121216,1.5912024974822998,0.7185631250426074,0.7433375716209412,0.25666242837905884
roberta-base,1,N_M_equivalent,equivalent,The oracle accepted the explanation.,The oracle allegedly failed to accept the explanation.,"Allegedly, the oracle failed to accept the explanation.",1.6631633043289185,2.1103737354278564,1.1639193296432495,0.6168850695673328,0.8355063796043396,0.1644936203956604
roberta-base,1,M_T_equivalent,equivalent,The oracle accepted the explanation.,The oracle will allegedly accept the explanation tomorrow.,"Allegedly, the oracle will accept the explanation tomorrow.",1.6740379333496094,2.1577720642089844,1.2999119758605957,0.6784845682265798,0.7984918355941772,0.20150816440582275
