model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test
distilbert-base-multilingual-cased,1.0,en,additive,N,0.8924025297164917,0.06361905485391617,160
distilbert-base-multilingual-cased,1.0,en,linear,N,0.5972098077016919,0.20146072558387682,160
distilbert-base-multilingual-cased,1.0,en,affine,N,0.605408787727356,0.1998649388551712,160
distilbert-base-multilingual-cased,1.0,en,additive,Q,0.801284670829773,0.10401014238595963,160
distilbert-base-multilingual-cased,1.0,en,linear,Q,0.6279168361871139,0.14991891725812986,160
distilbert-base-multilingual-cased,1.0,en,affine,Q,0.6452956199645996,0.14875859022140503,160
distilbert-base-multilingual-cased,1.0,en,additive,M,0.9501887559890747,0.030007297173142433,160
distilbert-base-multilingual-cased,1.0,en,linear,M,0.7667961706275758,0.12231664670713219,160
distilbert-base-multilingual-cased,1.0,en,affine,M,0.7535359859466553,0.12951183319091797,160
distilbert-base-multilingual-cased,1.0,en,additive,T,0.8698016405105591,0.07715550065040588,160
distilbert-base-multilingual-cased,1.0,en,linear,T,0.6536971082818523,0.1711546592697114,160
distilbert-base-multilingual-cased,1.0,en,affine,T,0.651586651802063,0.17601506412029266,160
distilbert-base-multilingual-cased,1.0,es,additive,N,0.9219627380371094,0.03542118892073631,160
distilbert-base-multilingual-cased,1.0,es,linear,N,0.6576583278508842,0.14242598135277051,160
distilbert-base-multilingual-cased,1.0,es,affine,N,0.6110804677009583,0.1679123044013977,160
distilbert-base-multilingual-cased,1.0,es,additive,Q,0.9286419749259949,0.02973100170493126,160
distilbert-base-multilingual-cased,1.0,es,linear,Q,0.5183450377438282,0.18180124414428095,160
distilbert-base-multilingual-cased,1.0,es,affine,Q,0.546794593334198,0.16631372272968292,160
distilbert-base-multilingual-cased,1.0,es,additive,M,0.9458853006362915,0.024653447791934013,160
distilbert-base-multilingual-cased,1.0,es,linear,M,0.6476364166582227,0.14973921609851568,160
distilbert-base-multilingual-cased,1.0,es,affine,M,0.5931826829910278,0.18129824101924896,160
distilbert-base-multilingual-cased,1.0,es,additive,T,0.9222387075424194,0.03598713502287865,160
distilbert-base-multilingual-cased,1.0,es,linear,T,0.6745256048518975,0.1358099171801778,160
distilbert-base-multilingual-cased,1.0,es,affine,T,0.6252380609512329,0.16956469416618347,160
distilbert-base-multilingual-cased,1.0,fr,additive,N,0.9101687669754028,0.03964199870824814,160
distilbert-base-multilingual-cased,1.0,fr,linear,N,0.549383498136708,0.1719956776330281,160
distilbert-base-multilingual-cased,1.0,fr,affine,N,0.5175270438194275,0.1877838671207428,160
