model,kind,label,language_a,language_b,centroid_cosine
xlm-roberta-base,pair_commutator,MT_vs_TM,ar,de,0.016336260363459587
xlm-roberta-base,pair_commutator,MT_vs_TM,ar,en,-0.0632808655500412
xlm-roberta-base,pair_commutator,MT_vs_TM,ar,es,-0.13028152287006378
xlm-roberta-base,pair_commutator,MT_vs_TM,ar,fr,0.07279624044895172
xlm-roberta-base,pair_commutator,MT_vs_TM,ar,ru,0.09319004416465759
xlm-roberta-base,pair_commutator,MT_vs_TM,ar,zh,0.0
xlm-roberta-base,pair_commutator,MT_vs_TM,de,en,0.4361613392829895
xlm-roberta-base,pair_commutator,MT_vs_TM,de,es,0.22306713461875916
xlm-roberta-base,pair_commutator,MT_vs_TM,de,fr,0.36469319462776184
xlm-roberta-base,pair_commutator,MT_vs_TM,de,ru,0.11075471341609955
xlm-roberta-base,pair_commutator,MT_vs_TM,de,zh,0.0
xlm-roberta-base,pair_commutator,MT_vs_TM,en,es,0.7005847096443176
xlm-roberta-base,pair_commutator,MT_vs_TM,en,fr,0.48008665442466736
xlm-roberta-base,pair_commutator,MT_vs_TM,en,ru,0.02789054811000824
xlm-roberta-base,pair_commutator,MT_vs_TM,en,zh,0.0
xlm-roberta-base,pair_commutator,MT_vs_TM,es,fr,0.49465876817703247
xlm-roberta-base,pair_commutator,MT_vs_TM,es,ru,-0.03240932524204254
xlm-roberta-base,pair_commutator,MT_vs_TM,es,zh,0.0
xlm-roberta-base,pair_commutator,MT_vs_TM,fr,ru,0.0352146290242672
xlm-roberta-base,pair_commutator,MT_vs_TM,fr,zh,0.0
xlm-roberta-base,pair_commutator,MT_vs_TM,ru,zh,0.0
xlm-roberta-base,pair_commutator,NM_vs_MN,ar,de,-0.11097059398889542
xlm-roberta-base,pair_commutator,NM_vs_MN,ar,en,0.020457018166780472
xlm-roberta-base,pair_commutator,NM_vs_MN,ar,es,-0.015418311581015587
xlm-roberta-base,pair_commutator,NM_vs_MN,ar,fr,0.0800030454993248
xlm-roberta-base,pair_commutator,NM_vs_MN,ar,ru,0.07364591956138611
xlm-roberta-base,pair_commutator,NM_vs_MN,ar,zh,0.0
xlm-roberta-base,pair_commutator,NM_vs_MN,de,en,0.5784269571304321
xlm-roberta-base,pair_commutator,NM_vs_MN,de,es,0.48459312319755554
xlm-roberta-base,pair_commutator,NM_vs_MN,de,fr,0.4772201180458069
xlm-roberta-base,pair_commutator,NM_vs_MN,de,ru,0.10625097155570984
xlm-roberta-base,pair_commutator,NM_vs_MN,de,zh,0.0
xlm-roberta-base,pair_commutator,NM_vs_MN,en,es,0.7216452360153198
xlm-roberta-base,pair_commutator,NM_vs_MN,en,fr,0.6216629147529602
xlm-roberta-base,pair_commutator,NM_vs_MN,en,ru,0.12863624095916748
xlm-roberta-base,pair_commutator,NM_vs_MN,en,zh,0.0
xlm-roberta-base,pair_commutator,NM_vs_MN,es,fr,0.6793510913848877
xlm-roberta-base,pair_commutator,NM_vs_MN,es,ru,0.17539456486701965
xlm-roberta-base,pair_commutator,NM_vs_MN,es,zh,0.0
xlm-roberta-base,pair_commutator,NM_vs_MN,fr,ru,0.24197444319725037
xlm-roberta-base,pair_commutator,NM_vs_MN,fr,zh,0.0
xlm-roberta-base,pair_commutator,NM_vs_MN,ru,zh,0.0
xlm-roberta-base,pair_commutator,NQ_vs_QN,ar,de,0.16452881693840027
xlm-roberta-base,pair_commutator,NQ_vs_QN,ar,en,0.029815100133419037
xlm-roberta-base,pair_commutator,NQ_vs_QN,ar,es,0.07109686732292175
xlm-roberta-base,pair_commutator,NQ_vs_QN,ar,fr,-0.15979808568954468
xlm-roberta-base,pair_commutator,NQ_vs_QN,ar,ru,0.28338176012039185
xlm-roberta-base,pair_commutator,NQ_vs_QN,ar,zh,-0.002145884558558464
xlm-roberta-base,pair_commutator,NQ_vs_QN,de,en,0.3254079520702362
xlm-roberta-base,pair_commutator,NQ_vs_QN,de,es,0.27406322956085205
xlm-roberta-base,pair_commutator,NQ_vs_QN,de,fr,-0.06324094533920288
xlm-roberta-base,pair_commutator,NQ_vs_QN,de,ru,0.32530903816223145
xlm-roberta-base,pair_commutator,NQ_vs_QN,de,zh,0.11257774382829666
xlm-roberta-base,pair_commutator,NQ_vs_QN,en,es,0.44270285964012146
xlm-roberta-base,pair_commutator,NQ_vs_QN,en,fr,-0.002254784107208252
xlm-roberta-base,pair_commutator,NQ_vs_QN,en,ru,0.10782135277986526
xlm-roberta-base,pair_commutator,NQ_vs_QN,en,zh,0.3158121705055237
xlm-roberta-base,pair_commutator,NQ_vs_QN,es,fr,-0.05765341594815254
xlm-roberta-base,pair_commutator,NQ_vs_QN,es,ru,0.2665514349937439
xlm-roberta-base,pair_commutator,NQ_vs_QN,es,zh,0.45665884017944336
xlm-roberta-base,pair_commutator,NQ_vs_QN,fr,ru,-0.23246809840202332
xlm-roberta-base,pair_commutator,NQ_vs_QN,fr,zh,-0.06304481625556946
xlm-roberta-base,pair_commutator,NQ_vs_QN,ru,zh,0.08841948956251144
xlm-roberta-base,pair_commutator,NT_vs_TN,ar,de,0.09046457707881927
xlm-roberta-base,pair_commutator,NT_vs_TN,ar,en,0.09800946712493896
xlm-roberta-base,pair_commutator,NT_vs_TN,ar,es,-0.0007857829332351685
xlm-roberta-base,pair_commutator,NT_vs_TN,ar,fr,0.009312916547060013
xlm-roberta-base,pair_commutator,NT_vs_TN,ar,ru,0.17380037903785706
xlm-roberta-base,pair_commutator,NT_vs_TN,ar,zh,-0.15223854780197144
xlm-roberta-base,pair_commutator,NT_vs_TN,de,en,0.23720085620880127
xlm-roberta-base,pair_commutator,NT_vs_TN,de,es,0.286973237991333
xlm-roberta-base,pair_commutator,NT_vs_TN,de,fr,0.1334746927022934
xlm-roberta-base,pair_commutator,NT_vs_TN,de,ru,0.09795646369457245
xlm-roberta-base,pair_commutator,NT_vs_TN,de,zh,0.17798958718776703
xlm-roberta-base,pair_commutator,NT_vs_TN,en,es,0.17165705561637878
xlm-roberta-base,pair_commutator,NT_vs_TN,en,fr,0.3242493271827698
xlm-roberta-base,pair_commutator,NT_vs_TN,en,ru,0.13242511451244354
xlm-roberta-base,pair_commutator,NT_vs_TN,en,zh,0.36309999227523804
xlm-roberta-base,pair_commutator,NT_vs_TN,es,fr,0.2997339367866516
xlm-roberta-base,pair_commutator,NT_vs_TN,es,ru,0.10699443519115448
xlm-roberta-base,pair_commutator,NT_vs_TN,es,zh,0.3852296769618988
xlm-roberta-base,pair_commutator,NT_vs_TN,fr,ru,0.2901188135147095
xlm-roberta-base,pair_commutator,NT_vs_TN,fr,zh,0.3477384150028229
xlm-roberta-base,pair_commutator,NT_vs_TN,ru,zh,0.11520005017518997
xlm-roberta-base,pair_commutator,QM_vs_MQ,ar,de,0.26328757405281067
xlm-roberta-base,pair_commutator,QM_vs_MQ,ar,en,0.17560534179210663
xlm-roberta-base,pair_commutator,QM_vs_MQ,ar,es,0.21575269103050232
xlm-roberta-base,pair_commutator,QM_vs_MQ,ar,fr,-0.011830855160951614
xlm-roberta-base,pair_commutator,QM_vs_MQ,ar,ru,0.20571134984493256
xlm-roberta-base,pair_commutator,QM_vs_MQ,ar,zh,0.07529878616333008
xlm-roberta-base,pair_commutator,QM_vs_MQ,de,en,0.7448693513870239
xlm-roberta-base,pair_commutator,QM_vs_MQ,de,es,0.7788244485855103
xlm-roberta-base,pair_commutator,QM_vs_MQ,de,fr,0.18304888904094696
xlm-roberta-base,pair_commutator,QM_vs_MQ,de,ru,0.5696357488632202
xlm-roberta-base,pair_commutator,QM_vs_MQ,de,zh,0.4945733845233917
xlm-roberta-base,pair_commutator,QM_vs_MQ,en,es,0.6822898387908936
xlm-roberta-base,pair_commutator,QM_vs_MQ,en,fr,0.3068274259567261
xlm-roberta-base,pair_commutator,QM_vs_MQ,en,ru,0.4488867223262787
xlm-roberta-base,pair_commutator,QM_vs_MQ,en,zh,0.48399609327316284
xlm-roberta-base,pair_commutator,QM_vs_MQ,es,fr,0.31053462624549866
xlm-roberta-base,pair_commutator,QM_vs_MQ,es,ru,0.4713030457496643
xlm-roberta-base,pair_commutator,QM_vs_MQ,es,zh,0.4740278422832489
xlm-roberta-base,pair_commutator,QM_vs_MQ,fr,ru,0.11874786019325256
xlm-roberta-base,pair_commutator,QM_vs_MQ,fr,zh,0.151901513338089
