model,kind,label,language_a,language_b,centroid_cosine
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,ar,de,-0.18575863302605622
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,ar,en,-0.03838861192756934
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,ar,es,-0.04763384035488636
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,ar,fr,0.06184894797254583
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,ar,ru,0.005230722898389377
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,ar,zh,0.0
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,de,en,0.6144571539232229
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,de,es,0.7305671956731539
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,de,fr,0.4728591395711265
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,de,ru,0.2809363802529736
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,de,zh,0.0
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,en,es,0.6162389238079746
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,en,fr,0.4093493787700152
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,en,ru,0.17890708913423378
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,en,zh,0.0
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,es,fr,0.677214101032559
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,es,ru,0.3513402196932216
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,es,zh,0.0
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,fr,ru,0.33694719020037467
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,fr,zh,0.0
intfloat/multilingual-e5-large-instruct,pair_commutator,MT_vs_TM,ru,zh,0.0
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,ar,de,-0.23588224889835718
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,ar,en,-0.008913715725201247
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,ar,es,-0.20435871541907946
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,ar,fr,-0.32533994031385793
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,ar,ru,-0.0798459399649333
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,ar,zh,0.0
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,de,en,0.5679086631433458
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,de,es,0.8719517271061554
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,de,fr,0.677759008652453
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,de,ru,0.5275408907306566
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,de,zh,0.0
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,en,es,0.46243143533630643
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,en,fr,0.26859576732195695
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,en,ru,0.17789312266678275
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,en,zh,0.0
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,es,fr,0.715462862557144
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,es,ru,0.5637697350975057
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,es,zh,0.0
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,fr,ru,0.4998795425776517
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,fr,zh,0.0
intfloat/multilingual-e5-large-instruct,pair_commutator,NM_vs_MN,ru,zh,0.0
intfloat/multilingual-e5-large-instruct,pair_commutator,NQ_vs_QN,ar,de,0.06404846314793475
