model,language,template_id,triple,residualization,subspace_rank,relative_signed_permutation_norm,ratio_to_exact_null_mean,exact_empirical_p
BAAI/bge-m3,ar,0,NQM,raw,0,0.7841338515281677,0.5938472269198488,0.2631578947368421
BAAI/bge-m3,ar,0,NQM,remove_sign,1,0.7855219663572023,0.5956759779514788,0.0526315789473684
BAAI/bge-m3,ar,0,NQM,remove_triple_label,4,0.8029070664433346,0.5905558813297405,0.4736842105263157
BAAI/bge-m3,ar,0,NQM,remove_endpoint_position,6,0.7662065355892651,0.5810619393287236,0.3684210526315789
BAAI/bge-m3,ar,0,NQM,remove_triple_plus_position_plus_sign,11,0.7833444518477388,0.5728878364100738,0.3684210526315789
BAAI/bge-m3,ar,0,NQT,raw,0,0.4703920483589172,0.5284788401338306,0.5789473684210527
BAAI/bge-m3,ar,0,NQT,remove_sign,1,0.4703825375402942,0.5286967523533769,0.5789473684210527
BAAI/bge-m3,ar,0,NQT,remove_triple_label,4,0.4810901318419966,0.5254593016702255,0.5789473684210527
BAAI/bge-m3,ar,0,NQT,remove_endpoint_position,6,0.4670486351064064,0.5319344483788876,0.5789473684210527
BAAI/bge-m3,ar,0,NQT,remove_triple_plus_position_plus_sign,11,0.4814649405469348,0.5278550534474545,0.3684210526315789
BAAI/bge-m3,ar,0,NMT,raw,0,0.4702064394950866,0.7251701855199697,0.3684210526315789
BAAI/bge-m3,ar,0,NMT,remove_sign,1,0.4684212062400015,0.7248238455168955,0.3684210526315789
BAAI/bge-m3,ar,0,NMT,remove_triple_label,4,0.4619029020048667,0.7187130980921678,0.3684210526315789
BAAI/bge-m3,ar,0,NMT,remove_endpoint_position,6,0.475999598090647,0.7225569364658786,0.3684210526315789
BAAI/bge-m3,ar,0,NMT,remove_triple_plus_position_plus_sign,11,0.4721874995324286,0.7174914024767038,0.3684210526315789
BAAI/bge-m3,ar,0,QMT,raw,0,0.7864646315574646,0.6147592529501466,0.5789473684210527
BAAI/bge-m3,ar,0,QMT,remove_sign,1,0.7875709609442163,0.6146967913276921,0.5789473684210527
BAAI/bge-m3,ar,0,QMT,remove_triple_label,4,0.8100988241918458,0.610576560493135,0.5789473684210527
BAAI/bge-m3,ar,0,QMT,remove_endpoint_position,6,0.7840402086083554,0.623433371524541,0.5789473684210527
BAAI/bge-m3,ar,0,QMT,remove_triple_plus_position_plus_sign,11,0.8137045560935059,0.6201242005375421,0.5789473684210527
BAAI/bge-m3,ar,1,NQM,raw,0,0.552945077419281,0.4888494350796121,0.0526315789473684
BAAI/bge-m3,ar,1,NQM,remove_sign,1,0.5574128370685645,0.4921364644519808,0.3684210526315789
BAAI/bge-m3,ar,1,NQM,remove_triple_label,4,0.5708701097822775,0.4835859233349197,0.3684210526315789
BAAI/bge-m3,ar,1,NQM,remove_endpoint_position,6,0.5168451124302897,0.46606549719573,0.2631578947368421
BAAI/bge-m3,ar,1,NQM,remove_triple_plus_position_plus_sign,11,0.5383953137752794,0.4580635446426795,0.3684210526315789
BAAI/bge-m3,ar,1,NQT,raw,0,0.5477098226547241,0.5550452373591662,0.5789473684210527
BAAI/bge-m3,ar,1,NQT,remove_sign,1,0.5491646434196064,0.5575915525953774,0.5789473684210527
BAAI/bge-m3,ar,1,NQT,remove_triple_label,4,0.5806383972250967,0.5578448111143922,0.5789473684210527
BAAI/bge-m3,ar,1,NQT,remove_endpoint_position,6,0.5319246190554512,0.5530567153240327,0.5789473684210527
BAAI/bge-m3,ar,1,NQT,remove_triple_plus_position_plus_sign,11,0.5711277429067281,0.5570074729545982,0.5789473684210527
BAAI/bge-m3,ar,1,NMT,raw,0,0.6194043755531311,0.6983219071476775,0.3684210526315789
BAAI/bge-m3,ar,1,NMT,remove_sign,1,0.6179608004338422,0.6995615377481633,0.1578947368421052
BAAI/bge-m3,ar,1,NMT,remove_triple_label,4,0.6048278993592568,0.6902071397985893,0.3684210526315789
BAAI/bge-m3,ar,1,NMT,remove_endpoint_position,6,0.6135552749225185,0.7002785990927333,0.3684210526315789
BAAI/bge-m3,ar,1,NMT,remove_triple_plus_position_plus_sign,11,0.6015034369793073,0.6905276793788229,0.3684210526315789
BAAI/bge-m3,ar,1,QMT,raw,0,0.5351032614707947,0.5580269983693219,0.5789473684210527
BAAI/bge-m3,ar,1,QMT,remove_sign,1,0.5406349568577552,0.5591921271089204,0.5789473684210527
BAAI/bge-m3,ar,1,QMT,remove_triple_label,4,0.5652670023446669,0.5557337486521322,0.5789473684210527
BAAI/bge-m3,ar,1,QMT,remove_endpoint_position,6,0.5378257419120985,0.5697750867433997,0.5789473684210527
BAAI/bge-m3,ar,1,QMT,remove_triple_plus_position_plus_sign,11,0.5823269778123976,0.5704905852595058,0.5789473684210527
BAAI/bge-m3,ar,2,NQM,raw,0,0.7337154150009155,0.5656925292971619,0.3684210526315789
BAAI/bge-m3,ar,2,NQM,remove_sign,1,0.7353670896155524,0.5680562720662458,0.3684210526315789
BAAI/bge-m3,ar,2,NQM,remove_triple_label,4,0.753388551631825,0.5633792883219448,0.3684210526315789
BAAI/bge-m3,ar,2,NQM,remove_endpoint_position,6,0.7202735057209747,0.5569412083370752,0.3684210526315789
BAAI/bge-m3,ar,2,NQM,remove_triple_plus_position_plus_sign,11,0.7420495771942255,0.5504678454174444,0.3684210526315789
BAAI/bge-m3,ar,2,NQT,raw,0,0.5305615067481995,0.5923525180798492,0.2631578947368421
BAAI/bge-m3,ar,2,NQT,remove_sign,1,0.5297913098612808,0.593364896560599,0.0526315789473684
BAAI/bge-m3,ar,2,NQT,remove_triple_label,4,0.5481320547139379,0.5908962746112906,0.5789473684210527
BAAI/bge-m3,ar,2,NQT,remove_endpoint_position,6,0.5224921480542465,0.5915954321553261,0.5789473684210527
BAAI/bge-m3,ar,2,NQT,remove_triple_plus_position_plus_sign,11,0.543492213168896,0.5885680163382035,0.5789473684210527
BAAI/bge-m3,ar,2,NMT,raw,0,0.3831753134727478,0.6307683943258512,0.3684210526315789
BAAI/bge-m3,ar,2,NMT,remove_sign,1,0.3830070001692923,0.6315661611205977,0.3684210526315789
BAAI/bge-m3,ar,2,NMT,remove_triple_label,4,0.3792585566617673,0.6343346102261421,0.1578947368421052
BAAI/bge-m3,ar,2,NMT,remove_endpoint_position,6,0.3788238837734242,0.6261505368864193,0.3684210526315789
BAAI/bge-m3,ar,2,NMT,remove_triple_plus_position_plus_sign,11,0.376644876889495,0.6305032048187449,0.3684210526315789
