model,ridge_alpha,heldout_language,method,triple,basis_rank,relative_jacobi_operator_norm,jacobi_coeff_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T
sentence-transformers/LaBSE,100.0,en,linear,NQM,4,0.02750890547352047,0.006804332370940893,-0.0024836860292426627,0.004202206908006663,-0.0037237697882603416,0.0029334686616221996
sentence-transformers/LaBSE,100.0,en,linear,NQT,4,0.07286311715460943,0.028073622011858406,-0.021484771589272,0.006982536165787971,-0.001430884248113138,0.016605107695630165
sentence-transformers/LaBSE,100.0,en,linear,NMT,4,0.0715365302568502,0.015574215285909949,-0.012593631523077041,-0.0005569132146481491,0.00466563857214812,0.007866275562060186
sentence-transformers/LaBSE,100.0,en,linear,QMT,4,0.02668469941010487,0.00911027396536124,0.006578759789060376,8.715545041194928e-05,-0.0003374392202560323,-0.006292499508293789
sentence-transformers/LaBSE,100.0,en,affine,NQM,4,0.012666225633273166,0.0041253253013117455,0.0030993127535148546,-0.0024762362592648385,-0.0009823593388573644,0.0005619549939317355
sentence-transformers/LaBSE,100.0,en,affine,NQT,4,0.04377058371378998,0.01758794884240452,-0.011210044017791868,-0.004963592738370867,0.0031610562931731704,0.01220824835269948
sentence-transformers/LaBSE,100.0,en,affine,NMT,4,0.04351383178693334,0.010575337770267796,-0.008496942694578132,0.00021495641153540372,0.0019372327537118053,0.005986706673906279
sentence-transformers/LaBSE,100.0,en,affine,QMT,4,0.0224575482059761,0.007447076233527254,0.005763772915416878,0.0008959658145747812,-0.0019049530743468004,-0.004219747060088236
sentence-transformers/LaBSE,100.0,es,linear,NQM,4,0.04550751333415286,0.010992158019173259,-0.0002627699282201565,0.0041285398560195335,-0.00818604105242587,0.006058248957294073
sentence-transformers/LaBSE,100.0,es,linear,NQT,4,0.09266723787157927,0.03233573226068235,-0.020487287034338553,0.01744823651552147,-0.009703419709242742,0.01507558752592612
sentence-transformers/LaBSE,100.0,es,linear,NMT,4,0.08003644983706726,0.018055138931517934,-0.013262668130170473,0.0018145429871305116,-0.0015062782029887922,0.012021989670118308
sentence-transformers/LaBSE,100.0,es,linear,QMT,4,0.02693941195841929,0.008712290851687312,0.0008794670053529005,-0.0034144900607313983,-0.004613379043196657,0.006495270671792702
sentence-transformers/LaBSE,100.0,es,affine,NQM,4,0.03922316908764828,0.012414344586945047,0.008344839124066201,-0.004930395503866439,-0.006551760216743207,0.00415274002974186
sentence-transformers/LaBSE,100.0,es,affine,NQT,4,0.01528959361028457,0.006403383367164929,-0.0032496695116126656,-0.0016741272920638844,0.00010689939265309811,0.005256314007172403
sentence-transformers/LaBSE,100.0,es,affine,NMT,4,0.06374908930706252,0.015330455203470006,-0.009159497188903201,0.0004342646975138112,-0.003745822132968972,0.011700713598440396
sentence-transformers/LaBSE,100.0,es,affine,QMT,4,0.05235757155330475,0.017756785167593114,8.947428685179143e-05,-0.003999646217544492,-0.01021634722180394,0.013961536212683333
sentence-transformers/LaBSE,100.0,fr,linear,NQM,4,0.02405044683072698,0.005481350314044798,-0.0006211859893468855,-0.003518940700141332,-0.00017631469338307785,0.004152745924048833
sentence-transformers/LaBSE,100.0,fr,linear,NQT,4,0.05807890559617215,0.016601212778667378,-0.011549155475865134,-0.003595390872832331,0.0033905016789466114,0.010853337567471939
sentence-transformers/LaBSE,100.0,fr,linear,NMT,4,0.059935527338746825,0.011193958404537883,-0.009238828783505331,0.0006382375098340571,0.0031696958478516345,0.0054308773310350715
sentence-transformers/LaBSE,100.0,fr,linear,QMT,4,0.014170304189553945,0.0027191641667972635,0.001477289538834782,-0.0020035054037819203,-9.804756445728167e-05,0.0010898725414305171
sentence-transformers/LaBSE,100.0,fr,affine,NQM,4,0.035902729176677924,0.00909829225288223,0.005305486348806402,-0.006496952920194463,-0.002025179727025212,0.0028842653046327847
sentence-transformers/LaBSE,100.0,fr,affine,NQT,4,0.046057876950369406,0.010544429172601236,-0.0030341652717097364,-0.007399829738919408,0.00631880399635572,0.002700752408236917
sentence-transformers/LaBSE,100.0,fr,affine,NMT,4,0.044969757873942376,0.009236101684406871,-0.0073668551039686,0.0010952854079791835,0.0008048909692908463,0.005402547603164375
sentence-transformers/LaBSE,100.0,fr,affine,QMT,4,0.03254291256989886,0.00810597638496418,-0.0004129576796866449,-0.0007536096497267192,-0.004721353672453778,0.0065327797378934155
sentence-transformers/LaBSE,100.0,de,linear,NQM,4,0.020757377504080316,0.006514490390200332,-0.002125489889377913,-0.00348495645699555,0.0005198928761141752,0.005050313620397796
sentence-transformers/LaBSE,100.0,de,linear,NQT,4,0.04819109974293073,0.022194286478177717,-0.015072208852942498,0.001331620492837124,-0.0020720895729111656,0.016104288380229446
sentence-transformers/LaBSE,100.0,de,linear,NMT,4,0.07255062309187124,0.015553877346572863,-0.012096972867673316,0.00039916589425400585,0.0013458487903698808,0.0096755209458371
sentence-transformers/LaBSE,100.0,de,linear,QMT,4,0.01923552965011247,0.004513744273718974,8.31287039085235e-05,-0.003578406058244485,0.0027496841494643043,-3.498782104173481e-05
sentence-transformers/LaBSE,100.0,de,affine,NQM,4,0.0441233951501318,0.013139322846954444,0.007146577584734429,-0.010768217269697233,0.0023584330620458668,0.00022698904447939622
sentence-transformers/LaBSE,100.0,de,affine,NQT,4,0.04304784990792885,0.013505235782128719,0.002293629555325305,-0.011735844099371201,0.005993471554160565,0.0018651860493126282
sentence-transformers/LaBSE,100.0,de,affine,NMT,4,0.05208796369509064,0.012315304954471345,-0.007941411770953689,-0.0002169874388584284,-0.0015704920209771017,0.009278318084071573
sentence-transformers/LaBSE,100.0,de,affine,QMT,4,0.024478190930591448,0.00915112245682945,-0.0019377715694481115,-0.003069744453770562,-0.003069608376152059,0.007819351441783959
sentence-transformers/LaBSE,100.0,ru,linear,NQM,4,0.042712402915227966,0.015387711188134222,-0.011085676019633312,-0.0023670596556017165,0.0027858545309834325,0.010026239869272022
sentence-transformers/LaBSE,100.0,ru,linear,NQT,4,0.08932019793616637,0.040497512032609,-0.03160121027153599,0.007684555816238142,-0.00026592542299932846,0.024130662564090563
