model,target_class,source_set,source_id,source,prompt_style,layer,control,gain,fixed_setting_source,vector_class,prompt,generated,generated_chars,target_marker_hit,content_preserved,target_and_preserved,target_step0_prob,target_step0_rank,target_best_prob,target_best_rank,target_top1_any,target_top5_any
gpt2,question,confirmatory_hard_heldout,0,The grant application was revised after the committee meeting.,repeat_sentence,2,none,0.0,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,,"Repeat this sentence:
The grant application was revised after the committee meeting.
Repeated:","The committee meeting was held on the same day as the committee meeting.
The committee meeting was held on the same",115.0,0.0,0.0,0.0,4.874715887126513e-05,1035.0,0.0001743065658956766,133.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,0,The grant application was revised after the committee meeting.,repeat_sentence,2,target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Repeat this sentence:
The grant application was revised after the committee meeting.
Repeated:","(b) The committee meeting was not held.

(c) The committee meeting was not held?",80.0,1.0,0.0,0.0,5.120350033394061e-05,849.0,0.2808517515659332,1.0,1.0,1.0
gpt2,question,confirmatory_hard_heldout,0,The grant application was revised after the committee meeting.,repeat_sentence,2,wrong_marker,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,exclamation,"Repeat this sentence:
The grant application was revised after the committee meeting.
Repeated:","The committee meeting was held on the same day as the committee meeting.
The committee meeting was held on the",110.0,0.0,0.0,0.0,7.175463542807847e-05,1113.0,0.0005241492763161659,58.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,0,The grant application was revised after the committee meeting.,repeat_sentence,2,random_norm,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,random_norm,"Repeat this sentence:
The grant application was revised after the committee meeting.
Repeated:","The committee meeting was held on the same day.
The committee meeting was held on the same day.
The",99.0,0.0,0.0,0.0,7.808129157638177e-05,978.0,0.0006466585327871144,45.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,0,The grant application was revised after the committee meeting.,repeat_sentence,2,negative_target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Repeat this sentence:
The grant application was revised after the committee meeting.
Repeated:","The committee meeting was adjourned.

The committee meeting was adjourned.

The committee meeting was",101.0,0.0,0.0,0.0,7.619322423124686e-05,836.0,7.619322423124686e-05,56.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,0,The grant application was revised after the committee meeting.,copy_sentence,2,none,0.0,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,,"Copy this sentence:
The grant application was revised after the committee meeting.
Copy:","The grant application was revised after the committee meeting.
The committee meeting was held on the same day as the meeting.",125.0,0.0,1.0,0.0,7.060589996399358e-05,1761.0,0.00042816458153538406,20.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,0,The grant application was revised after the committee meeting.,copy_sentence,2,target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Copy this sentence:
The grant application was revised after the committee meeting.
Copy:","The committee meeting was held on the day of the grant application.

The committee meeting was held on the",106.0,0.0,1.0,0.0,6.815559754613787e-05,1418.0,0.04570312425494194,3.0,0.0,1.0
gpt2,question,confirmatory_hard_heldout,0,The grant application was revised after the committee meeting.,copy_sentence,2,wrong_marker,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,exclamation,"Copy this sentence:
The grant application was revised after the committee meeting.
Copy:","The grant application was revised after the committee meeting.
The grant application was revised after the committee meeting!
The grant",135.0,0.0,1.0,0.0,4.443947909749113e-05,2737.0,0.013219174928963184,6.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,0,The grant application was revised after the committee meeting.,copy_sentence,2,random_norm,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,random_norm,"Copy this sentence:
The grant application was revised after the committee meeting.
Copy:","The grant application was revised after the committee meeting.
The grant application was revised after the committee meeting.
The grant",135.0,0.0,1.0,0.0,8.994510426418856e-05,1682.0,0.006277670152485371,12.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,0,The grant application was revised after the committee meeting.,copy_sentence,2,negative_target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Copy this sentence:
The grant application was revised after the committee meeting.
Copy:","The committee meeting was held on the day of the meeting.
The committee meeting was held on the day of the",106.0,0.0,0.0,0.0,8.598661952419207e-05,1198.0,0.0002695096773095429,141.0,0.0,0.0
