model,kind,label,language_a,language_b,centroid_cosine
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,ar,de,0.0478482581675052
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,ar,en,0.1252080798149109
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,ar,es,0.0634223446249961
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,ar,fr,0.0536922104656696
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,ar,ru,-0.1378960013389587
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,ar,zh,0.0
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,de,en,0.5165226459503174
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,de,es,0.4887534976005554
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,de,fr,0.5157971382141113
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,de,ru,-0.013830080628395
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,de,zh,0.0
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,en,es,0.4511948823928833
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,en,fr,0.3832741677761078
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,en,ru,0.0311575606465339
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,en,zh,0.0
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,es,fr,0.575901985168457
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,es,ru,-0.0530380047857761
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,es,zh,0.0
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,fr,ru,0.0358358584344387
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,fr,zh,0.0
Qwen/Qwen3-Embedding-0.6B,pair_commutator,MT_vs_TM,ru,zh,0.0
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,ar,de,0.1422129720449447
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,ar,en,0.1399799734354019
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,ar,es,0.1749350428581237
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,ar,fr,-0.0276575200259685
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,ar,ru,-0.1724576503038406
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,ar,zh,0.0
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,de,en,0.3635095655918121
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,de,es,0.2886546850204468
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,de,fr,0.3140197694301605
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,de,ru,-0.1271066814661026
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,de,zh,0.0
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,en,es,0.2526615262031555
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,en,fr,0.222532033920288
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,en,ru,-0.1227693110704422
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,en,zh,0.0
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,es,fr,0.4569549560546875
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,es,ru,-0.0842071250081062
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,es,zh,0.0
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,fr,ru,0.091218814253807
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,fr,zh,0.0
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NM_vs_MN,ru,zh,0.0
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,ar,de,-0.0296909250319004
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,ar,en,0.0177217274904251
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,ar,es,0.0201997458934783
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,ar,fr,0.0035609491169452
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,ar,ru,-0.0290031135082244
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,ar,zh,-0.00382861495018
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,de,en,0.4830610156059265
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,de,es,0.5021808743476868
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,de,fr,0.5619215965270996
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,de,ru,0.122333824634552
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,de,zh,0.4390271306037903
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,en,es,0.4528173506259918
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,en,fr,0.3557868599891662
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,en,ru,0.0874053388833999
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,en,zh,0.6040681004524231
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,es,fr,0.5480408668518066
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,es,ru,0.0871409177780151
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,es,zh,0.6369894742965698
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,fr,ru,0.0345962345600128
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,fr,zh,0.422392189502716
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NQ_vs_QN,ru,zh,0.1285575628280639
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,ar,de,0.0189590528607368
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,ar,en,-0.0431307852268219
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,ar,es,0.0637982785701751
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,ar,fr,0.0328815951943397
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,ar,ru,0.0818850919604301
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,ar,zh,-0.0276571363210678
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,de,en,0.1017441898584365
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,de,es,0.4628236591815948
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,de,fr,0.2853460311889648
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,de,ru,0.1215318441390991
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,de,zh,0.2127775698900222
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,en,es,0.2830398678779602
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,en,fr,0.2041345387697219
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,en,ru,-0.0058798566460609
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,en,zh,0.4885335862636566
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,es,fr,0.5900381803512573
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,es,ru,0.1009165272116661
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,es,zh,0.2283522933721542
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,fr,ru,0.0596231445670127
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,fr,zh,0.2674145996570587
Qwen/Qwen3-Embedding-0.6B,pair_commutator,NT_vs_TN,ru,zh,0.0951212495565414
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,ar,de,0.052497424185276
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,ar,en,0.0091969771310687
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,ar,es,0.0665542781352996
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,ar,fr,0.0309728160500526
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,ar,ru,0.0517968013882637
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,ar,zh,0.0232676602900028
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,de,en,0.5151155591011047
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,de,es,0.5145840048789978
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,de,fr,0.5902656316757202
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,de,ru,0.3353013396263122
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,de,zh,0.4850553274154663
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,en,es,0.4362190663814544
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,en,fr,0.5884026288986206
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,en,ru,0.2722976505756378
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,en,zh,0.4806784093379974
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,es,fr,0.5246999263763428
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,es,ru,0.1997652202844619
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,es,zh,0.3484552204608917
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,fr,ru,0.2384007275104522
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,fr,zh,0.4823951721191406
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QM_vs_MQ,ru,zh,0.3478510081768036
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,ar,de,0.0457733757793903
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,ar,en,0.1249149590730667
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,ar,es,0.1314408779144287
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,ar,fr,0.0863408669829368
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,ar,ru,0.0967841297388076
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,ar,zh,0.0766682028770446
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,de,en,0.4505392014980316
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,de,es,0.1938348412513733
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,de,fr,0.3044992685317993
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,de,ru,0.3081266283988952
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,de,zh,0.3804434835910797
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,en,es,0.1676346659660339
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,en,fr,0.2890682816505432
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,en,ru,0.2501526772975921
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,en,zh,0.4183691143989563
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,es,fr,0.6770191192626953
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,es,ru,0.1553619801998138
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,es,zh,0.3438524603843689
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,fr,ru,0.2167900204658508
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,fr,zh,0.4017457962036133
Qwen/Qwen3-Embedding-0.6B,pair_commutator,QT_vs_TQ,ru,zh,0.2621369659900665
Qwen/Qwen3-Embedding-0.6B,triple_signed,NMT,ar,de,0.054096333682537
Qwen/Qwen3-Embedding-0.6B,triple_signed,NMT,ar,en,-0.0353278033435344
Qwen/Qwen3-Embedding-0.6B,triple_signed,NMT,ar,es,0.0725509971380233
Qwen/Qwen3-Embedding-0.6B,triple_signed,NMT,ar,fr,0.055174134671688
Qwen/Qwen3-Embedding-0.6B,triple_signed,NMT,ar,ru,0.1178308576345443
Qwen/Qwen3-Embedding-0.6B,triple_signed,NMT,ar,zh,-0.0334900096058845
