model,template_id,pair,label,source,ab_text,ba_text,norm_ab,norm_ba,commutator_norm,relative_commutator_norm,cosine_ab_ba,noncommutativity_score
bert-base-uncased,0,N_M_equivalent,equivalent,The teacher fixed the bug.,The teacher allegedly failed to fix the bug.,"Allegedly, the teacher failed to fix the bug.",6.125243663787842,5.328837871551514,2.533339023590088,0.44234695130701096,0.9114052653312683,0.08859473466873169
bert-base-uncased,0,M_T_equivalent,equivalent,The teacher fixed the bug.,The teacher will allegedly fix the bug tomorrow.,"Allegedly, the teacher will fix the bug tomorrow.",5.777599334716797,5.4576897621154785,2.2921876907348633,0.40803359325764466,0.9183094501495361,0.08169054985046387
bert-base-uncased,0,Q_M_equivalent,equivalent,The teacher fixed the bug.,Could the teacher allegedly fix the bug?,"Allegedly, could the teacher fix the bug?",5.9734086990356445,5.795827865600586,2.9088504314422607,0.4943142089916305,0.8782544136047363,0.12174558639526367
bert-base-uncased,0,Q_T_equivalent,equivalent,The teacher fixed the bug.,Will the teacher fix the bug tomorrow?,Could the teacher fix the bug tomorrow?,5.363603591918945,5.281725883483887,3.009080410003662,0.5653334482424236,0.840307891368866,0.15969210863113403
bert-base-uncased,0,N_Q_nonequivalent,non_equivalent,The teacher fixed the bug.,Could the teacher fail to fix the bug?,Is it false that the teacher fixed the bug?,5.616778373718262,5.78117561340332,4.046891212463379,0.7101083610330775,0.7482367753982544,0.2517632246017456
bert-base-uncased,0,N_T_nonequivalent,non_equivalent,The teacher fixed the bug.,The teacher will fail to fix the bug tomorrow.,The teacher failed to have fixed the bug earlier.,4.986294269561768,5.078514099121094,4.726316452026367,0.9391766398119592,0.5591045022010803,0.4408954977989197
bert-base-uncased,0,M_T_nonequivalent,non_equivalent,The teacher fixed the bug.,The teacher will allegedly fix the bug tomorrow.,The teacher was allegedly going to fix the bug.,5.777599334716797,5.159233570098877,4.021360397338867,0.7353793245881005,0.735155463218689,0.26484453678131104
bert-base-uncased,0,Q_M_nonequivalent,non_equivalent,The teacher fixed the bug.,Could the teacher allegedly fix the bug?,Is it alleged that the teacher fixed the bug?,5.9734086990356445,6.15220832824707,4.576235771179199,0.7548046026658908,0.7155081629753113,0.2844918370246887
bert-base-uncased,1,N_M_equivalent,equivalent,The oracle accepted the explanation.,The oracle allegedly failed to accept the explanation.,"Allegedly, the oracle failed to accept the explanation.",5.591248035430908,4.6419477462768555,2.5464723110198975,0.4976885745841623,0.8924387097358704,0.10756129026412964
bert-base-uncased,1,M_T_equivalent,equivalent,The oracle accepted the explanation.,The oracle will allegedly accept the explanation tomorrow.,"Allegedly, the oracle will accept the explanation tomorrow.",5.760900497436523,4.920036315917969,2.3310859203338623,0.4364946560527993,0.9166148900985718,0.08338510990142822
bert-base-uncased,1,Q_M_equivalent,equivalent,The oracle accepted the explanation.,Could the oracle allegedly accept the explanation?,"Allegedly, could the oracle accept the explanation?",5.358000755310059,5.444777488708496,2.9424123764038086,0.5447510464324237,0.8517426252365112,0.14825737476348877
bert-base-uncased,1,Q_T_equivalent,equivalent,The oracle accepted the explanation.,Will the oracle accept the explanation tomorrow?,Could the oracle accept the explanation tomorrow?,5.533959865570068,5.320228099822998,3.362151861190796,0.6195123710608086,0.8088034391403198,0.19119656085968018
bert-base-uncased,1,N_Q_nonequivalent,non_equivalent,The oracle accepted the explanation.,Could the oracle fail to accept the explanation?,Is it false that the oracle accepted the explanation?,5.423696994781494,5.884103298187256,4.5185227394104,0.7991868661174079,0.6834409832954407,0.3165590167045593
bert-base-uncased,1,N_T_nonequivalent,non_equivalent,The oracle accepted the explanation.,The oracle will fail to accept the explanation tomorrow.,The oracle failed to have accepted the explanation earlier.,5.079345703125,4.542388439178467,4.904914855957031,1.0195490300216845,0.4848843514919281,0.5151156485080719
bert-base-uncased,1,M_T_nonequivalent,non_equivalent,The oracle accepted the explanation.,The oracle will allegedly accept the explanation tomorrow.,The oracle was allegedly going to accept the explanation.,5.760900497436523,5.413642406463623,4.227205753326416,0.7565778376223832,0.7154515981674194,0.28454840183258057
bert-base-uncased,1,Q_M_nonequivalent,non_equivalent,The oracle accepted the explanation.,Could the oracle allegedly accept the explanation?,Is it alleged that the oracle accepted the explanation?,5.358000755310059,6.089686393737793,4.522108554840088,0.7900475433966448,0.6948361396789551,0.3051638603210449
bert-base-uncased,2,N_M_equivalent,equivalent,The robot confirmed the answer.,The robot allegedly failed to confirm the answer.,"Allegedly, the robot failed to confirm the answer.",5.921999931335449,4.904489517211914,2.079634189605713,0.38417516582614175,0.9433703422546387,0.05662965774536133
bert-base-uncased,2,M_T_equivalent,equivalent,The robot confirmed the answer.,The robot will allegedly confirm the answer tomorrow.,"Allegedly, the robot will confirm the answer tomorrow.",5.7834792137146,4.779978275299072,2.4313220977783203,0.4603269526680088,0.9112981557846069,0.08870184421539307
bert-base-uncased,2,Q_M_equivalent,equivalent,The robot confirmed the answer.,Could the robot allegedly confirm the answer?,"Allegedly, could the robot confirm the answer?",5.337174892425537,5.234240531921387,2.800591230392456,0.529842243062724,0.8598098754882812,0.14019012451171875
bert-base-uncased,2,Q_T_equivalent,equivalent,The robot confirmed the answer.,Will the robot confirm the answer tomorrow?,Could the robot confirm the answer tomorrow?,5.5813727378845215,5.339450836181641,2.969943046569824,0.543904592254754,0.8529932498931885,0.14700675010681152
bert-base-uncased,2,N_Q_nonequivalent,non_equivalent,The robot confirmed the answer.,Could the robot fail to confirm the answer?,Is it false that the robot confirmed the answer?,5.120022296905518,5.70025110244751,3.7505712509155273,0.6932488879881891,0.7647777199745178,0.23522228002548218
bert-base-uncased,2,N_T_nonequivalent,non_equivalent,The robot confirmed the answer.,The robot will fail to confirm the answer tomorrow.,The robot failed to have confirmed the answer earlier.,4.825222492218018,4.7742767333984375,4.58747673034668,0.9557741758244952,0.5432913303375244,0.4567086696624756
bert-base-uncased,2,M_T_nonequivalent,non_equivalent,The robot confirmed the answer.,The robot will allegedly confirm the answer tomorrow.,The robot was allegedly going to confirm the answer.,5.7834792137146,5.724355697631836,3.885507583618164,0.675280383069534,0.7720449566841125,0.22795504331588745
bert-base-uncased,2,Q_M_nonequivalent,non_equivalent,The robot confirmed the answer.,Could the robot allegedly confirm the answer?,Is it alleged that the robot confirmed the answer?,5.337174892425537,5.983700275421143,4.2870707511901855,0.7573744410441835,0.7187978029251099,0.28120219707489014
bert-base-uncased,3,N_M_equivalent,equivalent,The doctor guarded the treasure.,The doctor allegedly failed to guard the treasure.,"Allegedly, the doctor failed to guard the treasure.",5.722174644470215,5.51723575592041,2.04917573928833,0.36464114509365125,0.9341614246368408,0.06583857536315918
bert-base-uncased,3,M_T_equivalent,equivalent,The doctor guarded the treasure.,The doctor will allegedly guard the treasure tomorrow.,"Allegedly, the doctor will guard the treasure tomorrow.",5.7667765617370605,5.672070503234863,2.2670278549194336,0.3963734879997019,0.9215758442878723,0.07842415571212769
bert-base-uncased,3,Q_M_equivalent,equivalent,The doctor guarded the treasure.,Could the doctor allegedly guard the treasure?,"Allegedly, could the doctor guard the treasure?",5.907434940338135,5.383174419403076,2.882166862487793,0.5105423047872314,0.8737131953239441,0.1262868046760559
bert-base-uncased,3,Q_T_equivalent,equivalent,The doctor guarded the treasure.,Will the doctor guard the treasure tomorrow?,Could the doctor guard the treasure tomorrow?,5.800552845001221,5.196008205413818,3.313154697418213,0.6025801488716443,0.8239611983299255,0.17603880167007446
bert-base-uncased,3,N_Q_nonequivalent,non_equivalent,The doctor guarded the treasure.,Could the doctor fail to guard the treasure?,Is it false that the doctor guarded the treasure?,5.4998979568481445,6.14340353012085,4.041621208190918,0.6942397244825352,0.7644051313400269,0.23559486865997314
bert-base-uncased,3,N_T_nonequivalent,non_equivalent,The doctor guarded the treasure.,The doctor will fail to guard the treasure tomorrow.,The doctor failed to have guarded the treasure earlier.,5.9023613929748535,5.820100784301758,5.503119468688965,0.9389016378070367,0.5593085885047913,0.44069141149520874
bert-base-uncased,3,M_T_nonequivalent,non_equivalent,The doctor guarded the treasure.,The doctor will allegedly guard the treasure tomorrow.,The doctor was allegedly going to guard the treasure.,5.7667765617370605,5.53215217590332,4.709432125091553,0.8336068373282292,0.6532628536224365,0.3467371463775635
bert-base-uncased,3,Q_M_nonequivalent,non_equivalent,The doctor guarded the treasure.,Could the doctor allegedly guard the treasure?,Is it alleged that the doctor guarded the treasure?,5.907434940338135,6.289341449737549,4.0704240798950195,0.6674589989542465,0.7789934277534485,0.2210065722465515
bert-base-uncased,4,N_M_equivalent,equivalent,The knight approved the treatment.,The knight allegedly failed to approve the treatment.,"Allegedly, the knight failed to approve the treatment.",4.816206455230713,4.084132194519043,1.9991300106048584,0.44922560573818554,0.9120340347290039,0.0879659652709961
bert-base-uncased,4,M_T_equivalent,equivalent,The knight approved the treatment.,The knight will allegedly approve the treatment tomorrow.,"Allegedly, the knight will approve the treatment tomorrow.",5.121248722076416,4.439267635345459,2.206740140914917,0.4616361833221178,0.9031299948692322,0.09687000513076782
bert-base-uncased,4,Q_M_equivalent,equivalent,The knight approved the treatment.,Could the knight allegedly approve the treatment?,"Allegedly, could the knight approve the treatment?",5.519526481628418,5.478686809539795,2.7133665084838867,0.4934195103603385,0.8782944083213806,0.12170559167861938
bert-base-uncased,4,Q_T_equivalent,equivalent,The knight approved the treatment.,Will the knight approve the treatment tomorrow?,Could the knight approve the treatment tomorrow?,5.597959995269775,5.472657680511475,3.190028429031372,0.5763054099518754,0.8341709971427917,0.16582900285720825
