model,kind,label,language_a,language_b,centroid_cosine
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,ar,de,-0.033734746277332306
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,ar,en,-0.04025374352931976
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,ar,es,0.09495478868484497
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,ar,fr,0.11424072086811066
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,ar,ru,0.08953134715557098
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,ar,zh,0.0
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,de,en,0.21023014187812805
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,de,es,0.24216359853744507
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,de,fr,0.1378708928823471
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,de,ru,-0.030058857053518295
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,de,zh,0.0
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,en,es,0.36384737491607666
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,en,fr,0.4354800283908844
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,en,ru,0.3094673752784729
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,en,zh,0.0
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,es,fr,0.48704370856285095
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,es,ru,0.07914682477712631
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,es,zh,0.0
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,fr,ru,0.10644492506980896
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,fr,zh,0.0
distilbert-base-multilingual-cased,pair_commutator,MT_vs_TM,ru,zh,0.0
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,ar,de,-0.013964250683784485
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,ar,en,-0.06180157884955406
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,ar,es,-0.0005809329450130463
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,ar,fr,0.1281926929950714
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,ar,ru,0.14282910525798798
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,ar,zh,0.0
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,de,en,0.2719629406929016
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,de,es,0.18885406851768494
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,de,fr,0.1636626422405243
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,de,ru,0.05021173879504204
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,de,zh,0.0
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,en,es,0.2809197008609772
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,en,fr,0.3857579231262207
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,en,ru,0.3175443410873413
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,en,zh,0.0
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,es,fr,0.3876723349094391
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,es,ru,0.14117616415023804
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,es,zh,0.0
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,fr,ru,0.19121253490447998
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,fr,zh,0.0
distilbert-base-multilingual-cased,pair_commutator,NM_vs_MN,ru,zh,0.0
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,ar,de,0.04832853376865387
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,ar,en,0.032950352877378464
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,ar,es,-0.04573493078351021
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,ar,fr,-0.16864171624183655
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,ar,ru,0.049010053277015686
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,ar,zh,0.03867839276790619
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,de,en,0.35039573907852173
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,de,es,0.29067403078079224
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,de,fr,0.32850682735443115
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,de,ru,0.2899727523326874
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,de,zh,0.27698269486427307
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,en,es,0.26658162474632263
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,en,fr,0.13281430304050446
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,en,ru,0.032175179570913315
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,en,zh,0.26724833250045776
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,es,fr,0.39131173491477966
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,es,ru,0.014984901994466782
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,es,zh,0.3992695212364197
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,fr,ru,0.09985404461622238
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,fr,zh,0.2136480212211609
distilbert-base-multilingual-cased,pair_commutator,NQ_vs_QN,ru,zh,0.0731954425573349
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,ar,de,-0.03548021987080574
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,ar,en,0.10594157874584198
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,ar,es,0.012647938914597034
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,ar,fr,0.112821564078331
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,ar,ru,0.05057378113269806
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,ar,zh,-0.005744609981775284
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,de,en,-0.03863701969385147
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,de,es,0.12469455599784851
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,de,fr,-0.10424976795911789
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,de,ru,-0.0397808775305748
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,de,zh,0.0819726437330246
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,en,es,0.27318790555000305
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,en,fr,0.14512966573238373
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,en,ru,-0.009543485939502716
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,en,zh,0.2598743438720703
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,es,fr,-0.07221837341785431
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,es,ru,0.07850706577301025
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,es,zh,0.14093747735023499
distilbert-base-multilingual-cased,pair_commutator,NT_vs_TN,fr,ru,0.0021569523960351944
