model,kind,label,language_a,language_b,centroid_cosine
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,ar,de,-0.22901402413845062
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,ar,en,-0.005301378667354584
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,ar,es,-0.022989729419350624
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,ar,fr,-0.04553554952144623
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,ar,ru,0.12066158652305603
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,ar,zh,0.0
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,de,en,0.1816273182630539
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,de,es,0.5555359125137329
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,de,fr,0.6462887525558472
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,de,ru,0.33683711290359497
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,de,zh,0.0
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,en,es,0.28987881541252136
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,en,fr,0.3158349096775055
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,en,ru,0.13803309202194214
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,en,zh,0.0
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,es,fr,0.7303334474563599
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,es,ru,0.6117684841156006
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,es,zh,0.0
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,fr,ru,0.47004780173301697
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,fr,zh,0.0
intfloat/multilingual-e5-large,pair_commutator,MT_vs_TM,ru,zh,0.0
intfloat/multilingual-e5-large,pair_commutator,NM_vs_MN,ar,de,-0.2143615484237671
intfloat/multilingual-e5-large,pair_commutator,NM_vs_MN,ar,en,-0.013379193842411041
