model,template_id,pair,a,b,comm_norm,antisym_error,relative_antisym_error,cos_comm_ab_neg_comm_ba
gpt2,0,NQ_vs_QN,N,Q,12.046716690063477,0.0,0.0,1.0
gpt2,0,NM_vs_MN,N,M,16.314374923706055,0.0,0.0,0.9999999403953552
gpt2,0,NT_vs_TN,N,T,25.8453311920166,0.0,0.0,1.0
gpt2,0,QM_vs_MQ,Q,M,12.23983097076416,0.0,0.0,0.9999999403953552
gpt2,0,QT_vs_TQ,Q,T,3.447277545928955,0.0,0.0,0.9999999403953552
gpt2,0,MT_vs_TM,M,T,11.450926780700684,0.0,0.0,1.0
gpt2,1,NQ_vs_QN,N,Q,10.453155517578125,0.0,0.0,1.000000238418579
gpt2,1,NM_vs_MN,N,M,7.868124008178711,0.0,0.0,1.0
gpt2,1,NT_vs_TN,N,T,19.232149124145508,0.0,0.0,1.0000001192092896
gpt2,1,QM_vs_MQ,Q,M,9.65412712097168,0.0,0.0,1.0000001192092896
gpt2,1,QT_vs_TQ,Q,T,2.8198015689849854,0.0,0.0,1.0
gpt2,1,MT_vs_TM,M,T,11.924640655517578,0.0,0.0,1.0
gpt2,2,NQ_vs_QN,N,Q,13.259638786315918,0.0,0.0,1.0000001192092896
gpt2,2,NM_vs_MN,N,M,12.13759708404541,0.0,0.0,1.0
gpt2,2,NT_vs_TN,N,T,28.811267852783203,0.0,0.0,0.9999998807907104
gpt2,2,QM_vs_MQ,Q,M,11.782872200012207,0.0,0.0,0.9999999403953552
gpt2,2,QT_vs_TQ,Q,T,4.214198589324951,0.0,0.0,0.9999999403953552
gpt2,2,MT_vs_TM,M,T,9.802248001098633,0.0,0.0,0.9999999403953552
gpt2,3,NQ_vs_QN,N,Q,11.218411445617676,0.0,0.0,1.0
gpt2,3,NM_vs_MN,N,M,14.61349105834961,0.0,0.0,0.9999998807907104
gpt2,3,NT_vs_TN,N,T,25.20037269592285,0.0,0.0,1.0000001192092896
gpt2,3,QM_vs_MQ,Q,M,16.1658992767334,0.0,0.0,1.0
