model,ridge_alpha,heldout_language,method,operator,operator_fro_norm,operator_spectral_norm,operator_trace
intfloat/multilingual-e5-large-instruct,100.0,en,linear,N,8.199172619916485,1.6433235011198581,-76.64131457358599
intfloat/multilingual-e5-large-instruct,100.0,en,linear,Q,7.827171775959409,1.5398762572390283,-72.61465446650982
intfloat/multilingual-e5-large-instruct,100.0,en,linear,M,7.4505606240321445,1.1169812317604704,-70.96346513926983
intfloat/multilingual-e5-large-instruct,100.0,en,linear,T,7.6205011776910245,1.2635643951717426,-71.26994590461254
intfloat/multilingual-e5-large-instruct,100.0,en,affine,N,8.205761696673203,1.5188707301623257,-77.12137772887945
intfloat/multilingual-e5-large-instruct,100.0,en,affine,Q,7.7831738660419125,1.2490265953044253,-72.58432147651911
intfloat/multilingual-e5-large-instruct,100.0,en,affine,M,7.496969089662264,1.102079282256482,-71.63385632634163
intfloat/multilingual-e5-large-instruct,100.0,en,affine,T,7.654338680245333,1.1898607919328943,-71.94385606050491
intfloat/multilingual-e5-large-instruct,100.0,es,linear,N,8.26639861439209,1.5895404920945297,-76.82898080348969
intfloat/multilingual-e5-large-instruct,100.0,es,linear,Q,7.899202193156127,1.5421691004419817,-73.20649252831936
intfloat/multilingual-e5-large-instruct,100.0,es,linear,M,7.505450434847107,1.1017536545181859,-71.33115081489086
intfloat/multilingual-e5-large-instruct,100.0,es,linear,T,7.664392474851982,1.2634085614589592,-71.57097332179546
intfloat/multilingual-e5-large-instruct,100.0,es,affine,N,8.27727436953166,1.5232123499341468,-77.33147435635328
intfloat/multilingual-e5-large-instruct,100.0,es,affine,Q,7.85378637928041,1.3072987729015937,-73.13791764527559
intfloat/multilingual-e5-large-instruct,100.0,es,affine,M,7.553462745039459,1.0955510376054052,-72.03042149543762
intfloat/multilingual-e5-large-instruct,100.0,es,affine,T,7.698559973042221,1.2036280062367424,-72.25450207293034
intfloat/multilingual-e5-large-instruct,100.0,fr,linear,N,8.246839011388415,1.616997153749364,-76.71974217891693
intfloat/multilingual-e5-large-instruct,100.0,fr,linear,Q,7.861879362605653,1.516674944008857,-72.87956268340349
intfloat/multilingual-e5-large-instruct,100.0,fr,linear,M,7.488413336899345,1.1305557664727062,-71.18586565554142
intfloat/multilingual-e5-large-instruct,100.0,fr,linear,T,7.6692476595585,1.2546666830206292,-71.80910417437553
intfloat/multilingual-e5-large-instruct,100.0,fr,affine,N,8.255856792251528,1.51003200730913,-77.21374339610338
intfloat/multilingual-e5-large-instruct,100.0,fr,affine,Q,7.819589432412334,1.29468253427252,-72.82832457870245
intfloat/multilingual-e5-large-instruct,100.0,fr,affine,M,7.535208101510975,1.1145428472466021,-71.86926694214344
intfloat/multilingual-e5-large-instruct,100.0,fr,affine,T,7.702218019585616,1.1857406906354648,-72.48582123219967
intfloat/multilingual-e5-large-instruct,100.0,de,linear,N,8.263471362357038,1.658399800585456,-77.13518065214157
intfloat/multilingual-e5-large-instruct,100.0,de,linear,Q,7.863811549926268,1.4683472670023814,-72.93187490105629
intfloat/multilingual-e5-large-instruct,100.0,de,linear,M,7.519965995200692,1.101292086630004,-71.65886574983597
intfloat/multilingual-e5-large-instruct,100.0,de,linear,T,7.689198814066385,1.2366423239583582,-72.24305637180805
intfloat/multilingual-e5-large-instruct,100.0,de,affine,N,8.264253254025357,1.5176483029540784,-77.53300253301859
intfloat/multilingual-e5-large-instruct,100.0,de,affine,Q,7.8291484345473945,1.259790378470939,-72.92308732867241
intfloat/multilingual-e5-large-instruct,100.0,de,affine,M,7.566213001796014,1.0868582175858577,-72.349060729146
intfloat/multilingual-e5-large-instruct,100.0,de,affine,T,7.722991355442404,1.1481942332471036,-72.93809435516596
intfloat/multilingual-e5-large-instruct,100.0,ru,linear,N,8.510577094416451,1.6020943042572096,-80.73071962594986
intfloat/multilingual-e5-large-instruct,100.0,ru,linear,Q,8.110604466675023,1.500986937594608,-76.2695681527257
intfloat/multilingual-e5-large-instruct,100.0,ru,linear,M,7.764085237877907,1.1134562608432714,-74.76487231254578
intfloat/multilingual-e5-large-instruct,100.0,ru,linear,T,7.918745768352876,1.220947459573954,-75.2462919652462
intfloat/multilingual-e5-large-instruct,100.0,ru,affine,N,8.510397950527594,1.600619778565135,-81.1918535605073
intfloat/multilingual-e5-large-instruct,100.0,ru,affine,Q,8.071859573123687,1.271326552949788,-76.22060738876462
intfloat/multilingual-e5-large-instruct,100.0,ru,affine,M,7.80864348150647,1.091525752976033,-75.44043999165297
intfloat/multilingual-e5-large-instruct,100.0,ru,affine,T,7.95300887181672,1.1741600689006666,-75.93150693923235
intfloat/multilingual-e5-large-instruct,100.0,zh,linear,N,8.342928195936704,1.6201781455677675,-77.8995164334774
intfloat/multilingual-e5-large-instruct,100.0,zh,linear,Q,7.989192027020509,1.5393486508664036,-74.51954970508814
intfloat/multilingual-e5-large-instruct,100.0,zh,linear,M,7.561078660046057,1.1196867955606333,-71.85164719074965
intfloat/multilingual-e5-large-instruct,100.0,zh,linear,T,7.758061179149541,1.242388122046292,-72.763234205544
intfloat/multilingual-e5-large-instruct,100.0,zh,affine,N,8.35034359082624,1.5445840538366107,-78.38059867918491
intfloat/multilingual-e5-large-instruct,100.0,zh,affine,Q,7.942123499200435,1.312495199827201,-74.44093104451895
intfloat/multilingual-e5-large-instruct,100.0,zh,affine,M,7.606358389337843,1.101565128554797,-72.51265110075474
intfloat/multilingual-e5-large-instruct,100.0,zh,affine,T,7.790167057771048,1.1591929262884588,-73.44971168041229
intfloat/multilingual-e5-large-instruct,100.0,ar,linear,N,8.633476112110651,1.6219122949754374,-82.45518695563078
intfloat/multilingual-e5-large-instruct,100.0,ar,linear,Q,8.185280938551713,1.5286220682407283,-77.54365937411785
intfloat/multilingual-e5-large-instruct,100.0,ar,linear,M,7.8649968709475315,1.1111898333330805,-76.14760757982731
intfloat/multilingual-e5-large-instruct,100.0,ar,linear,T,8.009450480719257,1.244620798679674,-76.71309284865856
intfloat/multilingual-e5-large-instruct,100.0,ar,affine,N,8.63264172056663,1.5789337131303405,-82.9037630930543
intfloat/multilingual-e5-large-instruct,100.0,ar,affine,Q,8.14803761410001,1.2844166896001015,-77.54344276711345
intfloat/multilingual-e5-large-instruct,100.0,ar,affine,M,7.907842691507835,1.0983010190577338,-76.8403767645359
intfloat/multilingual-e5-large-instruct,100.0,ar,affine,T,8.038181243798565,1.18208246733792,-77.40919680893421
