model,target_class,prompt_style,layer,control,gain,target_marker_rate,content_preserved_rate,target_and_preserved_rate,malformed_or_repetitive_rate,mean_target_best_prob,median_target_best_rank,target_top1_any_rate,rows
distilgpt2,ellipsis,neutral_restate,-1,none,0.0,0.0,0.8625,0.0,0.075,0.00017049935659088077,26.0,0.0,80
distilgpt2,ellipsis,neutral_restate,-1,string_append_source,0.0,1.0,1.0,1.0,0.0,,,,80
distilgpt2,ellipsis,neutral_restate,-1,strong_prompt,0.0,0.0,0.85,0.0,0.05,0.0001742338047733938,27.5,0.0,80
distilgpt2,ellipsis,neutral_restate,2,negative_target,1.0,0.0,0.4875,0.0,0.45,8.892350028872897e-05,258.5,0.0,80
distilgpt2,ellipsis,neutral_restate,2,random_norm,1.0,0.0,0.2625,0.0,0.475,0.0010688690429560665,45.0,0.0,80
distilgpt2,ellipsis,neutral_restate,2,target,1.0,0.7375,0.4375,0.225,0.4125,0.5793036102317274,1.0,0.7375,80
distilgpt2,ellipsis,neutral_restate,2,wrong_marker,1.0,0.0,0.5625,0.0,0.4625,0.0038084607131168013,10.5,0.0,80
distilgpt2,ellipsis,neutral_same,-1,none,0.0,0.0,0.5625,0.0,0.4125,0.0014762345250346697,21.0,0.0,80
distilgpt2,ellipsis,neutral_same,-1,string_append_source,0.0,1.0,1.0,1.0,0.0,,,,80
distilgpt2,ellipsis,neutral_same,-1,strong_prompt,0.0,0.0,0.85,0.0,0.05,0.0001742338047733938,27.5,0.0,80
distilgpt2,ellipsis,neutral_same,2,negative_target,1.0,0.0,0.1375,0.0,0.6,0.00017546702670188097,416.0,0.0,80
distilgpt2,ellipsis,neutral_same,2,random_norm,1.0,0.0,0.1625,0.0,0.6625,0.0016802622281829826,36.5,0.0,80
distilgpt2,ellipsis,neutral_same,2,target,1.0,0.7125,0.375,0.2875,0.725,0.5822448429651559,1.0,0.7125,80
distilgpt2,ellipsis,neutral_same,2,wrong_marker,1.0,0.0,0.2125,0.0,0.7625,0.007146695544361137,7.0,0.0,80
distilgpt2,exclamation,neutral_restate,-1,none,0.0,0.0,0.8625,0.0,0.075,8.040004169060922e-05,39.0,0.0,80
distilgpt2,exclamation,neutral_restate,-1,string_append_source,0.0,1.0,1.0,1.0,0.0,,,,80
distilgpt2,exclamation,neutral_restate,-1,strong_prompt,0.0,0.0,0.8125,0.0,0.05,0.00011072217008631924,42.0,0.0,80
distilgpt2,exclamation,neutral_restate,2,negative_target,1.0,0.0,0.6625,0.0,0.2375,1.1394682248777599e-05,283.0,0.0,80
distilgpt2,exclamation,neutral_restate,2,random_norm,1.0,0.0,0.65,0.0,0.1875,0.0004609243018578013,47.0,0.0,80
distilgpt2,exclamation,neutral_restate,2,target,1.0,0.7875,0.6625,0.4625,0.1875,0.7741680422797799,1.0,0.7875,80
distilgpt2,exclamation,neutral_restate,2,wrong_marker,1.0,0.0,0.5625,0.0,0.4625,0.020674425611287007,5.0,0.0,80
distilgpt2,exclamation,neutral_same,-1,none,0.0,0.0,0.5625,0.0,0.4125,0.0006161452945889323,25.0,0.0,80
distilgpt2,exclamation,neutral_same,-1,string_append_source,0.0,1.0,1.0,1.0,0.0,,,,80
distilgpt2,exclamation,neutral_same,-1,strong_prompt,0.0,0.0,0.8125,0.0,0.05,0.00011072217008631924,42.0,0.0,80
distilgpt2,exclamation,neutral_same,2,negative_target,1.0,0.0,0.4,0.0,0.4,3.49321554836024e-05,285.5,0.0,80
distilgpt2,exclamation,neutral_same,2,random_norm,1.0,0.0,0.3,0.0,0.475,0.0014695523495220186,29.5,0.0,80
distilgpt2,exclamation,neutral_same,2,target,1.0,0.9,0.4875,0.3875,0.2,0.8496798118343577,1.0,0.9,80
distilgpt2,exclamation,neutral_same,2,wrong_marker,1.0,0.0,0.2125,0.0,0.7625,0.01997460958227748,10.0,0.0,80
