model,language,template_id,representation,from_level,to_level,step_size,delta_norm
xlm-roberta-base,en,0,mean_pool,-2,-1,1,0.7209896445274353
xlm-roberta-base,en,0,mean_pool,-1,0,1,0.8708913326263428
xlm-roberta-base,en,0,mean_pool,0,1,1,1.0415970087051392
xlm-roberta-base,en,0,mean_pool,1,2,1,0.35160017013549805
xlm-roberta-base,en,0,mean_pool,-2,0,2,1.2045000791549683
xlm-roberta-base,en,0,mean_pool,-1,1,2,0.5936013460159302
xlm-roberta-base,en,0,mean_pool,0,2,2,1.1586639881134033
xlm-roberta-base,en,0,mean_pool,-2,2,4,0.5104228258132935
xlm-roberta-base,en,1,mean_pool,-2,-1,1,0.4835091829299927
xlm-roberta-base,en,1,mean_pool,-1,0,1,0.9061235189437866
xlm-roberta-base,en,1,mean_pool,0,1,1,0.8662907481193542
xlm-roberta-base,en,1,mean_pool,1,2,1,0.2616623640060425
xlm-roberta-base,en,1,mean_pool,-2,0,2,0.9889492988586426
xlm-roberta-base,en,1,mean_pool,-1,1,2,0.45786353945732117
xlm-roberta-base,en,1,mean_pool,0,2,2,0.8771573901176453
xlm-roberta-base,en,1,mean_pool,-2,2,4,0.44298431277275085
xlm-roberta-base,en,2,mean_pool,-2,-1,1,0.6691669225692749
xlm-roberta-base,en,2,mean_pool,-1,0,1,0.8173484206199646
xlm-roberta-base,en,2,mean_pool,0,1,1,0.8815918564796448
xlm-roberta-base,en,2,mean_pool,1,2,1,0.39378631114959717
xlm-roberta-base,en,2,mean_pool,-2,0,2,1.04657781124115
xlm-roberta-base,en,2,mean_pool,-1,1,2,0.528850793838501
xlm-roberta-base,en,2,mean_pool,0,2,2,1.0583388805389404
xlm-roberta-base,en,2,mean_pool,-2,2,4,0.5339843034744263
xlm-roberta-base,en,3,mean_pool,-2,-1,1,0.5534522533416748
xlm-roberta-base,en,3,mean_pool,-1,0,1,0.6077563166618347
xlm-roberta-base,en,3,mean_pool,0,1,1,0.785381019115448
xlm-roberta-base,en,3,mean_pool,1,2,1,0.2759409546852112
xlm-roberta-base,en,3,mean_pool,-2,0,2,0.8632706999778748
xlm-roberta-base,en,3,mean_pool,-1,1,2,0.4632517099380493
xlm-roberta-base,en,3,mean_pool,0,2,2,0.8026649355888367
xlm-roberta-base,en,3,mean_pool,-2,2,4,0.4224458336830139
xlm-roberta-base,en,4,mean_pool,-2,-1,1,0.612311601638794
xlm-roberta-base,en,4,mean_pool,-1,0,1,0.6787451505661011
xlm-roberta-base,en,4,mean_pool,0,1,1,0.86601322889328
xlm-roberta-base,en,4,mean_pool,1,2,1,0.23382870852947235
xlm-roberta-base,en,4,mean_pool,-2,0,2,1.0376554727554321
xlm-roberta-base,en,4,mean_pool,-1,1,2,0.4627103805541992
xlm-roberta-base,en,4,mean_pool,0,2,2,0.8911162614822388
xlm-roberta-base,en,4,mean_pool,-2,2,4,0.42484429478645325
xlm-roberta-base,en,5,mean_pool,-2,-1,1,0.5158606767654419
xlm-roberta-base,en,5,mean_pool,-1,0,1,0.7636310458183289
xlm-roberta-base,en,5,mean_pool,0,1,1,0.9301882386207581
xlm-roberta-base,en,5,mean_pool,1,2,1,0.29884257912635803
xlm-roberta-base,en,5,mean_pool,-2,0,2,1.0297398567199707
xlm-roberta-base,en,5,mean_pool,-1,1,2,0.3996690809726715
xlm-roberta-base,en,5,mean_pool,0,2,2,0.8482509255409241
xlm-roberta-base,en,5,mean_pool,-2,2,4,0.43472957611083984
xlm-roberta-base,en,6,mean_pool,-2,-1,1,0.585889995098114
xlm-roberta-base,en,6,mean_pool,-1,0,1,0.9128345847129822
xlm-roberta-base,en,6,mean_pool,0,1,1,0.9624191522598267
xlm-roberta-base,en,6,mean_pool,1,2,1,0.32077446579933167
xlm-roberta-base,en,6,mean_pool,-2,0,2,1.096531629562378
xlm-roberta-base,en,6,mean_pool,-1,1,2,0.4837631583213806
xlm-roberta-base,en,6,mean_pool,0,2,2,1.0887833833694458
xlm-roberta-base,en,6,mean_pool,-2,2,4,0.4762735962867737
xlm-roberta-base,en,7,mean_pool,-2,-1,1,0.4847017526626587
xlm-roberta-base,en,7,mean_pool,-1,0,1,0.6550253033638
xlm-roberta-base,en,7,mean_pool,0,1,1,0.7681566476821899
xlm-roberta-base,en,7,mean_pool,1,2,1,0.25736334919929504
xlm-roberta-base,en,7,mean_pool,-2,0,2,0.8249590396881104
xlm-roberta-base,en,7,mean_pool,-1,1,2,0.426898717880249
xlm-roberta-base,en,7,mean_pool,0,2,2,0.8006910681724548
xlm-roberta-base,en,7,mean_pool,-2,2,4,0.32701319456100464
xlm-roberta-base,en,8,mean_pool,-2,-1,1,0.5795773267745972
xlm-roberta-base,en,8,mean_pool,-1,0,1,0.6616510152816772
xlm-roberta-base,en,8,mean_pool,0,1,1,0.8843632936477661
xlm-roberta-base,en,8,mean_pool,1,2,1,0.2641701400279999
xlm-roberta-base,en,8,mean_pool,-2,0,2,1.023222804069519
xlm-roberta-base,en,8,mean_pool,-1,1,2,0.4449247419834137
xlm-roberta-base,en,8,mean_pool,0,2,2,0.9428908824920654
xlm-roberta-base,en,8,mean_pool,-2,2,4,0.38721537590026855
xlm-roberta-base,en,9,mean_pool,-2,-1,1,0.49111926555633545
xlm-roberta-base,en,9,mean_pool,-1,0,1,0.727742075920105
xlm-roberta-base,en,9,mean_pool,0,1,1,0.861862063407898
xlm-roberta-base,en,9,mean_pool,1,2,1,0.22670575976371765
xlm-roberta-base,en,9,mean_pool,-2,0,2,0.9432317614555359
xlm-roberta-base,en,9,mean_pool,-1,1,2,0.3889092803001404
xlm-roberta-base,en,9,mean_pool,0,2,2,0.8900891542434692
xlm-roberta-base,en,9,mean_pool,-2,2,4,0.3653714060783386
xlm-roberta-base,en,10,mean_pool,-2,-1,1,0.7574725151062012
xlm-roberta-base,en,10,mean_pool,-1,0,1,0.8708865642547607
xlm-roberta-base,en,10,mean_pool,0,1,1,1.0807476043701172
xlm-roberta-base,en,10,mean_pool,1,2,1,0.3449033200740814
xlm-roberta-base,en,10,mean_pool,-2,0,2,1.1333835124969482
xlm-roberta-base,en,10,mean_pool,-1,1,2,0.7399570941925049
xlm-roberta-base,en,10,mean_pool,0,2,2,1.0710570812225342
xlm-roberta-base,en,10,mean_pool,-2,2,4,0.5827245116233826
xlm-roberta-base,en,11,mean_pool,-2,-1,1,0.5956405401229858
xlm-roberta-base,en,11,mean_pool,-1,0,1,0.7075797915458679
xlm-roberta-base,en,11,mean_pool,0,1,1,0.9001312851905823
xlm-roberta-base,en,11,mean_pool,1,2,1,0.3090302348136902
xlm-roberta-base,en,11,mean_pool,-2,0,2,1.0552544593811035
xlm-roberta-base,en,11,mean_pool,-1,1,2,0.44992271065711975
xlm-roberta-base,en,11,mean_pool,0,2,2,1.0074723958969116
xlm-roberta-base,en,11,mean_pool,-2,2,4,0.4715273976325989
xlm-roberta-base,en,12,mean_pool,-2,-1,1,0.6588295102119446
xlm-roberta-base,en,12,mean_pool,-1,0,1,0.7513379454612732
xlm-roberta-base,en,12,mean_pool,0,1,1,1.0640143156051636
xlm-roberta-base,en,12,mean_pool,1,2,1,0.3322207033634186
xlm-roberta-base,en,12,mean_pool,-2,0,2,1.1152660846710205
xlm-roberta-base,en,12,mean_pool,-1,1,2,0.5438265800476074
xlm-roberta-base,en,12,mean_pool,0,2,2,0.9488528966903687
xlm-roberta-base,en,12,mean_pool,-2,2,4,0.4110173285007477
xlm-roberta-base,en,13,mean_pool,-2,-1,1,0.45130014419555664
xlm-roberta-base,en,13,mean_pool,-1,0,1,0.5868387818336487
xlm-roberta-base,en,13,mean_pool,0,1,1,0.7401684522628784
xlm-roberta-base,en,13,mean_pool,1,2,1,0.2629513740539551
xlm-roberta-base,en,13,mean_pool,-2,0,2,0.7351917624473572
xlm-roberta-base,en,13,mean_pool,-1,1,2,0.41624340415000916
xlm-roberta-base,en,13,mean_pool,0,2,2,0.695813775062561
xlm-roberta-base,en,13,mean_pool,-2,2,4,0.33672770857810974
xlm-roberta-base,en,14,mean_pool,-2,-1,1,0.5576208829879761
xlm-roberta-base,en,14,mean_pool,-1,0,1,0.7483461499214172
xlm-roberta-base,en,14,mean_pool,0,1,1,0.8593126535415649
xlm-roberta-base,en,14,mean_pool,1,2,1,0.29976457357406616
xlm-roberta-base,en,14,mean_pool,-2,0,2,1.0456311702728271
xlm-roberta-base,en,14,mean_pool,-1,1,2,0.3819378912448883
xlm-roberta-base,en,14,mean_pool,0,2,2,1.0067188739776611
xlm-roberta-base,en,14,mean_pool,-2,2,4,0.3768802881240845
xlm-roberta-base,en,15,mean_pool,-2,-1,1,0.6890907287597656
xlm-roberta-base,en,15,mean_pool,-1,0,1,0.7653253078460693
xlm-roberta-base,en,15,mean_pool,0,1,1,0.9250880479812622
xlm-roberta-base,en,15,mean_pool,1,2,1,0.33922362327575684
xlm-roberta-base,en,15,mean_pool,-2,0,2,1.0314799547195435
xlm-roberta-base,en,15,mean_pool,-1,1,2,0.621259868144989
xlm-roberta-base,en,15,mean_pool,0,2,2,1.0394628047943115
xlm-roberta-base,en,15,mean_pool,-2,2,4,0.44881752133369446
xlm-roberta-base,en,16,mean_pool,-2,-1,1,0.4354678988456726
xlm-roberta-base,en,16,mean_pool,-1,0,1,0.7269178628921509
xlm-roberta-base,en,16,mean_pool,0,1,1,0.7959041595458984
xlm-roberta-base,en,16,mean_pool,1,2,1,0.20722700655460358
xlm-roberta-base,en,16,mean_pool,-2,0,2,0.8658249974250793
xlm-roberta-base,en,16,mean_pool,-1,1,2,0.3843623995780945
xlm-roberta-base,en,16,mean_pool,0,2,2,0.8353413939476013
xlm-roberta-base,en,16,mean_pool,-2,2,4,0.31397345662117004
xlm-roberta-base,en,17,mean_pool,-2,-1,1,0.48465925455093384
xlm-roberta-base,en,17,mean_pool,-1,0,1,1.0069516897201538
xlm-roberta-base,en,17,mean_pool,0,1,1,1.0363203287124634
