model,feature,acc,f1,baseline
bert-base-uncased,x_only,0.2,0.06666666666666667,0.2
bert-base-uncased,y_only,0.748,0.7484942026111531,0.2
bert-base-uncased,delta,0.8,0.7891731794406552,0.2
bert-base-uncased,concat_xy,0.758,0.7580450832878018,0.2
roberta-base,x_only,0.2,0.06666666666666667,0.2
roberta-base,y_only,0.634,0.5942752067656307,0.2
roberta-base,delta,0.828,0.8221062387461382,0.2
roberta-base,concat_xy,0.654,0.6033998624787078,0.2
distilroberta-base,x_only,0.2,0.0703641456582633,0.2
distilroberta-base,y_only,0.644,0.5816581636179514,0.2
distilroberta-base,delta,0.852,0.8461861194361194,0.2
distilroberta-base,concat_xy,0.63,0.5651300796236303,0.2
sentence-transformers/all-MiniLM-L6-v2,x_only,0.2,0.06666666666666667,0.2
sentence-transformers/all-MiniLM-L6-v2,y_only,0.622,0.5800571477817658,0.2
sentence-transformers/all-MiniLM-L6-v2,delta,0.77,0.7639482378937698,0.2
sentence-transformers/all-MiniLM-L6-v2,concat_xy,0.64,0.6006692995010273,0.2
sentence-transformers/all-mpnet-base-v2,x_only,0.2,0.06666666666666667,0.2
sentence-transformers/all-mpnet-base-v2,y_only,0.598,0.5532364755999246,0.2
sentence-transformers/all-mpnet-base-v2,delta,0.588,0.5602375483013489,0.2
sentence-transformers/all-mpnet-base-v2,concat_xy,0.644,0.5954902817729594,0.2
microsoft/deberta-v3-base,x_only,0.2,0.06666666666666667,0.2
microsoft/deberta-v3-base,y_only,0.748,0.7288455221371514,0.2
microsoft/deberta-v3-base,delta,0.752,0.7442278730669539,0.2
microsoft/deberta-v3-base,concat_xy,0.754,0.7297259350211076,0.2
