source_set,source
in_template,The gardener checked the result before lunch.
in_template,The gardener published the note without delay.
in_template,The musician explained the pattern during the session.
in_template,The pilot completed the task in the lab.
in_template,The doctor updated the report during the session.
in_template,The pilot tested the system with care.
in_template,The researcher fixed the problem before lunch.
in_template,The teacher tested the system after the meeting.
in_template,The teacher fixed the problem today.
in_template,The artist completed the task for the team.
in_template,The pilot explained the pattern without delay.
in_template,The student checked the result today.
in_template,The gardener designed the prototype without delay.
in_template,The student cleaned the dataset for the team.
in_template,The gardener checked the result for the team.
in_template,The doctor opened the archive on Monday.
in_template,The analyst tested the system after the meeting.
in_template,The manager measured the signal today.
in_template,The gardener updated the report in the lab.
in_template,The student reviewed the plan before lunch.
in_template,The doctor cleaned the dataset before lunch.
in_template,The pilot published the note in the lab.
in_template,The pilot measured the signal for the team.
in_template,The engineer explained the pattern near the station.
in_template,The artist updated the report on Monday.
in_template,The pilot opened the archive in the lab.
in_template,The researcher explained the pattern after the meeting.
in_template,The student completed the task without delay.
in_template,The artist reviewed the plan today.
in_template,The doctor published the note in the lab.
in_template,The manager published the note after the meeting.
in_template,The musician tested the system near the station.
in_template,The artist cleaned the dataset with care.
in_template,The artist cleaned the dataset on Monday.
in_template,The doctor reviewed the plan in the lab.
in_template,The analyst completed the task before lunch.
in_template,The analyst updated the report near the station.
in_template,The student fixed the problem after the meeting.
in_template,The teacher cleaned the dataset with care.
in_template,The artist checked the result before lunch.
hard_out_of_template,The sample was collected by Maria in Paris.
hard_out_of_template,"Although the sensor failed twice, the archive remained intact."
hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.
hard_out_of_template,The bridge was inspected after the storm ended.
hard_out_of_template,"When the lights went out, Elena saved the last checkpoint."
hard_out_of_template,The experiment ran for 14 days in a sealed chamber.
hard_out_of_template,A backup copy was created before the server rebooted.
hard_out_of_template,"Because the battery was low, the robot returned to the dock."
hard_out_of_template,Professor Kim compared three models on Tuesday.
hard_out_of_template,The package was delivered to Building 12 at noon.
hard_out_of_template,"After the committee voted, the proposal moved forward."
hard_out_of_template,Nina measured 42 samples during the morning shift.
hard_out_of_template,The old manuscript was restored by a small museum team.
hard_out_of_template,"If the pressure rises, the valve closes automatically."
hard_out_of_template,The telescope captured Jupiter at 03:15.
hard_out_of_template,"Before Anna left Berlin, she archived the recordings."
hard_out_of_template,The report was signed by two reviewers yesterday.
hard_out_of_template,"While the model trained, the laptop stayed plugged in."
hard_out_of_template,The clinic processed 86 forms before closing.
hard_out_of_template,"Because the route changed, Alex updated the map."
hard_out_of_template,The signal was detected by the second antenna.
hard_out_of_template,"When the camera focused, the image became sharp."
hard_out_of_template,The library stored 300 boxes in the basement.
hard_out_of_template,"After the rehearsal ended, Sofia tuned the piano."
hard_out_of_template,The database was migrated during the night.
hard_out_of_template,"Although the river froze, the sensors kept running."
hard_out_of_template,The document was translated by a volunteer in Madrid.
hard_out_of_template,"Before the timer expired, Pavel saved the file."
hard_out_of_template,The company shipped 25 devices to Lisbon.
hard_out_of_template,"When the wind slowed, the drone landed safely."
hard_out_of_template,The glass panel was replaced after the inspection.
hard_out_of_template,"Because the password changed, the script requested a token."
hard_out_of_template,The survey included 512 participants in June.
hard_out_of_template,"After the alarm sounded, the system locked the door."
hard_out_of_template,The painting was moved to Gallery 4 on Friday.
hard_out_of_template,"Although the network lagged, the call continued."
hard_out_of_template,The rover crossed 9 meters of loose sand.
hard_out_of_template,"When the freezer opened, the samples stayed labeled."
hard_out_of_template,The treaty was approved by the council in 2025.
hard_out_of_template,"Before the lecture began, Olesya checked the projector."
