model,ridge_alpha,heldout_language,method,operator,operator_fro_norm,operator_spectral_norm,operator_trace
sentence-transformers/LaBSE,100.0,en,linear,N,7.987293990008316,1.7538128302921163,-73.5631645321846
sentence-transformers/LaBSE,100.0,en,linear,Q,8.19502731833905,2.849543790846868,-67.8057648986578
sentence-transformers/LaBSE,100.0,en,linear,M,7.745473475799662,1.4343847174752478,-74.84594260156155
sentence-transformers/LaBSE,100.0,en,linear,T,7.899787996454358,1.4453232672223577,-72.13402236998081
sentence-transformers/LaBSE,100.0,en,affine,N,8.003262631141686,1.6776810220166094,-74.02736891806126
sentence-transformers/LaBSE,100.0,en,affine,Q,8.134360885294935,2.7481706402177646,-67.82080209255219
sentence-transformers/LaBSE,100.0,en,affine,M,7.779340489396652,1.424722733261061,-75.44739842414856
sentence-transformers/LaBSE,100.0,en,affine,T,7.92608719395483,1.3796766311803252,-72.7927231490612
sentence-transformers/LaBSE,100.0,es,linear,N,7.947010227146793,1.7271011605192939,-73.3730700314045
sentence-transformers/LaBSE,100.0,es,linear,Q,8.102135363477021,2.534487577549938,-68.10815696418285
sentence-transformers/LaBSE,100.0,es,linear,M,7.787965562459993,1.4365556786360254,-75.13112823665142
sentence-transformers/LaBSE,100.0,es,linear,T,7.893380297761201,1.5122827930260343,-72.42628212273121
sentence-transformers/LaBSE,100.0,es,affine,N,7.955245269622093,1.6442662841074678,-73.78179287910461
sentence-transformers/LaBSE,100.0,es,affine,Q,8.02354783010017,2.349136349264156,-68.04263745248318
sentence-transformers/LaBSE,100.0,es,affine,M,7.820039709991209,1.4223193399496696,-75.70283852517605
sentence-transformers/LaBSE,100.0,es,affine,T,7.917067916475086,1.4314117298215039,-73.04344828426838
sentence-transformers/LaBSE,100.0,fr,linear,N,7.911257900680806,1.5136106021655238,-73.68180634081364
sentence-transformers/LaBSE,100.0,fr,linear,Q,7.981267772074686,2.1078953160582024,-68.465525329113
sentence-transformers/LaBSE,100.0,fr,linear,M,7.778262698093987,1.3712546683862892,-75.54901745915413
sentence-transformers/LaBSE,100.0,fr,linear,T,7.910712617177533,1.4568680974543755,-73.21533803641796
sentence-transformers/LaBSE,100.0,fr,affine,N,7.929136154519076,1.4568755116939016,-74.14809010922909
sentence-transformers/LaBSE,100.0,fr,affine,Q,7.929900115678016,2.0344503156913736,-68.45364889502525
sentence-transformers/LaBSE,100.0,fr,affine,M,7.807223752757718,1.3704694362727834,-76.12038946151733
sentence-transformers/LaBSE,100.0,fr,affine,T,7.933735317774158,1.4277485435310682,-73.83444045484066
sentence-transformers/LaBSE,100.0,de,linear,N,8.108247874544526,1.7099983374293621,-75.57205653190613
sentence-transformers/LaBSE,100.0,de,linear,Q,8.352739403218338,2.8355798371967205,-70.00086604058743
sentence-transformers/LaBSE,100.0,de,linear,M,7.87073921290097,1.3056654072221474,-77.04891289770603
sentence-transformers/LaBSE,100.0,de,linear,T,8.03919318558791,1.4444963013181684,-74.3332763761282
sentence-transformers/LaBSE,100.0,de,affine,N,8.125056093318177,1.6420197240834815,-76.02447202801704
sentence-transformers/LaBSE,100.0,de,affine,Q,8.298812885746385,2.7665157828411657,-69.99316330254078
sentence-transformers/LaBSE,100.0,de,affine,M,7.904763863406812,1.328299193247135,-77.6525454223156
sentence-transformers/LaBSE,100.0,de,affine,T,8.066028185119706,1.3833538945740909,-74.9811535179615
sentence-transformers/LaBSE,100.0,ru,linear,N,8.251710784848681,1.7358779282736334,-77.18097797036171
sentence-transformers/LaBSE,100.0,ru,linear,Q,8.471283601809228,2.8504832104422455,-72.82245419919491
sentence-transformers/LaBSE,100.0,ru,linear,M,7.968127937652684,1.4299319424296317,-77.80156683921814
sentence-transformers/LaBSE,100.0,ru,linear,T,8.118201108973409,1.5239429362323484,-75.59116779267788
sentence-transformers/LaBSE,100.0,ru,affine,N,8.261766505802054,1.6696710651862376,-77.61920389533043
sentence-transformers/LaBSE,100.0,ru,affine,Q,8.427046215824568,2.8127381747196516,-72.84641562402248
sentence-transformers/LaBSE,100.0,ru,affine,M,7.991089861580471,1.435935798826834,-78.32491406798363
sentence-transformers/LaBSE,100.0,ru,affine,T,8.135874647816882,1.4000855500191853,-76.21084913611412
sentence-transformers/LaBSE,100.0,zh,linear,N,8.056544135173478,1.7556960640865906,-74.33847059309483
sentence-transformers/LaBSE,100.0,zh,linear,Q,8.183886255823875,2.759028578502703,-68.26862908899784
sentence-transformers/LaBSE,100.0,zh,linear,M,7.79052499920003,1.462639079182663,-75.22772024571896
sentence-transformers/LaBSE,100.0,zh,linear,T,7.9908156498744765,1.505716669876388,-73.13636372983456
sentence-transformers/LaBSE,100.0,zh,affine,N,8.064563369917956,1.6873629914867778,-74.7403372824192
sentence-transformers/LaBSE,100.0,zh,affine,Q,8.11482234716228,2.6672878585927187,-68.2171982228756
sentence-transformers/LaBSE,100.0,zh,affine,M,7.818205128661501,1.4208681994913803,-75.76873230934143
sentence-transformers/LaBSE,100.0,zh,affine,T,8.010459557171576,1.4471452390174258,-73.75562839210033
sentence-transformers/LaBSE,100.0,ar,linear,N,8.169633217098346,1.8134259063148763,-76.0051119029522
sentence-transformers/LaBSE,100.0,ar,linear,Q,8.344602704189956,2.9853638759364554,-69.81557047367096
sentence-transformers/LaBSE,100.0,ar,linear,M,7.96739237082271,1.4393373332759751,-77.48344637453556
sentence-transformers/LaBSE,100.0,ar,linear,T,8.093529867716098,1.530568381594297,-75.09873732924461
sentence-transformers/LaBSE,100.0,ar,affine,N,8.177800534887382,1.730783979078587,-76.43442054092884
sentence-transformers/LaBSE,100.0,ar,affine,Q,8.281696574258591,2.895216700033372,-69.82768300175667
sentence-transformers/LaBSE,100.0,ar,affine,M,7.995348831955726,1.4308054109126431,-78.0502208918333
sentence-transformers/LaBSE,100.0,ar,affine,T,8.115416001797351,1.4577488548366948,-75.76741561293602
