split,class,source,target
train,ellipsis,The artist opened the archive before lunch.,The artist opened the archive before lunch...
train,question_mark,The artist opened the archive before lunch.,The artist opened the archive before lunch?
train,ellipsis,The writer fixed the problem near the station.,The writer fixed the problem near the station...
train,question_mark,The writer fixed the problem near the station.,The writer fixed the problem near the station?
train,ellipsis,The pilot measured the signal after the meeting.,The pilot measured the signal after the meeting...
train,question_mark,The pilot measured the signal after the meeting.,The pilot measured the signal after the meeting?
train,ellipsis,The artist measured the signal with care.,The artist measured the signal with care...
train,question_mark,The artist measured the signal with care.,The artist measured the signal with care?
train,ellipsis,The manager tested the system during the session.,The manager tested the system during the session...
train,question_mark,The manager tested the system during the session.,The manager tested the system during the session?
train,ellipsis,The musician explained the pattern in the lab.,The musician explained the pattern in the lab...
train,question_mark,The musician explained the pattern in the lab.,The musician explained the pattern in the lab?
train,ellipsis,The pilot cleaned the dataset on Monday.,The pilot cleaned the dataset on Monday...
train,question_mark,The pilot cleaned the dataset on Monday.,The pilot cleaned the dataset on Monday?
train,ellipsis,The teacher cleaned the dataset for the team.,The teacher cleaned the dataset for the team...
train,question_mark,The teacher cleaned the dataset for the team.,The teacher cleaned the dataset for the team?
train,ellipsis,The teacher reviewed the plan for the team.,The teacher reviewed the plan for the team...
train,question_mark,The teacher reviewed the plan for the team.,The teacher reviewed the plan for the team?
train,ellipsis,The teacher completed the task without delay.,The teacher completed the task without delay...
train,question_mark,The teacher completed the task without delay.,The teacher completed the task without delay?
train,ellipsis,The analyst checked the result for the team.,The analyst checked the result for the team...
train,question_mark,The analyst checked the result for the team.,The analyst checked the result for the team?
train,ellipsis,The analyst updated the report on Monday.,The analyst updated the report on Monday...
train,question_mark,The analyst updated the report on Monday.,The analyst updated the report on Monday?
train,ellipsis,The gardener updated the report during the session.,The gardener updated the report during the session...
train,question_mark,The gardener updated the report during the session.,The gardener updated the report during the session?
train,ellipsis,The analyst opened the archive on Monday.,The analyst opened the archive on Monday...
train,question_mark,The analyst opened the archive on Monday.,The analyst opened the archive on Monday?
train,ellipsis,The gardener tested the system with care.,The gardener tested the system with care...
train,question_mark,The gardener tested the system with care.,The gardener tested the system with care?
train,ellipsis,The manager designed the prototype without delay.,The manager designed the prototype without delay...
train,question_mark,The manager designed the prototype without delay.,The manager designed the prototype without delay?
train,ellipsis,The pilot updated the report near the station.,The pilot updated the report near the station...
train,question_mark,The pilot updated the report near the station.,The pilot updated the report near the station?
train,ellipsis,The researcher reviewed the plan before lunch.,The researcher reviewed the plan before lunch...
train,question_mark,The researcher reviewed the plan before lunch.,The researcher reviewed the plan before lunch?
train,ellipsis,The writer opened the archive for the team.,The writer opened the archive for the team...
train,question_mark,The writer opened the archive for the team.,The writer opened the archive for the team?
train,ellipsis,The analyst cleaned the dataset before lunch.,The analyst cleaned the dataset before lunch...
train,question_mark,The analyst cleaned the dataset before lunch.,The analyst cleaned the dataset before lunch?
train,ellipsis,The doctor cleaned the dataset near the station.,The doctor cleaned the dataset near the station...
train,question_mark,The doctor cleaned the dataset near the station.,The doctor cleaned the dataset near the station?
train,ellipsis,The engineer reviewed the plan without delay.,The engineer reviewed the plan without delay...
train,question_mark,The engineer reviewed the plan without delay.,The engineer reviewed the plan without delay?
train,ellipsis,The researcher designed the prototype without delay.,The researcher designed the prototype without delay...
train,question_mark,The researcher designed the prototype without delay.,The researcher designed the prototype without delay?
train,ellipsis,The engineer published the note for the team.,The engineer published the note for the team...
train,question_mark,The engineer published the note for the team.,The engineer published the note for the team?
train,ellipsis,The artist explained the pattern in the lab.,The artist explained the pattern in the lab...
train,question_mark,The artist explained the pattern in the lab.,The artist explained the pattern in the lab?
train,ellipsis,The teacher updated the report with care.,The teacher updated the report with care...
train,question_mark,The teacher updated the report with care.,The teacher updated the report with care?
train,ellipsis,The analyst published the note during the session.,The analyst published the note during the session...
train,question_mark,The analyst published the note during the session.,The analyst published the note during the session?
train,ellipsis,The pilot published the note for the team.,The pilot published the note for the team...
train,question_mark,The pilot published the note for the team.,The pilot published the note for the team?
train,ellipsis,The artist completed the task without delay.,The artist completed the task without delay...
train,question_mark,The artist completed the task without delay.,The artist completed the task without delay?
train,ellipsis,The teacher updated the report today.,The teacher updated the report today...
train,question_mark,The teacher updated the report today.,The teacher updated the report today?
train,ellipsis,The researcher explained the pattern with care.,The researcher explained the pattern with care...
train,question_mark,The researcher explained the pattern with care.,The researcher explained the pattern with care?
train,ellipsis,The student published the note in the lab.,The student published the note in the lab...
train,question_mark,The student published the note in the lab.,The student published the note in the lab?
train,ellipsis,The pilot explained the pattern with care.,The pilot explained the pattern with care...
train,question_mark,The pilot explained the pattern with care.,The pilot explained the pattern with care?
train,ellipsis,The researcher completed the task with care.,The researcher completed the task with care...
train,question_mark,The researcher completed the task with care.,The researcher completed the task with care?
train,ellipsis,The manager checked the result for the team.,The manager checked the result for the team...
train,question_mark,The manager checked the result for the team.,The manager checked the result for the team?
