model,heldout_language,probe,subspace_rank,accuracy,macro_f1,chance,n_train,n_test
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,triple_label_from_single_endpoint_delta,4,0.4001736111111111,0.3270613029703665,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,endpoint_position_from_endpoint_delta,6,0.13020833333333334,0.08640469082689516,0.16666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,cyclic_vs_anticyclic_from_endpoint_delta,1,0.4956597222222222,0.486843164510087,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,triple_label_from_single_endpoint_delta,4,0.9722222222222222,0.9723147238667372,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,endpoint_position_from_endpoint_delta,6,0.3702256944444444,0.35148910973285935,0.16666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6189236111111112,0.6187969363734422,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,triple_label_from_single_endpoint_delta,4,0.9982638888888888,0.9982635114742832,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,endpoint_position_from_endpoint_delta,6,0.3806423611111111,0.3403027485383425,0.16666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6341145833333334,0.6262123543957487,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,triple_label_from_single_endpoint_delta,4,0.8450520833333334,0.8463035006766717,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,endpoint_position_from_endpoint_delta,6,0.4097222222222222,0.38988944381181145,0.16666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5963541666666666,0.5962857200995719,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,triple_label_from_single_endpoint_delta,4,0.9136284722222222,0.9129798568675705,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,endpoint_position_from_endpoint_delta,6,0.421875,0.4156920337923675,0.16666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6063368055555556,0.6031954330774149,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,triple_label_from_single_endpoint_delta,4,0.6427951388888888,0.6466408369082626,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,endpoint_position_from_endpoint_delta,6,0.17708333333333334,0.16526314122856858,0.16666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,cyclic_vs_anticyclic_from_endpoint_delta,1,0.51171875,0.46467594410242036,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,triple_label_from_single_endpoint_delta,4,0.9379340277777778,0.9383913829824008,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,endpoint_position_from_endpoint_delta,6,0.3576388888888889,0.3608410592522164,0.16666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5668402777777778,0.5507525906938214,0.5,13824,2304
