model,ridge_alpha,heldout_language,method,operator,operator_fro_norm,operator_spectral_norm,operator_trace
bert-base-multilingual-cased,10.0,en,linear,N,7.495075885551632,1.8269436490934523,-56.282295137643814
bert-base-multilingual-cased,10.0,en,linear,Q,9.047421713981315,2.123493797454082,-65.38753816485405
bert-base-multilingual-cased,10.0,en,linear,M,6.498716144175515,1.5098028335601321,-51.00313326716423
bert-base-multilingual-cased,10.0,en,linear,T,7.56858061716549,1.8008473052147247,-55.91176238656044
bert-base-multilingual-cased,10.0,en,affine,N,7.521229860081658,1.8289425360976435,-56.8137489259243
bert-base-multilingual-cased,10.0,en,affine,Q,8.91761333323137,1.8111860303893348,-64.9926295876503
bert-base-multilingual-cased,10.0,en,affine,M,6.539652669040538,1.5095112956159822,-51.56508865952492
bert-base-multilingual-cased,10.0,en,affine,T,7.603122262933658,1.803470173442488,-56.5693234205246
bert-base-multilingual-cased,10.0,es,linear,N,7.483571704688368,1.8910879353944599,-54.85090026259422
bert-base-multilingual-cased,10.0,es,linear,Q,9.03287739458705,2.1185796653879545,-65.30934490263462
bert-base-multilingual-cased,10.0,es,linear,M,6.446795041261163,1.3749071314331005,-49.93206974864006
bert-base-multilingual-cased,10.0,es,linear,T,7.629778582494221,1.840574454590173,-56.362892746925354
bert-base-multilingual-cased,10.0,es,affine,N,7.5007854660563185,1.8862405113721223,-55.34583127498627
bert-base-multilingual-cased,10.0,es,affine,Q,8.907405097170615,1.8198702276847096,-64.94781239330769
bert-base-multilingual-cased,10.0,es,affine,M,6.479174537589343,1.3828777890767436,-50.472364366054535
bert-base-multilingual-cased,10.0,es,affine,T,7.665063546903271,1.8269893294434005,-57.04408186674118
bert-base-multilingual-cased,10.0,fr,linear,N,7.626207548079747,1.8983899521953818,-55.6260107755661
bert-base-multilingual-cased,10.0,fr,linear,Q,9.142801077942186,2.075252290647499,-65.69140520691872
bert-base-multilingual-cased,10.0,fr,linear,M,6.520060486960935,1.4560955130957502,-50.40811330080032
bert-base-multilingual-cased,10.0,fr,linear,T,7.7757375230501165,1.7944612081570999,-57.76447665691376
bert-base-multilingual-cased,10.0,fr,affine,N,7.650911614077729,1.8978160614941397,-56.158237129449844
bert-base-multilingual-cased,10.0,fr,affine,Q,9.026437236245455,1.8644221885594605,-65.28828084468842
