base_id,subject,verb_past,verb_base,object,base_sentence
0,the musician,played,play,the rule,The musician played the rule.
1,the student,found,find,the problem,The student found the problem.
2,the musician,played,play,a short story,The musician played a short story.
3,the programmer,discovered,discover,the meal,The programmer discovered the meal.
4,the doctor,explained,explain,the aircraft,The doctor explained the aircraft.
5,the journalist,explained,explain,a complex machine,The journalist explained a complex machine.
6,the nurse,designed,design,the event,The nurse designed the event.
7,the musician,grew,grow,the problem,The musician grew the problem.
8,the engineer,helped,help,a complex machine,The engineer helped a complex machine.
9,the writer,controlled,control,the aircraft,The writer controlled the aircraft.
10,the journalist,created,create,a sad melody,The journalist created a sad melody.
11,the nurse,examined,examine,the event,The nurse examined the event.
12,the writer,controlled,control,a short story,The writer controlled a short story.
13,the scientist,discovered,discover,the family,The scientist discovered the family.
14,the pilot,tested,test,a complex machine,The pilot tested a complex machine.
15,the analyst,controlled,control,the decision,The analyst controlled the decision.
16,the writer,designed,design,the rule,The writer designed the rule.
17,the scientist,defended,defend,the garden,The scientist defended the garden.
18,the nurse,found,find,a sad melody,The nurse found a sad melody.
19,the journalist,solved,solve,the decision,The journalist solved the decision.
20,the musician,approved,approve,the data,The musician approved the data.
21,the scientist,grew,grow,the interface,The scientist grew the interface.
22,the programmer,defended,defend,the rule,The programmer defended the rule.
23,the doctor,defended,defend,a black cat,The doctor defended a black cat.
24,the researcher,analyzed,analyze,the aircraft,The researcher analyzed the aircraft.
25,the chef,helped,help,the client,The chef helped the client.
26,the musician,approved,approve,the family,The musician approved the family.
27,the lawyer,studied,study,a black cat,The lawyer studied a black cat.
28,the designer,helped,help,a short story,The designer helped a short story.
29,the engineer,tested,test,a beautiful painting,The engineer tested a beautiful painting.
30,the analyst,wrote,write,the aircraft,The analyst wrote the aircraft.
31,the student,approved,approve,the event,The student approved the event.
32,the scientist,designed,design,a new principle,The scientist designed a new principle.
33,the chef,controlled,control,a new principle,The chef controlled a new principle.
34,the teacher,tested,test,the decision,The teacher tested the decision.
35,the journalist,solved,solve,the garden,The journalist solved the garden.
36,the pilot,approved,approve,the family,The pilot approved the family.
37,the musician,improved,improve,a short story,The musician improved a short story.
38,the doctor,created,create,a sad melody,The doctor created a sad melody.
39,the manager,discovered,discover,the problem,The manager discovered the problem.
40,the scientist,prepared,prepare,a black cat,The scientist prepared a black cat.
41,the writer,improved,improve,the question,The writer improved the question.
42,the programmer,designed,design,a sad melody,The programmer designed a sad melody.
43,the lawyer,wrote,write,the meal,The lawyer wrote the meal.
44,the researcher,examined,examine,the client,The researcher examined the client.
45,the teacher,improved,improve,a new principle,The teacher improved a new principle.
46,the lawyer,approved,approve,the event,The lawyer approved the event.
47,the nurse,analyzed,analyze,the rule,The nurse analyzed the rule.
48,the programmer,approved,approve,the data,The programmer approved the data.
49,the researcher,discovered,discover,the meal,The researcher discovered the meal.
50,the engineer,controlled,control,the aircraft,The engineer controlled the aircraft.
51,the engineer,helped,help,the family,The engineer helped the family.
52,the teacher,studied,study,the aircraft,The teacher studied the aircraft.
53,the designer,analyzed,analyze,a beautiful painting,The designer analyzed a beautiful painting.
54,the pilot,designed,design,a sad melody,The pilot designed a sad melody.
55,the pilot,analyzed,analyze,the meal,The pilot analyzed the meal.
56,the lawyer,examined,examine,the garden,The lawyer examined the garden.
57,the lawyer,approved,approve,the family,The lawyer approved the family.
58,the pilot,examined,examine,a short story,The pilot examined a short story.
59,the analyst,solved,solve,the event,The analyst solved the event.
60,the manager,studied,study,the system,The manager studied the system.
61,the designer,tested,test,a complex machine,The designer tested a complex machine.
