model,heldout_language,probe,subspace_rank,accuracy,macro_f1,chance,n_train,n_test
intfloat/multilingual-e5-large-instruct,ar,triple_label_from_single_endpoint_delta,4,0.5442708333333334,0.4674193926018743,0.25,13824,2304
intfloat/multilingual-e5-large-instruct,ar,endpoint_position_from_endpoint_delta,6,0.15885416666666666,0.11938774946322417,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large-instruct,ar,cyclic_vs_anticyclic_from_endpoint_delta,1,0.4986979166666667,0.342492884739827,0.5,13824,2304
intfloat/multilingual-e5-large-instruct,de,triple_label_from_single_endpoint_delta,4,0.9622395833333334,0.9619577385322743,0.25,13824,2304
intfloat/multilingual-e5-large-instruct,de,endpoint_position_from_endpoint_delta,6,0.4396701388888889,0.39329798449139064,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large-instruct,de,cyclic_vs_anticyclic_from_endpoint_delta,1,0.63671875,0.63631254541501,0.5,13824,2304
intfloat/multilingual-e5-large-instruct,en,triple_label_from_single_endpoint_delta,4,0.9991319444444444,0.9991319418280461,0.25,13824,2304
intfloat/multilingual-e5-large-instruct,en,endpoint_position_from_endpoint_delta,6,0.4305555555555556,0.4257069490725663,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large-instruct,en,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6371527777777778,0.6371503170458783,0.5,13824,2304
intfloat/multilingual-e5-large-instruct,es,triple_label_from_single_endpoint_delta,4,0.92578125,0.9258007617146573,0.25,13824,2304
intfloat/multilingual-e5-large-instruct,es,endpoint_position_from_endpoint_delta,6,0.43359375,0.4240704008721967,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large-instruct,es,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5954861111111112,0.5948116643205688,0.5,13824,2304
intfloat/multilingual-e5-large-instruct,fr,triple_label_from_single_endpoint_delta,4,0.9709201388888888,0.9709376775519716,0.25,13824,2304
intfloat/multilingual-e5-large-instruct,fr,endpoint_position_from_endpoint_delta,6,0.4396701388888889,0.4342102044149299,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large-instruct,fr,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6510416666666666,0.648174259736471,0.5,13824,2304
intfloat/multilingual-e5-large-instruct,ru,triple_label_from_single_endpoint_delta,4,0.6566840277777778,0.6237985170793297,0.25,13824,2304
intfloat/multilingual-e5-large-instruct,ru,endpoint_position_from_endpoint_delta,6,0.2847222222222222,0.26936690685904,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large-instruct,ru,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5286458333333334,0.4816121720898819,0.5,13824,2304
intfloat/multilingual-e5-large-instruct,zh,triple_label_from_single_endpoint_delta,4,0.9205729166666666,0.9190040776849708,0.25,13824,2304
intfloat/multilingual-e5-large-instruct,zh,endpoint_position_from_endpoint_delta,6,0.3927951388888889,0.36038272083982537,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large-instruct,zh,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5846354166666666,0.58428387117696,0.5,13824,2304
