model,language,template_id,representation,cv_adjacent_norm,cos_step_12,cos_step_23,cos_step_34
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,0,mean_pool,0.4488377869129181,0.032545287162065506,-0.16321727633476257,-0.0429287850856781
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,1,mean_pool,0.38540545105934143,0.1887923926115036,-0.30936741828918457,0.0011669176165014505
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,2,mean_pool,0.3693654239177704,0.23821185529232025,-0.16511701047420502,-0.0434517040848732
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,3,mean_pool,0.393679141998291,0.19011199474334717,-0.21131174266338348,-0.004907684866338968
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,4,mean_pool,0.41899168491363525,0.12014947831630707,-0.20103523135185242,-0.0727447122335434
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,5,mean_pool,0.4383058249950409,0.171735942363739,-0.1612386703491211,-0.03665905445814133
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,6,mean_pool,0.3901466429233551,0.1752418726682663,-0.2546452283859253,-0.05915826931595802
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,7,mean_pool,0.32717055082321167,0.1599739044904709,-0.1689525693655014,-0.06166941672563553
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,8,mean_pool,0.35957494378089905,0.218055859208107,-0.20859304070472717,-0.0010589997982606292
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,9,mean_pool,0.3966008722782135,0.09395541995763779,-0.2540673613548279,-0.056306470185518265
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,10,mean_pool,0.4651931822299957,0.1488325595855713,-0.27922552824020386,-0.04291590675711632
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,11,mean_pool,0.4078897535800934,0.12768928706645966,-0.2373925894498825,-0.05308747664093971
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,12,mean_pool,0.347048819065094,0.15573865175247192,-0.24818819761276245,-0.14834840595722198
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,13,mean_pool,0.3871259391307831,0.08835481107234955,-0.21752320230007172,-0.09168911725282669
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,14,mean_pool,0.427295058965683,0.11174218356609344,-0.13696497678756714,-0.013272663578391075
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,15,mean_pool,0.39700618386268616,0.28048914670944214,-0.16369041800498962,-0.03772447630763054
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,16,mean_pool,0.37746819853782654,0.09126335382461548,-0.10414339601993561,0.005320901982486248
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,17,mean_pool,0.38034817576408386,0.11369752138853073,-0.2035313993692398,-0.030679984018206596
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,18,mean_pool,0.3742888569831848,0.05680788308382034,-0.17176982760429382,-0.04180602356791496
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,19,mean_pool,0.3975803256034851,0.24861499667167664,-0.16568320989608765,0.09056125581264496
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,20,mean_pool,0.4130495488643646,0.03810156509280205,-0.17942923307418823,-0.061269570142030716
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,21,mean_pool,0.40090078115463257,0.09641803056001663,-0.1951984167098999,-0.0651450976729393
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,22,mean_pool,0.3808137774467468,0.21153642237186432,-0.24317847192287445,-0.0643305554986
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,23,mean_pool,0.4018312096595764,0.14557822048664093,-0.18507635593414307,0.021517165005207062
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,24,mean_pool,0.4283847510814667,0.11822690069675446,-0.20702767372131348,-0.17454613745212555
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,25,mean_pool,0.363452672958374,0.20087642967700958,-0.2548683285713196,0.0104497279971838
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,26,mean_pool,0.34990471601486206,0.19745232164859772,-0.17528760433197021,0.034602273255586624
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,27,mean_pool,0.3890649378299713,0.19918467104434967,-0.23763059079647064,-0.029606368392705917
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,28,mean_pool,0.3489606976509094,0.32199981808662415,-0.2813706696033478,0.014386997558176517
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,29,mean_pool,0.44943422079086304,0.11433272808790207,-0.18817691504955292,-0.15938502550125122
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,30,mean_pool,0.4236299991607666,0.07359730452299118,-0.20628902316093445,-0.04568270593881607
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,31,mean_pool,0.4055146276950836,0.21087127923965454,-0.2384825050830841,-0.017040053382515907
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,32,mean_pool,0.424420028924942,0.1252434402704239,-0.28803399205207825,-0.07426101714372635
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,33,mean_pool,0.36605963110923767,0.12432582676410675,-0.18635903298854828,-0.05183713883161545
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,34,mean_pool,0.4598827660083771,0.11159858852624893,-0.22246384620666504,-0.10897228121757507
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,35,mean_pool,0.34886258840560913,0.1770864576101303,-0.30249595642089844,-0.04760507121682167
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,36,mean_pool,0.3909972608089447,0.27831554412841797,-0.23062829673290253,0.06683255732059479
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,37,mean_pool,0.40253907442092896,0.15131884813308716,-0.2059284746646881,-0.09456218034029007
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,38,mean_pool,0.3549431264400482,0.11882660537958145,-0.24903932213783264,-0.037779148668050766
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,39,mean_pool,0.3591425120830536,0.15941861271858215,-0.32538530230522156,-0.03520777076482773
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,40,mean_pool,0.39800935983657837,0.18650077283382416,-0.1918567419052124,0.02715170755982399
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,41,mean_pool,0.3830653131008148,0.16371431946754456,-0.15734292566776276,-0.007023755460977554
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,42,mean_pool,0.38870346546173096,0.2250441163778305,-0.20119301974773407,-0.07550553977489471
