model,base_id,syntax_family,class,source,target,delta_norm
roberta-base,0,simple_svo,negation,The student examined a beautiful painting.,The student did not examine a beautiful painting.,1.6022058725357056
roberta-base,0,simple_svo,question,The student examined a beautiful painting.,Did the student examine a beautiful painting?,1.7388243675231934
roberta-base,0,simple_svo,future,The student examined a beautiful painting.,The student will examine a beautiful painting.,1.1701223850250244
roberta-base,0,simple_svo,uncertainty,The student examined a beautiful painting.,The student may have examined a beautiful painting.,1.4308751821517944
roberta-base,0,simple_svo,passive,The student examined a beautiful painting.,A beautiful painting was examined by the student.,1.1995997428894043
roberta-base,0,simple_svo,formalization,The student examined a beautiful painting.,It is true that the student examined a beautiful painting.,1.8949923515319824
roberta-base,0,with_context,negation,The student examined a beautiful painting before the deadline.,The student did not examine a beautiful painting before the deadline.,1.1921478509902954
roberta-base,0,with_context,question,The student examined a beautiful painting before the deadline.,Did the student examine a beautiful painting before the deadline?,1.3995188474655151
roberta-base,0,with_context,future,The student examined a beautiful painting before the deadline.,The student will examine a beautiful painting before the deadline.,1.1305058002471924
roberta-base,0,with_context,uncertainty,The student examined a beautiful painting before the deadline.,The student may have examined a beautiful painting before the deadline.,1.2473360300064087
roberta-base,0,with_context,passive,The student examined a beautiful painting before the deadline.,A beautiful painting was examined by the student before the deadline.,1.1451492309570312
roberta-base,0,with_context,formalization,The student examined a beautiful painting before the deadline.,It is true that the student examined a beautiful painting before the deadline.,1.477006196975708
roberta-base,0,relative_clause,negation,The person who examined a beautiful painting was the student.,The person who did not examine a beautiful painting was the student.,0.9164232015609741
roberta-base,0,relative_clause,question,The person who examined a beautiful painting was the student.,Was the person who examined a beautiful painting the student?,1.3628485202789307
roberta-base,0,relative_clause,future,The person who examined a beautiful painting was the student.,The person who will examine a beautiful painting is the student.,1.5051897764205933
roberta-base,0,relative_clause,uncertainty,The person who examined a beautiful painting was the student.,The person who may have examined a beautiful painting was the student.,1.032301902770996
roberta-base,0,relative_clause,passive,The person who examined a beautiful painting was the student.,The person by whom a beautiful painting was examined was the student.,1.496947169303894
roberta-base,0,relative_clause,formalization,The person who examined a beautiful painting was the student.,It is true that the person who examined a beautiful painting was the student.,1.281941294670105
roberta-base,0,temporal_clause,negation,"After the student examined a beautiful painting, the situation changed.","After the student did not examine a beautiful painting, the situation changed.",0.9947059154510498
roberta-base,0,temporal_clause,question,"After the student examined a beautiful painting, the situation changed.",Did the situation change after the student examined a beautiful painting?,1.5114185810089111
roberta-base,0,temporal_clause,future,"After the student examined a beautiful painting, the situation changed.","After the student will examine a beautiful painting, the situation will change.",1.4331516027450562
roberta-base,0,temporal_clause,uncertainty,"After the student examined a beautiful painting, the situation changed.","After the student may have examined a beautiful painting, the situation changed.",1.0716735124588013
roberta-base,0,temporal_clause,passive,"After the student examined a beautiful painting, the situation changed.","After a beautiful painting was examined by the student, the situation changed.",0.7505975365638733
roberta-base,0,temporal_clause,formalization,"After the student examined a beautiful painting, the situation changed.","It is true that after the student examined a beautiful painting, the situation changed.",1.0954108238220215
roberta-base,0,reported_statement,negation,The report said that the student examined a beautiful painting.,The report said that the student did not examine a beautiful painting.,0.907403290271759
roberta-base,0,reported_statement,question,The report said that the student examined a beautiful painting.,Did the report say that the student examined a beautiful painting?,1.3474081754684448
roberta-base,0,reported_statement,future,The report said that the student examined a beautiful painting.,The report said that the student will examine a beautiful painting.,1.049383521080017
roberta-base,0,reported_statement,uncertainty,The report said that the student examined a beautiful painting.,The report said that the student may have examined a beautiful painting.,0.8837739825248718
roberta-base,0,reported_statement,passive,The report said that the student examined a beautiful painting.,The report said that a beautiful painting was examined by the student.,0.7671604156494141
roberta-base,0,reported_statement,formalization,The report said that the student examined a beautiful painting.,It is true that the report said that the student examined a beautiful painting.,1.3632420301437378
roberta-base,0,conditional,negation,"If the student examined a beautiful painting, the result mattered.","If the student did not examine a beautiful painting, the result mattered.",0.8568016886711121
roberta-base,0,conditional,question,"If the student examined a beautiful painting, the result mattered.",Did the result matter if the student examined a beautiful painting?,1.2363580465316772
roberta-base,0,conditional,future,"If the student examined a beautiful painting, the result mattered.","If the student will examine a beautiful painting, the result will matter.",1.2981841564178467
roberta-base,0,conditional,uncertainty,"If the student examined a beautiful painting, the result mattered.","If the student may have examined a beautiful painting, the result mattered.",0.9467891454696655
roberta-base,0,conditional,passive,"If the student examined a beautiful painting, the result mattered.","If a beautiful painting was examined by the student, the result mattered.",0.7733107805252075
roberta-base,0,conditional,formalization,"If the student examined a beautiful painting, the result mattered.","It is true that if the student examined a beautiful painting, the result mattered.",1.1508408784866333
roberta-base,1,simple_svo,negation,The researcher created a beautiful painting.,The researcher did not create a beautiful painting.,1.3924165964126587
roberta-base,1,simple_svo,question,The researcher created a beautiful painting.,Did the researcher create a beautiful painting?,1.6090846061706543
roberta-base,1,simple_svo,future,The researcher created a beautiful painting.,The researcher will create a beautiful painting.,1.0529975891113281
