model,template_id,pair,op_a,op_b,source,ab_text,ba_text,norm_ab,norm_ba,commutator_norm,relative_commutator_norm,cosine_ab_ba,noncommutativity_score
roberta-base,0,NQ_vs_QN,N,Q,The scientist submitted the request before the deadline.,Did the scientist fail to submit the request before the deadline?,Is it false that the scientist submitted the request before the deadline?,1.4868299961090088,1.4993844032287598,1.2215148210525513,0.8181025590946315,0.665383517742157,0.334616482257843
roberta-base,0,NM_vs_MN,N,M,The scientist submitted the request before the deadline.,The scientist did not reportedly submit the request before the deadline.,The scientist reportedly did not submit the request before the deadline.,1.0464820861816406,1.1071521043777466,0.27432113885879517,0.2547518423147693,0.9691134691238403,0.030886530876159668
roberta-base,0,NT_vs_TN,N,T,The scientist submitted the request before the deadline.,The scientist will fail to submit the request before the deadline.,The scientist will not submit the request before the deadline.,1.4177571535110474,1.1834173202514648,0.7385919690132141,0.5678911403004024,0.8537957668304443,0.14620423316955566
roberta-base,0,QM_vs_MQ,Q,M,The scientist submitted the request before the deadline.,Is it reportedly true that the scientist submitted the request before the deadline?,Did the scientist reportedly submit the request before the deadline?,1.5709410905838013,1.1188815832138062,1.132535457611084,0.8420893084459575,0.6932694315910339,0.30673056840896606
roberta-base,0,QT_vs_TQ,Q,T,The scientist submitted the request before the deadline.,Will it be true that the scientist will submit the request before the deadline?,Will the scientist submit the request before the deadline?,1.915887475013733,1.3269057273864746,1.2422282695770264,0.766147078794173,0.7647252082824707,0.2352747917175293
roberta-base,0,MT_vs_TM,M,T,The scientist submitted the request before the deadline.,The scientist reportedly will submit the request before the deadline.,The scientist will reportedly submit the request before the deadline.,1.0302313566207886,1.0442842245101929,0.16538339853286743,0.15944290805716146,0.9873800873756409,0.01261991262435913
roberta-base,1,NQ_vs_QN,N,Q,The editor completed the repair before the deadline.,Did the editor fail to complete the repair before the deadline?,Is it false that the editor completed the repair before the deadline?,1.557036280632019,1.5365877151489258,1.2581727504730225,0.8133973308896576,0.6692653298377991,0.3307346701622009
roberta-base,1,NM_vs_MN,N,M,The editor completed the repair before the deadline.,The editor did not allegedly complete the repair before the deadline.,The editor allegedly did not complete the repair before the deadline.,1.2439175844192505,1.3119068145751953,0.39688217639923096,0.31057077047630366,0.9531550407409668,0.0468449592590332
roberta-base,1,NT_vs_TN,N,T,The editor completed the repair before the deadline.,The editor will fail to complete the repair before the deadline.,The editor will not complete the repair before the deadline.,1.412168025970459,1.1374938488006592,0.6755651235580444,0.5299252659674017,0.8814248442649841,0.11857515573501587
roberta-base,1,QM_vs_MQ,Q,M,The editor completed the repair before the deadline.,Is it allegedly true that the editor completed the repair before the deadline?,Did the editor allegedly complete the repair before the deadline?,1.6427711248397827,1.308164358139038,1.173529863357544,0.7953612473913725,0.7056300640106201,0.2943699359893799
roberta-base,1,QT_vs_TQ,Q,T,The editor completed the repair before the deadline.,Will it be true that the editor is going to complete the repair before the deadline?,Will the editor complete the repair before the deadline?,2.0715367794036865,1.3297218084335327,1.4577556848526,0.8571860369950264,0.7141544818878174,0.2858455181121826
roberta-base,1,MT_vs_TM,M,T,The editor completed the repair before the deadline.,The editor allegedly is going to complete the repair before the deadline.,The editor will allegedly complete the repair before the deadline.,1.5330336093902588,1.1952686309814453,0.7702603340148926,0.5646444317029828,0.8692373633384705,0.13076263666152954
roberta-base,2,NQ_vs_QN,N,Q,The manager reviewed the proposal during the meeting.,Did the manager fail to review the proposal during the meeting?,Is it false that the manager reviewed the proposal during the meeting?,1.5554252862930298,1.6601312160491943,1.2325695753097534,0.7666290885644075,0.7079508900642395,0.2920491099357605
roberta-base,2,NM_vs_MN,N,M,The manager reviewed the proposal during the meeting.,The manager did not reportedly review the proposal during the meeting.,The manager reportedly failed to review the proposal during the meeting.,1.2368786334991455,1.30818772315979,0.6899890303611755,0.5422169277082615,0.8544561862945557,0.14554381370544434
roberta-base,2,NT_vs_TN,N,T,The manager reviewed the proposal during the meeting.,The manager will fail to review the proposal during the meeting.,The manager will not review the proposal during the meeting.,1.251872181892395,1.1037675142288208,0.5922757387161255,0.5028576651097031,0.8810025453567505,0.11899745464324951
