model,kind,label,language_a,language_b,centroid_cosine
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,ar,de,-0.1906643509864807
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,ar,en,-0.13871973752975464
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,ar,es,-0.027200594544410706
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,ar,fr,0.026147086173295975
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,ar,ru,0.011222362518310547
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,ar,zh,0.0
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,de,en,0.24190832674503326
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,de,es,0.21986964344978333
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,de,fr,0.22244775295257568
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,de,ru,-0.021334372460842133
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,de,zh,0.0
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,en,es,0.36148160696029663
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,en,fr,0.2939707040786743
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,en,ru,0.1697031855583191
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,en,zh,0.0
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,es,fr,0.5605059862136841
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,es,ru,0.33895671367645264
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,es,zh,0.0
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,fr,ru,0.21402417123317719
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,fr,zh,0.0
bert-base-multilingual-cased,pair_commutator,MT_vs_TM,ru,zh,0.0
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,ar,de,-0.04272860288619995
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,ar,en,-0.04410654678940773
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,ar,es,-0.04024535417556763
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,ar,fr,0.03583543002605438
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,ar,ru,-0.06391368806362152
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,ar,zh,0.0
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,de,en,0.4214664101600647
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,de,es,0.10283185541629791
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,de,fr,0.2028062641620636
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,de,ru,0.02129562944173813
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,de,zh,0.0
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,en,es,0.20272594690322876
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,en,fr,0.2893725633621216
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,en,ru,-0.13464094698429108
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,en,zh,0.0
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,es,fr,0.5696543455123901
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,es,ru,0.3182491064071655
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,es,zh,0.0
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,fr,ru,0.1030678004026413
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,fr,zh,0.0
bert-base-multilingual-cased,pair_commutator,NM_vs_MN,ru,zh,0.0
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,ar,de,0.08953651040792465
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,ar,en,-0.0387340672314167
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,ar,es,-0.07470148801803589
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,ar,fr,-0.15036983788013458
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,ar,ru,-0.018530264496803284
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,ar,zh,-0.0693419948220253
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,de,en,0.31274503469467163
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,de,es,0.32204049825668335
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,de,fr,0.30780959129333496
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,de,ru,0.1559477150440216
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,de,zh,0.1541471928358078
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,en,es,0.46623292565345764
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,en,fr,0.29504504799842834
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,en,ru,-0.03936062753200531
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,en,zh,0.18685518205165863
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,es,fr,0.48698365688323975
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,es,ru,0.10242801904678345
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,es,zh,0.31555652618408203
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,fr,ru,0.12398763746023178
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,fr,zh,0.1415184736251831
bert-base-multilingual-cased,pair_commutator,NQ_vs_QN,ru,zh,0.09611667692661285
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,ar,de,0.11032570898532867
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,ar,en,-0.022695492953062057
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,ar,es,0.008038613945245743
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,ar,fr,-0.03926805406808853
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,ar,ru,0.06558220833539963
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,ar,zh,0.0618380568921566
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,de,en,0.08545583486557007
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,de,es,0.22580987215042114
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,de,fr,-0.040588799864053726
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,de,ru,0.07036429643630981
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,de,zh,0.22991977632045746
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,en,es,0.3414975702762604
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,en,fr,0.09370353817939758
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,en,ru,-0.051111653447151184
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,en,zh,0.33660775423049927
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,es,fr,0.2138700634241104
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,es,ru,0.05384279042482376
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,es,zh,0.25752413272857666
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,fr,ru,-0.0671871155500412
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,fr,zh,-0.011499222368001938
bert-base-multilingual-cased,pair_commutator,NT_vs_TN,ru,zh,0.060988899320364
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,ar,de,0.03398575633764267
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,ar,en,0.022316554561257362
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,ar,es,-0.0951015055179596
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,ar,fr,-0.04416076838970184
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,ar,ru,0.16124102473258972
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,ar,zh,0.0156400129199028
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,de,en,0.3616366982460022
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,de,es,0.47756022214889526
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,de,fr,0.37743091583251953
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,de,ru,0.25406843423843384
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,de,zh,0.1919201910495758
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,en,es,0.3386378884315491
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,en,fr,0.313833624124527
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,en,ru,-0.07404115796089172
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,en,zh,0.12546464800834656
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,es,fr,0.4644305109977722
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,es,ru,0.20763687789440155
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,es,zh,0.14482128620147705
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,fr,ru,-0.00027199648320674896
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,fr,zh,0.22280800342559814
bert-base-multilingual-cased,pair_commutator,QM_vs_MQ,ru,zh,0.04997679591178894
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,ar,de,0.14864304661750793
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,ar,en,0.1001388281583786
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,ar,es,0.08658601343631744
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,ar,fr,0.12541846930980682
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,ar,ru,0.12167875468730927
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,ar,zh,-0.06675174832344055
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,de,en,0.3543052673339844
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,de,es,0.31454935669898987
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,de,fr,0.35058003664016724
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,de,ru,0.15838077664375305
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,de,zh,-0.03504154086112976
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,en,es,0.38395723700523376
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,en,fr,0.36707282066345215
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,en,ru,0.111447274684906
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,en,zh,0.19825197756290436
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,es,fr,0.6708229780197144
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,es,ru,0.01555626094341278
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,es,zh,-0.0394568145275116
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,fr,ru,-0.01760128140449524
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,fr,zh,0.0197092667222023
bert-base-multilingual-cased,pair_commutator,QT_vs_TQ,ru,zh,0.006124179810285568
bert-base-multilingual-cased,triple_signed,NMT,ar,de,0.08355468511581421
bert-base-multilingual-cased,triple_signed,NMT,ar,en,-0.01794717088341713
bert-base-multilingual-cased,triple_signed,NMT,ar,es,-0.02988915704190731
bert-base-multilingual-cased,triple_signed,NMT,ar,fr,-0.055795930325984955
bert-base-multilingual-cased,triple_signed,NMT,ar,ru,-0.0012644678354263306
bert-base-multilingual-cased,triple_signed,NMT,ar,zh,0.057258766144514084
bert-base-multilingual-cased,triple_signed,NMT,de,en,0.07305106520652771
bert-base-multilingual-cased,triple_signed,NMT,de,es,0.18160393834114075
bert-base-multilingual-cased,triple_signed,NMT,de,fr,-0.009469667449593544
bert-base-multilingual-cased,triple_signed,NMT,de,ru,0.08113369345664978
bert-base-multilingual-cased,triple_signed,NMT,de,zh,0.2029692828655243
bert-base-multilingual-cased,triple_signed,NMT,en,es,0.3344128429889679
bert-base-multilingual-cased,triple_signed,NMT,en,fr,0.09591394662857056
bert-base-multilingual-cased,triple_signed,NMT,en,ru,-0.03529268130660057
bert-base-multilingual-cased,triple_signed,NMT,en,zh,0.3017072379589081
bert-base-multilingual-cased,triple_signed,NMT,es,fr,0.23461417853832245
bert-base-multilingual-cased,triple_signed,NMT,es,ru,0.08190221339464188
bert-base-multilingual-cased,triple_signed,NMT,es,zh,0.19180133938789368
bert-base-multilingual-cased,triple_signed,NMT,fr,ru,-0.08504146337509155
bert-base-multilingual-cased,triple_signed,NMT,fr,zh,0.041054658591747284
bert-base-multilingual-cased,triple_signed,NMT,ru,zh,0.02562904544174671
bert-base-multilingual-cased,triple_signed,NQM,ar,de,0.050451889634132385
bert-base-multilingual-cased,triple_signed,NQM,ar,en,0.025423847138881683
bert-base-multilingual-cased,triple_signed,NQM,ar,es,-0.05412404239177704
bert-base-multilingual-cased,triple_signed,NQM,ar,fr,-0.00047276727855205536
bert-base-multilingual-cased,triple_signed,NQM,ar,ru,0.03656359016895294
bert-base-multilingual-cased,triple_signed,NQM,ar,zh,-0.06607144325971603
bert-base-multilingual-cased,triple_signed,NQM,de,en,0.3210841417312622
bert-base-multilingual-cased,triple_signed,NQM,de,es,0.2599298357963562
bert-base-multilingual-cased,triple_signed,NQM,de,fr,0.2621690630912781
bert-base-multilingual-cased,triple_signed,NQM,de,ru,-0.013117069378495216
bert-base-multilingual-cased,triple_signed,NQM,de,zh,0.1223006397485733
bert-base-multilingual-cased,triple_signed,NQM,en,es,0.3388389050960541
bert-base-multilingual-cased,triple_signed,NQM,en,fr,0.29596683382987976
bert-base-multilingual-cased,triple_signed,NQM,en,ru,-0.1295023262500763
bert-base-multilingual-cased,triple_signed,NQM,en,zh,0.27417871356010437
bert-base-multilingual-cased,triple_signed,NQM,es,fr,0.22739678621292114
bert-base-multilingual-cased,triple_signed,NQM,es,ru,-0.014954239130020142
bert-base-multilingual-cased,triple_signed,NQM,es,zh,0.15762677788734436
bert-base-multilingual-cased,triple_signed,NQM,fr,ru,-0.009400341659784317
bert-base-multilingual-cased,triple_signed,NQM,fr,zh,0.09786617010831833
bert-base-multilingual-cased,triple_signed,NQM,ru,zh,0.0838717445731163
bert-base-multilingual-cased,triple_signed,NQT,ar,de,0.09356950223445892
bert-base-multilingual-cased,triple_signed,NQT,ar,en,0.088407963514328
bert-base-multilingual-cased,triple_signed,NQT,ar,es,-0.14739060401916504
bert-base-multilingual-cased,triple_signed,NQT,ar,fr,-0.024307264015078545
bert-base-multilingual-cased,triple_signed,NQT,ar,ru,0.02432120218873024
bert-base-multilingual-cased,triple_signed,NQT,ar,zh,-0.05018492788076401
bert-base-multilingual-cased,triple_signed,NQT,de,en,0.4018823206424713
bert-base-multilingual-cased,triple_signed,NQT,de,es,0.14836904406547546
bert-base-multilingual-cased,triple_signed,NQT,de,fr,0.17988082766532898
bert-base-multilingual-cased,triple_signed,NQT,de,ru,0.07668034732341766
bert-base-multilingual-cased,triple_signed,NQT,de,zh,0.247117817401886
bert-base-multilingual-cased,triple_signed,NQT,en,es,0.25295183062553406
bert-base-multilingual-cased,triple_signed,NQT,en,fr,0.0881170779466629
bert-base-multilingual-cased,triple_signed,NQT,en,ru,0.038326531648635864
bert-base-multilingual-cased,triple_signed,NQT,en,zh,0.2999127209186554
bert-base-multilingual-cased,triple_signed,NQT,es,fr,0.2594636380672455
bert-base-multilingual-cased,triple_signed,NQT,es,ru,-0.10372860729694366
