model,prompt_id,prompt,num_layers,hidden_dim,path_length,displacement,trajectory_efficiency,mean_transition_norm,mean_adjacent_cosine,curvature_proxy_1_minus_cos
bert-base-uncased,0,The scientist discovered a new principle of symmetry.,13,768,55.252933502197266,9.72719955444336,0.1760485631782131,4.6044111251831055,0.05204798643138598,0.947952013568614
bert-base-uncased,1,The mathematician discovered a new principle of symmetry.,13,768,57.3283805847168,10.352667808532715,0.1805853872539434,4.777365207672119,0.05655619400468739,0.9434438059953126
bert-base-uncased,2,The scientist did not discover a new principle of symmetry.,13,768,53.80809020996094,9.178383827209473,0.170576279354925,4.484007358551025,0.060105285522612656,0.9398947144773874
bert-base-uncased,3,A child found a small black cat in the garden.,13,768,53.368080139160156,10.055027961730957,0.18840902531085507,4.44734001159668,0.07867281342094595,0.9213271865790541
bert-base-uncased,4,A child did not find a small black cat in the garden.,13,768,52.56201171875,9.86395263671875,0.1876631489962527,4.380167484283447,0.06739239987324584,0.9326076001267541
bert-base-uncased,5,The government announced a new economic policy.,13,768,56.835243225097656,10.420466423034668,0.1833451540228995,4.736270427703857,0.05125233988192948,0.9487476601180705
bert-base-uncased,6,The poet wrote a beautiful poem about memory.,13,768,54.89930725097656,8.629898071289062,0.15719502673934732,4.574942111968994,0.044417558068578895,0.9555824419314211
bert-base-uncased,7,The engineer designed a machine that predicts weather.,13,768,54.05927658081055,10.097513198852539,0.18678594752850747,4.504939556121826,0.042014583056284624,0.9579854169437154
bert-base-uncased,8,"If the theory is correct, the experiment will confirm it.",13,768,52.73173522949219,9.977100372314453,0.18920485603011597,4.394311428070068,0.04809196564284238,0.9519080343571577
bert-base-uncased,9,"If the theory is wrong, the experiment will disprove it.",13,768,52.530311584472656,10.223150253295898,0.1946143082904832,4.377525806427002,0.061069385233250534,0.9389306147667494
distilgpt2,0,The scientist discovered a new principle of symmetry.,7,768,653.6974487304688,148.79148864746094,0.22761522006308169,108.94957733154297,0.5093337535858155,0.49066624641418455
distilgpt2,1,The mathematician discovered a new principle of symmetry.,7,768,650.4725341796875,151.20985412597656,0.23246155091954412,108.4120864868164,0.5072385966777802,0.49276140332221985
distilgpt2,2,The scientist did not discover a new principle of symmetry.,7,768,581.9710083007812,156.25088500976562,0.26848568533676836,96.99517059326172,0.515041047334671,0.48495895266532896
distilgpt2,3,A child found a small black cat in the garden.,7,768,584.2765502929688,145.8217010498047,0.2495765078654728,97.37942504882812,0.49382086396217345,0.5061791360378265
distilgpt2,4,A child did not find a small black cat in the garden.,7,768,537.1799926757812,149.95692443847656,0.2791558257624532,89.52999877929688,0.4963230550289154,0.5036769449710846
distilgpt2,5,The government announced a new economic policy.,7,768,698.1856689453125,161.96002197265625,0.2319727103784796,116.3642807006836,0.515661871433258,0.48433812856674197
distilgpt2,6,The poet wrote a beautiful poem about memory.,7,768,644.6781616210938,149.25950622558594,0.23152561248586578,107.44635772705078,0.5141006290912629,0.4858993709087372
distilgpt2,7,The engineer designed a machine that predicts weather.,7,768,651.357421875,148.31768798828125,0.22770553156718956,108.5595703125,0.5172573447227478,0.4827426552772522
distilgpt2,8,"If the theory is correct, the experiment will confirm it.",7,768,558.8385009765625,150.48110961914062,0.26927477143428147,93.1397476196289,0.49033038020133973,0.5096696197986603
distilgpt2,9,"If the theory is wrong, the experiment will disprove it.",7,768,533.5164794921875,152.08529663085938,0.28506204114935146,88.9194107055664,0.4843431651592255,0.5156568348407745
gpt2,0,The scientist discovered a new principle of symmetry.,13,768,1139.71044921875,213.0406494140625,0.18692524014331682,94.97586822509766,0.6156532290306959,0.3843467709693042
gpt2,1,The mathematician discovered a new principle of symmetry.,13,768,1132.0321044921875,212.35694885253906,0.18758915759531308,94.33600616455078,0.6079276326027784,0.3920723673972217
gpt2,2,The scientist did not discover a new principle of symmetry.,13,768,1030.843994140625,237.21432495117188,0.23011660959321795,85.9036636352539,0.6128934228962118,0.3871065771037882
gpt2,3,A child found a small black cat in the garden.,13,768,1017.769775390625,200.95071411132812,0.19744221038024248,84.81414794921875,0.5881973945281722,0.4118026054718278
gpt2,4,A child did not find a small black cat in the garden.,13,768,949.0185546875,223.72988891601562,0.2357486982851319,79.08487701416016,0.5928975282744928,0.40710247172550723
gpt2,5,The government announced a new economic policy.,13,768,1227.341552734375,231.3024139404297,0.18845806485172323,102.2784652709961,0.6193344064734199,0.38066559352658014
gpt2,6,The poet wrote a beautiful poem about memory.,13,768,1143.7584228515625,213.61898803710938,0.18676932450868847,95.31320190429688,0.6249238889325749,0.3750761110674251
gpt2,7,The engineer designed a machine that predicts weather.,13,768,1151.111572265625,214.69955444335938,0.18651498222781845,95.92596435546875,0.6249922954223373,0.37500770457766275
gpt2,8,"If the theory is correct, the experiment will confirm it.",13,768,984.8594970703125,210.2727508544922,0.21350532891239396,82.07162475585938,0.5998185087334026,0.4001814912665974
gpt2,9,"If the theory is wrong, the experiment will disprove it.",13,768,929.1751098632812,221.2239532470703,0.2380863960934349,77.43125915527344,0.5968896584077314,0.4031103415922685
