model,language,from_level,to_level,step_size,mean_delta_norm,centroid_norm,n
sentence-transformers/LaBSE,ar,-2,-1,1,5.202685832977295,4.917621612548828,160
sentence-transformers/LaBSE,ar,-1,0,1,5.992344379425049,5.772989273071289,160
sentence-transformers/LaBSE,ar,0,1,1,5.725140571594238,5.493107318878174,160
sentence-transformers/LaBSE,ar,1,2,1,4.422571659088135,4.207189559936523,160
sentence-transformers/LaBSE,ar,-2,0,2,4.566638946533203,4.1306047439575195,160
sentence-transformers/LaBSE,ar,-1,1,2,1.7255785465240479,1.4623379707336426,160
sentence-transformers/LaBSE,ar,0,2,2,4.55153751373291,4.165534019470215,160
sentence-transformers/LaBSE,ar,-2,2,4,3.574599027633667,3.1918654441833496,160
sentence-transformers/LaBSE,de,-2,-1,1,7.7444305419921875,6.697439670562744,160
sentence-transformers/LaBSE,de,-1,0,1,10.269607543945312,9.366301536560059,160
sentence-transformers/LaBSE,de,0,1,1,10.503129959106445,8.913371086120605,160
sentence-transformers/LaBSE,de,1,2,1,6.398004055023193,5.598714828491211,160
sentence-transformers/LaBSE,de,-2,0,2,9.2369384765625,7.816809177398682,160
sentence-transformers/LaBSE,de,-1,1,2,7.428807735443115,6.676966667175293,160
sentence-transformers/LaBSE,de,0,2,2,13.061162948608398,11.749673843383789,160
sentence-transformers/LaBSE,de,-2,2,4,6.9536848068237305,6.211822986602783,160
sentence-transformers/LaBSE,en,-2,-1,1,4.490553379058838,4.284040927886963,160
sentence-transformers/LaBSE,en,-1,0,1,8.37494945526123,7.912949085235596,160
sentence-transformers/LaBSE,en,0,1,1,10.496057510375977,9.823225975036621,160
sentence-transformers/LaBSE,en,1,2,1,3.9121971130371094,3.6854796409606934,160
sentence-transformers/LaBSE,en,-2,0,2,9.036104202270508,8.577897071838379,160
sentence-transformers/LaBSE,en,-1,1,2,6.496813774108887,6.1722235679626465,160
sentence-transformers/LaBSE,en,0,2,2,10.435245513916016,9.722190856933594,160
sentence-transformers/LaBSE,en,-2,2,4,7.000759124755859,6.624476909637451,160
sentence-transformers/LaBSE,es,-2,-1,1,7.164440155029297,6.720853328704834,160
sentence-transformers/LaBSE,es,-1,0,1,7.146883487701416,6.7663726806640625,160
sentence-transformers/LaBSE,es,0,1,1,7.841361999511719,7.253381252288818,160
sentence-transformers/LaBSE,es,1,2,1,6.10338830947876,5.310537815093994,160
sentence-transformers/LaBSE,es,-2,0,2,7.4211530685424805,6.932164192199707,160
sentence-transformers/LaBSE,es,-1,1,2,5.586304664611816,5.214860439300537,160
sentence-transformers/LaBSE,es,0,2,2,8.280119895935059,7.346545219421387,160
sentence-transformers/LaBSE,es,-2,2,4,6.019059658050537,5.452884197235107,160
sentence-transformers/LaBSE,fr,-2,-1,1,9.369558334350586,8.793015480041504,160
sentence-transformers/LaBSE,fr,-1,0,1,11.764325141906738,11.247041702270508,160
sentence-transformers/LaBSE,fr,0,1,1,11.264055252075195,10.515514373779297,160
sentence-transformers/LaBSE,fr,1,2,1,5.11008358001709,4.77790641784668,160
sentence-transformers/LaBSE,fr,-2,0,2,8.182701110839844,7.5655317306518555,160
sentence-transformers/LaBSE,fr,-1,1,2,8.43373966217041,8.11542797088623,160
sentence-transformers/LaBSE,fr,0,2,2,9.314595222473145,8.480661392211914,160
sentence-transformers/LaBSE,fr,-2,2,4,6.111311435699463,5.490847110748291,160
sentence-transformers/LaBSE,ru,-2,-1,1,4.458945274353027,3.6505675315856934,160
sentence-transformers/LaBSE,ru,-1,0,1,5.487719535827637,4.608761787414551,160
sentence-transformers/LaBSE,ru,0,1,1,5.500354290008545,4.755327224731445,160
sentence-transformers/LaBSE,ru,1,2,1,5.507908344268799,5.074933052062988,160
sentence-transformers/LaBSE,ru,-2,0,2,5.8926568031311035,5.1251912117004395,160
sentence-transformers/LaBSE,ru,-1,1,2,6.348694324493408,5.594852447509766,160
sentence-transformers/LaBSE,ru,0,2,2,5.859143257141113,5.074130058288574,160
sentence-transformers/LaBSE,ru,-2,2,4,6.181746006011963,5.479698657989502,160
sentence-transformers/LaBSE,zh,-2,-1,1,5.028127670288086,4.392359256744385,160
sentence-transformers/LaBSE,zh,-1,0,1,4.918221473693848,4.229782581329346,160
sentence-transformers/LaBSE,zh,0,1,1,5.305180549621582,4.719925880432129,160
sentence-transformers/LaBSE,zh,1,2,1,5.396869659423828,4.925512313842773,160
sentence-transformers/LaBSE,zh,-2,0,2,5.474977016448975,4.808223724365234,160
sentence-transformers/LaBSE,zh,-1,1,2,4.390467643737793,3.9494028091430664,160
sentence-transformers/LaBSE,zh,0,2,2,5.568389892578125,4.960888385772705,160
sentence-transformers/LaBSE,zh,-2,2,4,5.68914794921875,5.024989604949951,160
