model,language,template_id,representation,from_level,to_level,step_size,delta_norm
sentence-transformers/LaBSE,en,0,mean_pool,-2,-1,1,4.428530693054199
sentence-transformers/LaBSE,en,0,mean_pool,-1,0,1,8.995753288269043
sentence-transformers/LaBSE,en,0,mean_pool,0,1,1,11.515920639038086
sentence-transformers/LaBSE,en,0,mean_pool,1,2,1,4.313100337982178
sentence-transformers/LaBSE,en,0,mean_pool,-2,0,2,9.555831909179688
sentence-transformers/LaBSE,en,0,mean_pool,-1,1,2,7.043122291564941
sentence-transformers/LaBSE,en,0,mean_pool,0,2,2,11.45663070678711
sentence-transformers/LaBSE,en,0,mean_pool,-2,2,4,7.466464996337891
sentence-transformers/LaBSE,en,1,mean_pool,-2,-1,1,4.5285491943359375
sentence-transformers/LaBSE,en,1,mean_pool,-1,0,1,8.399007797241211
sentence-transformers/LaBSE,en,1,mean_pool,0,1,1,10.99829387664795
sentence-transformers/LaBSE,en,1,mean_pool,1,2,1,3.8070225715637207
sentence-transformers/LaBSE,en,1,mean_pool,-2,0,2,8.995683670043945
sentence-transformers/LaBSE,en,1,mean_pool,-1,1,2,6.869528293609619
sentence-transformers/LaBSE,en,1,mean_pool,0,2,2,10.439626693725586
sentence-transformers/LaBSE,en,1,mean_pool,-2,2,4,6.848818302154541
sentence-transformers/LaBSE,en,2,mean_pool,-2,-1,1,4.943920612335205
sentence-transformers/LaBSE,en,2,mean_pool,-1,0,1,9.198110580444336
sentence-transformers/LaBSE,en,2,mean_pool,0,1,1,11.975295066833496
sentence-transformers/LaBSE,en,2,mean_pool,1,2,1,4.3115339279174805
sentence-transformers/LaBSE,en,2,mean_pool,-2,0,2,9.427348136901855
sentence-transformers/LaBSE,en,2,mean_pool,-1,1,2,7.353479385375977
sentence-transformers/LaBSE,en,2,mean_pool,0,2,2,11.552118301391602
sentence-transformers/LaBSE,en,2,mean_pool,-2,2,4,8.128047943115234
sentence-transformers/LaBSE,en,3,mean_pool,-2,-1,1,4.15041446685791
sentence-transformers/LaBSE,en,3,mean_pool,-1,0,1,8.070523262023926
sentence-transformers/LaBSE,en,3,mean_pool,0,1,1,10.047975540161133
sentence-transformers/LaBSE,en,3,mean_pool,1,2,1,3.6544036865234375
sentence-transformers/LaBSE,en,3,mean_pool,-2,0,2,8.556952476501465
sentence-transformers/LaBSE,en,3,mean_pool,-1,1,2,6.368658542633057
sentence-transformers/LaBSE,en,3,mean_pool,0,2,2,9.652982711791992
sentence-transformers/LaBSE,en,3,mean_pool,-2,2,4,6.5569868087768555
sentence-transformers/LaBSE,en,4,mean_pool,-2,-1,1,4.187436580657959
sentence-transformers/LaBSE,en,4,mean_pool,-1,0,1,7.913890838623047
sentence-transformers/LaBSE,en,4,mean_pool,0,1,1,10.123741149902344
sentence-transformers/LaBSE,en,4,mean_pool,1,2,1,3.313389539718628
sentence-transformers/LaBSE,en,4,mean_pool,-2,0,2,8.44505500793457
sentence-transformers/LaBSE,en,4,mean_pool,-1,1,2,6.661969184875488
sentence-transformers/LaBSE,en,4,mean_pool,0,2,2,9.775279998779297
sentence-transformers/LaBSE,en,4,mean_pool,-2,2,4,7.024728775024414
sentence-transformers/LaBSE,en,5,mean_pool,-2,-1,1,3.3741774559020996
sentence-transformers/LaBSE,en,5,mean_pool,-1,0,1,6.350054740905762
sentence-transformers/LaBSE,en,5,mean_pool,0,1,1,7.909872055053711
sentence-transformers/LaBSE,en,5,mean_pool,1,2,1,3.1226890087127686
sentence-transformers/LaBSE,en,5,mean_pool,-2,0,2,6.8853302001953125
sentence-transformers/LaBSE,en,5,mean_pool,-1,1,2,4.423676490783691
sentence-transformers/LaBSE,en,5,mean_pool,0,2,2,7.895308971405029
sentence-transformers/LaBSE,en,5,mean_pool,-2,2,4,5.184008598327637
sentence-transformers/LaBSE,en,6,mean_pool,-2,-1,1,4.83530330657959
sentence-transformers/LaBSE,en,6,mean_pool,-1,0,1,9.030277252197266
sentence-transformers/LaBSE,en,6,mean_pool,0,1,1,12.39316177368164
sentence-transformers/LaBSE,en,6,mean_pool,1,2,1,4.536308288574219
sentence-transformers/LaBSE,en,6,mean_pool,-2,0,2,9.299592971801758
sentence-transformers/LaBSE,en,6,mean_pool,-1,1,2,8.052855491638184
sentence-transformers/LaBSE,en,6,mean_pool,0,2,2,11.449925422668457
sentence-transformers/LaBSE,en,6,mean_pool,-2,2,4,8.069371223449707
sentence-transformers/LaBSE,en,7,mean_pool,-2,-1,1,4.352721214294434
sentence-transformers/LaBSE,en,7,mean_pool,-1,0,1,7.537540912628174
sentence-transformers/LaBSE,en,7,mean_pool,0,1,1,9.16981315612793
sentence-transformers/LaBSE,en,7,mean_pool,1,2,1,3.0891003608703613
sentence-transformers/LaBSE,en,7,mean_pool,-2,0,2,8.026249885559082
sentence-transformers/LaBSE,en,7,mean_pool,-1,1,2,5.766960620880127
sentence-transformers/LaBSE,en,7,mean_pool,0,2,2,9.24051570892334
sentence-transformers/LaBSE,en,7,mean_pool,-2,2,4,6.408804893493652
sentence-transformers/LaBSE,en,8,mean_pool,-2,-1,1,3.5946991443634033
sentence-transformers/LaBSE,en,8,mean_pool,-1,0,1,6.940667152404785
sentence-transformers/LaBSE,en,8,mean_pool,0,1,1,8.637436866760254
sentence-transformers/LaBSE,en,8,mean_pool,1,2,1,3.0694546699523926
sentence-transformers/LaBSE,en,8,mean_pool,-2,0,2,7.831661224365234
sentence-transformers/LaBSE,en,8,mean_pool,-1,1,2,5.310272216796875
sentence-transformers/LaBSE,en,8,mean_pool,0,2,2,8.491192817687988
sentence-transformers/LaBSE,en,8,mean_pool,-2,2,4,5.806302070617676
sentence-transformers/LaBSE,en,9,mean_pool,-2,-1,1,4.521462917327881
sentence-transformers/LaBSE,en,9,mean_pool,-1,0,1,8.383199691772461
sentence-transformers/LaBSE,en,9,mean_pool,0,1,1,10.467534065246582
sentence-transformers/LaBSE,en,9,mean_pool,1,2,1,3.4450433254241943
sentence-transformers/LaBSE,en,9,mean_pool,-2,0,2,8.9384765625
sentence-transformers/LaBSE,en,9,mean_pool,-1,1,2,6.950091361999512
sentence-transformers/LaBSE,en,9,mean_pool,0,2,2,10.257673263549805
sentence-transformers/LaBSE,en,9,mean_pool,-2,2,4,7.1921210289001465
sentence-transformers/LaBSE,en,10,mean_pool,-2,-1,1,6.496062755584717
sentence-transformers/LaBSE,en,10,mean_pool,-1,0,1,12.909866333007812
sentence-transformers/LaBSE,en,10,mean_pool,0,1,1,16.642038345336914
sentence-transformers/LaBSE,en,10,mean_pool,1,2,1,6.175500869750977
sentence-transformers/LaBSE,en,10,mean_pool,-2,0,2,13.317870140075684
sentence-transformers/LaBSE,en,10,mean_pool,-1,1,2,10.736786842346191
sentence-transformers/LaBSE,en,10,mean_pool,0,2,2,16.419605255126953
sentence-transformers/LaBSE,en,10,mean_pool,-2,2,4,11.550268173217773
sentence-transformers/LaBSE,en,11,mean_pool,-2,-1,1,4.233584880828857
sentence-transformers/LaBSE,en,11,mean_pool,-1,0,1,8.097790718078613
sentence-transformers/LaBSE,en,11,mean_pool,0,1,1,9.846331596374512
sentence-transformers/LaBSE,en,11,mean_pool,1,2,1,2.9656832218170166
sentence-transformers/LaBSE,en,11,mean_pool,-2,0,2,8.719318389892578
sentence-transformers/LaBSE,en,11,mean_pool,-1,1,2,6.945023536682129
sentence-transformers/LaBSE,en,11,mean_pool,0,2,2,9.591423034667969
sentence-transformers/LaBSE,en,11,mean_pool,-2,2,4,7.179785251617432
sentence-transformers/LaBSE,en,12,mean_pool,-2,-1,1,4.177135467529297
sentence-transformers/LaBSE,en,12,mean_pool,-1,0,1,7.414060592651367
sentence-transformers/LaBSE,en,12,mean_pool,0,1,1,8.671022415161133
sentence-transformers/LaBSE,en,12,mean_pool,1,2,1,2.982297420501709
sentence-transformers/LaBSE,en,12,mean_pool,-2,0,2,8.4070463180542
sentence-transformers/LaBSE,en,12,mean_pool,-1,1,2,5.323187351226807
sentence-transformers/LaBSE,en,12,mean_pool,0,2,2,8.827194213867188
sentence-transformers/LaBSE,en,12,mean_pool,-2,2,4,5.774653434753418
sentence-transformers/LaBSE,en,13,mean_pool,-2,-1,1,3.767427682876587
sentence-transformers/LaBSE,en,13,mean_pool,-1,0,1,6.711527347564697
sentence-transformers/LaBSE,en,13,mean_pool,0,1,1,8.38245964050293
sentence-transformers/LaBSE,en,13,mean_pool,1,2,1,3.3545477390289307
sentence-transformers/LaBSE,en,13,mean_pool,-2,0,2,7.2887983322143555
sentence-transformers/LaBSE,en,13,mean_pool,-1,1,2,4.925892353057861
sentence-transformers/LaBSE,en,13,mean_pool,0,2,2,8.476266860961914
sentence-transformers/LaBSE,en,13,mean_pool,-2,2,4,5.519742965698242
sentence-transformers/LaBSE,en,14,mean_pool,-2,-1,1,3.908937931060791
sentence-transformers/LaBSE,en,14,mean_pool,-1,0,1,7.264504432678223
sentence-transformers/LaBSE,en,14,mean_pool,0,1,1,8.64693832397461
sentence-transformers/LaBSE,en,14,mean_pool,1,2,1,3.4018521308898926
sentence-transformers/LaBSE,en,14,mean_pool,-2,0,2,7.710838794708252
sentence-transformers/LaBSE,en,14,mean_pool,-1,1,2,4.605470657348633
sentence-transformers/LaBSE,en,14,mean_pool,0,2,2,8.690262794494629
sentence-transformers/LaBSE,en,14,mean_pool,-2,2,4,5.3455047607421875
sentence-transformers/LaBSE,en,15,mean_pool,-2,-1,1,4.970974445343018
sentence-transformers/LaBSE,en,15,mean_pool,-1,0,1,9.62866497039795
sentence-transformers/LaBSE,en,15,mean_pool,0,1,1,12.168682098388672
sentence-transformers/LaBSE,en,15,mean_pool,1,2,1,4.161032199859619
sentence-transformers/LaBSE,en,15,mean_pool,-2,0,2,10.271933555603027
sentence-transformers/LaBSE,en,15,mean_pool,-1,1,2,7.552619934082031
sentence-transformers/LaBSE,en,15,mean_pool,0,2,2,12.44930362701416
sentence-transformers/LaBSE,en,15,mean_pool,-2,2,4,8.426665306091309
sentence-transformers/LaBSE,en,16,mean_pool,-2,-1,1,3.654383659362793
sentence-transformers/LaBSE,en,16,mean_pool,-1,0,1,6.901708126068115
sentence-transformers/LaBSE,en,16,mean_pool,0,1,1,8.833182334899902
sentence-transformers/LaBSE,en,16,mean_pool,1,2,1,3.0355148315429688
sentence-transformers/LaBSE,en,16,mean_pool,-2,0,2,7.428553581237793
sentence-transformers/LaBSE,en,16,mean_pool,-1,1,2,5.322726249694824
sentence-transformers/LaBSE,en,16,mean_pool,0,2,2,8.588529586791992
sentence-transformers/LaBSE,en,16,mean_pool,-2,2,4,5.7671403884887695
sentence-transformers/LaBSE,en,17,mean_pool,-2,-1,1,3.740391254425049
sentence-transformers/LaBSE,en,17,mean_pool,-1,0,1,7.400634765625
sentence-transformers/LaBSE,en,17,mean_pool,0,1,1,9.839040756225586
sentence-transformers/LaBSE,en,17,mean_pool,1,2,1,3.8009378910064697
sentence-transformers/LaBSE,en,17,mean_pool,-2,0,2,7.797802925109863
sentence-transformers/LaBSE,en,17,mean_pool,-1,1,2,5.816199779510498
sentence-transformers/LaBSE,en,17,mean_pool,0,2,2,9.479684829711914
sentence-transformers/LaBSE,en,17,mean_pool,-2,2,4,6.079830169677734
sentence-transformers/LaBSE,en,18,mean_pool,-2,-1,1,4.254790782928467
sentence-transformers/LaBSE,en,18,mean_pool,-1,0,1,7.823995590209961
sentence-transformers/LaBSE,en,18,mean_pool,0,1,1,10.136273384094238
sentence-transformers/LaBSE,en,18,mean_pool,1,2,1,3.504750967025757
sentence-transformers/LaBSE,en,18,mean_pool,-2,0,2,8.417142868041992
sentence-transformers/LaBSE,en,18,mean_pool,-1,1,2,6.350054740905762
