model,language,template_id,triple,relative_signed_permutation_norm,null_mean,null_std,ratio_to_null_mean,null_percentile_smaller_is_better,p_smaller_or_equal_null
distilbert-base-multilingual-cased,en,0,NQM,0.43799078464508057,0.790051669383049,0.3801858285125935,0.5543824557532459,19.580000000000002,0.39172165566886624
distilbert-base-multilingual-cased,en,0,NQT,0.40834009647369385,0.6142655342578888,0.29234463118130966,0.6647615301521941,29.91,0.5982803439312138
distilbert-base-multilingual-cased,en,0,NMT,0.5674781203269958,0.7563494032859802,0.33117234402967943,0.7502856720198651,19.97,0.39952009598080385
distilbert-base-multilingual-cased,en,0,QMT,0.3679502308368683,0.6279514715313912,0.34088451843980117,0.5859532902104021,29.82,0.5964807038592281
distilbert-base-multilingual-cased,en,1,NQM,0.4471094310283661,0.766506779652834,0.37497727224413413,0.5833078622348096,4.99,0.09998000399920016
distilbert-base-multilingual-cased,en,1,NQT,0.4181879162788391,0.5949572556853294,0.2690568325827728,0.7028873289332809,44.87,0.6006798640271945
distilbert-base-multilingual-cased,en,1,NMT,0.6299449801445007,0.8258150173068046,0.3651672308023156,0.7628160870677198,20.06,0.4013197360527894
distilbert-base-multilingual-cased,en,1,QMT,0.4269231855869293,0.688437192684412,0.3707392408964089,0.6201338192110374,30.53,0.6106778644271146
distilbert-base-multilingual-cased,en,2,NQM,0.46237286925315857,0.7664349632620812,0.3658145341450841,0.6032773704432997,20.080000000000002,0.40171965606878624
distilbert-base-multilingual-cased,en,2,NQT,0.4301048517227173,0.5931161204099655,0.25142342042852805,0.7251612912235483,29.76,0.5952809438112378
distilbert-base-multilingual-cased,en,2,NMT,0.6608486771583557,0.8256839641690255,0.3640766565304375,0.8003651588687912,30.150000000000002,0.5016996600679864
distilbert-base-multilingual-cased,en,2,QMT,0.4403802752494812,0.7173148048877716,0.38255547587665995,0.6139288806645606,29.64,0.592881423715257
distilbert-base-multilingual-cased,en,3,NQM,0.45828571915626526,0.8396019017279148,0.40321564842144897,0.545836923680806,14.75,0.29514097180563886
distilbert-base-multilingual-cased,en,3,NQT,0.5144757032394409,0.7059408828020096,0.31404479080460884,0.7287801511036777,15.26,0.3053389322135573
distilbert-base-multilingual-cased,en,3,NMT,0.6514846682548523,0.8388616375207901,0.3675106201908272,0.776629469169079,29.82,0.4977004599080184
distilbert-base-multilingual-cased,en,3,QMT,0.4977010190486908,0.7505219574451446,0.36318537876082735,0.6631398510208204,29.78,0.5956808638272345
distilbert-base-multilingual-cased,en,4,NQM,0.35788124799728394,0.7912988450169564,0.4802887519126915,0.45227065633991015,20.17,0.40351929614077187
distilbert-base-multilingual-cased,en,4,NQT,0.48503926396369934,0.70541133081913,0.3374397250972658,0.6875977784476184,30.3,0.6060787842431514
distilbert-base-multilingual-cased,en,4,NMT,0.7151625752449036,0.9287523984670639,0.4110060851633233,0.7700250103520946,19.7,0.394121175764847
distilbert-base-multilingual-cased,en,4,QMT,0.41462188959121704,0.6506838256716728,0.32726505510446974,0.6372094606202691,54.68,0.5964807038592281
distilbert-base-multilingual-cased,en,5,NQM,0.42281484603881836,0.8008571877002716,0.41701319069234105,0.5279528641709998,20.240000000000002,0.40491901619676063
distilbert-base-multilingual-cased,en,5,NQT,0.3851027488708496,0.5566070762395858,0.2520452636756058,0.6918754096191084,55.36,0.6040791841631674
distilbert-base-multilingual-cased,en,5,NMT,0.640830934047699,0.8262825966238976,0.3643373270291269,0.7755590359343041,20.0,0.40011997600479904
distilbert-base-multilingual-cased,en,5,QMT,0.387013703584671,0.6340779320776463,0.3343567225226834,0.6103566833117112,50.050000000000004,0.6054789042191562
distilbert-base-multilingual-cased,en,6,NQM,0.36601006984710693,0.7556117704749107,0.4234696398791097,0.4843890528817213,29.26,0.3929214157168566
distilbert-base-multilingual-cased,en,6,NQT,0.40201544761657715,0.6111757917642593,0.2966549920675196,0.6577738402488681,30.02,0.6004799040191962
distilbert-base-multilingual-cased,en,6,NMT,0.7145871520042419,0.9099594570279121,0.39149505187748934,0.7852955936492205,29.43,0.4947010597880424
distilbert-base-multilingual-cased,en,6,QMT,0.3235637843608856,0.5940904285609722,0.3495558399588409,0.544637261946955,40.13,0.496500699860028
distilbert-base-multilingual-cased,en,7,NQM,0.41537046432495117,0.7707540642023086,0.42057576243395195,0.5389144003467561,19.61,0.39232153569286143
distilbert-base-multilingual-cased,en,7,NQT,0.37744906544685364,0.5716012142360211,0.27921237030185164,0.6603363604653576,35.22,0.6030793841231754
distilbert-base-multilingual-cased,en,7,NMT,0.5409708619117737,0.6999541576981545,0.297923973746268,0.7728661312478223,24.650000000000002,0.3987202559488102
distilbert-base-multilingual-cased,en,7,QMT,0.371886670589447,0.6252894273042678,0.3376256114415816,0.5947432570419763,30.16,0.6032793441311738
distilbert-base-multilingual-cased,en,8,NQM,0.35804587602615356,0.7446395402431488,0.4291606479752562,0.4808311359731975,29.72,0.39532093581283745
distilbert-base-multilingual-cased,en,8,NQT,0.3869394361972809,0.5785274187922478,0.27069995134600244,0.6688350865105047,29.900000000000002,0.5980803839232154
distilbert-base-multilingual-cased,en,8,NMT,0.7023294568061829,0.89443001537323,0.3920831016182159,0.7852257244657961,30.34,0.500499900019996
