model,layer,source,target,target_class,control,gain,vector_class,prompt,generated,question_marker,negation_marker,modality_marker,tense_shift_marker,passive_marker,target_marker_hit,any_other_marker_hit,question_mark_hit,generated_chars
gpt2,2,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,none,0.0,,"Input: The oracle built the tower.
Output:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,target,0.25,question,"Input: The oracle built the tower.
Output:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,wrong_class,0.25,tense_shift,"Input: The oracle built the tower.
Output:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,random_norm,0.25,random_norm,"Input: The oracle built the tower.
Output:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,negative_target,0.25,question,"Input: The oracle built the tower.
Output:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,target,0.5,question,"Input: The oracle built the tower.
Output:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,wrong_class,0.5,tense_shift,"Input: The oracle built the tower.
Output:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,random_norm,0.5,random_norm,"Input: The oracle built the tower.
Output:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,negative_target,0.5,question,"Input: The oracle built the tower.
Output:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,target,0.75,question,"Input: The oracle built the tower.
Output:","The oracle built the tower.
The oracle built the tower?
The oracle built the tower?
The oracle built",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0
gpt2,2,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,wrong_class,0.75,tense_shift,"Input: The oracle built the tower.
Output:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,random_norm,0.75,random_norm,"Input: The oracle built the tower.
Output:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,negative_target,0.75,question,"Input: The oracle built the tower.
Output:","The oracle built the tower.

Output: The oracle built the tower.

Output: The oracle built the tower",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,target,1.0,question,"Input: The oracle built the tower.
Output:","The oracle built the tower.

The oracle built the tower?

The answer is a simple question.

The",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,95.0
gpt2,2,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,wrong_class,1.0,tense_shift,"Input: The oracle built the tower.
Output:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,random_norm,1.0,random_norm,"Input: The oracle built the tower.
Output:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,negative_target,1.0,question,"Input: The oracle built the tower.
Output:","The oracle built the tower.

The oracle built the tower.

The oracle built the tower.

The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
gpt2,2,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,none,0.0,,"Input: The pirate repaired the satellite.
Output:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,target,0.25,question,"Input: The pirate repaired the satellite.
Output:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,wrong_class,0.25,modality,"Input: The pirate repaired the satellite.
Output:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,random_norm,0.25,random_norm,"Input: The pirate repaired the satellite.
Output:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,negative_target,0.25,question,"Input: The pirate repaired the satellite.
Output:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,target,0.5,question,"Input: The pirate repaired the satellite.
Output:","The satellite was repaired.
The pirate was repaired.
The pirate was repaired?
The pirate was repaired?
The pirate was repaired",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,126.0
gpt2,2,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,wrong_class,0.5,modality,"Input: The pirate repaired the satellite.
Output:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,random_norm,0.5,random_norm,"Input: The pirate repaired the satellite.
Output:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,negative_target,0.5,question,"Input: The pirate repaired the satellite.
Output:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
