model,template_id,pair,op_a,op_b,source,ab_text,ba_text,norm_ab,norm_ba,commutator_norm,relative_commutator_norm,cosine_ab_ba,noncommutativity_score
bert-base-uncased,0,NQ_vs_QN,N,Q,The scientist submitted the request before the deadline.,Did the scientist fail to submit the request before the deadline?,Is it false that the scientist submitted the request before the deadline?,4.778872013092041,5.063327312469482,3.167571544647217,0.6436714884283965,0.7943422198295593,0.20565778017044067
bert-base-uncased,0,NM_vs_MN,N,M,The scientist submitted the request before the deadline.,The scientist did not reportedly submit the request before the deadline.,The scientist reportedly did not submit the request before the deadline.,4.3156962394714355,4.065502166748047,0.7334802746772766,0.1750299274940929,0.9864524006843567,0.01354759931564331
bert-base-uncased,0,NT_vs_TN,N,T,The scientist submitted the request before the deadline.,The scientist will fail to submit the request before the deadline.,The scientist will not submit the request before the deadline.,4.199383735656738,3.610926628112793,2.0886764526367188,0.5348510764246032,0.8675687313079834,0.1324312686920166
bert-base-uncased,0,QM_vs_MQ,Q,M,The scientist submitted the request before the deadline.,Is it reportedly true that the scientist submitted the request before the deadline?,Did the scientist reportedly submit the request before the deadline?,5.3264241218566895,4.32792854309082,2.7339227199554443,0.5663606488876367,0.8595083951950073,0.14049160480499268
bert-base-uncased,0,QT_vs_TQ,Q,T,The scientist submitted the request before the deadline.,Will it be true that the scientist will submit the request before the deadline?,Will the scientist submit the request before the deadline?,5.755002498626709,4.577484607696533,3.0291645526885986,0.5863379303583615,0.8521589040756226,0.14784109592437744
bert-base-uncased,0,MT_vs_TM,M,T,The scientist submitted the request before the deadline.,The scientist reportedly will submit the request before the deadline.,The scientist will reportedly submit the request before the deadline.,4.585754871368408,4.710732460021973,0.7165566682815552,0.1541564340892256,0.9884772300720215,0.011522769927978516
bert-base-uncased,1,NQ_vs_QN,N,Q,The editor completed the repair before the deadline.,Did the editor fail to complete the repair before the deadline?,Is it false that the editor completed the repair before the deadline?,4.722032070159912,5.19876766204834,3.3894989490509033,0.6833116362678068,0.7706313133239746,0.2293686866760254
bert-base-uncased,1,NM_vs_MN,N,M,The editor completed the repair before the deadline.,The editor did not allegedly complete the repair before the deadline.,The editor allegedly did not complete the repair before the deadline.,3.3848793506622314,3.4453542232513428,0.605912983417511,0.17742086763517773,0.9844164848327637,0.015583515167236328
bert-base-uncased,1,NT_vs_TN,N,T,The editor completed the repair before the deadline.,The editor will fail to complete the repair before the deadline.,The editor will not complete the repair before the deadline.,4.791147232055664,3.7662625312805176,2.485462188720703,0.5808912410315953,0.8579326868057251,0.1420673131942749
bert-base-uncased,1,QM_vs_MQ,Q,M,The editor completed the repair before the deadline.,Is it allegedly true that the editor completed the repair before the deadline?,Did the editor allegedly complete the repair before the deadline?,5.402443885803223,4.45611047744751,2.839486837387085,0.5760452765714068,0.8511428833007812,0.14885711669921875
