model,kind,label,language_a,language_b,centroid_cosine
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,ar,de,0.22714665532112122
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,ar,en,0.2560533881187439
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,ar,es,0.16856741905212402
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,ar,fr,-0.08006870746612549
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,ar,ru,0.10909511893987656
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,ar,zh,0.0
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,de,en,0.8225052356719971
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,de,es,0.8105261921882629
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,de,fr,0.4495261609554291
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,de,ru,0.3352701663970947
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,de,zh,0.0
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,en,es,0.8973121643066406
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,en,fr,0.4274025559425354
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,en,ru,0.4281671941280365
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,en,zh,0.0
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,es,fr,0.570169985294342
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,es,ru,0.29622313380241394
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,es,zh,0.0
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,fr,ru,0.10835118591785431
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,fr,zh,0.0
sentence-transformers/LaBSE,pair_commutator,MT_vs_TM,ru,zh,0.0
sentence-transformers/LaBSE,pair_commutator,NM_vs_MN,ar,de,0.2112935483455658
sentence-transformers/LaBSE,pair_commutator,NM_vs_MN,ar,en,0.17823874950408936
