model,target_class,source_set,source,prompt_style,layer,control,gain,vector_class,step,next_token_id,next_token,question_best_token_id,question_best_logit,question_best_prob,question_best_rank,question_top1,question_top5,question_top10,exclamation_best_token_id,exclamation_best_logit,exclamation_best_prob,exclamation_best_rank,exclamation_top1,exclamation_top5,exclamation_top10,ellipsis_best_token_id,ellipsis_best_logit,ellipsis_best_prob,ellipsis_best_rank,ellipsis_top1,ellipsis_top5,ellipsis_top10
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,0,198,"
",5633,-58.58393096923828,0.0001768095389707014,560,0.0,0.0,0.0,5145,-58.334686279296875,0.0002268565440317616,434,0.0,0.0,0.0,2644,-58.10411071777344,0.0002856860519386828,346,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,1,464,The,30,-59.6677131652832,2.388671418884769e-05,2272,0.0,0.0,0.0,0,-59.443302154541016,2.989626045746263e-05,2022,0.0,0.0,0.0,986,-56.87057876586914,0.00039168455987237394,295,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,2,11949, engineer,5633,-59.5220947265625,5.112050530442502e-06,6481,0.0,0.0,0.0,5145,-59.633201599121094,4.574483227770543e-06,6958,0.0,0.0,0.0,986,-58.60536193847656,1.2785777471435722e-05,3629,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,3,5668, completed,30,-74.4971923828125,3.47698041878175e-05,815,0.0,0.0,0.0,0,-74.62696838378906,3.05380453937687e-05,891,0.0,0.0,0.0,986,-74.64402770996094,3.0021505153854378e-05,899,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,4,262, the,30,-26.02023696899414,8.503880053467583e-06,549,0.0,0.0,0.0,0,-25.494792938232422,1.4381843357114121e-05,347,0.0,0.0,0.0,986,-24.91565704345703,2.566433795436751e-05,222,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,5,4876, task,5633,-45.40714645385742,1.960187091754051e-06,5374,0.0,0.0,0.0,5145,-44.23929977416992,6.302122983470326e-06,2663,0.0,0.0,0.0,2644,-42.852779388427734,2.5214190827682614e-05,1005,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,6,329, for,30,-25.273494720458984,3.138775718980469e-05,137,0.0,0.0,0.0,0,-22.950712203979492,0.0003202815423719585,25,0.0,0.0,0.0,986,-23.60932731628418,0.00016576734196860343,40,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,7,262, the,30,-2.5308990478515625,1.7033130461641122e-06,5039,0.0,0.0,0.0,0,-1.5718730688095093,4.4442072066885885e-06,2089,0.0,0.0,0.0,986,0.7351977229118347,4.4641870772466063e-05,182,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,8,1074, team,5633,-34.33096694946289,1.0827798178070225e-06,5676,0.0,0.0,0.0,5145,-33.24995040893555,3.191682480974123e-06,2846,0.0,0.0,0.0,2644,-31.63764190673828,1.6004289136617444e-05,829,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,9,13,.,30,11.926475524902344,3.236850898247212e-05,73,0.0,0.0,0.0,0,14.596659660339355,0.0004674863303080201,13,0.0,0.0,0.0,986,13.788439750671387,0.0002083356084767729,23,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,10,198,"
",5633,-35.07209396362305,1.5108874322322663e-05,1250,0.0,0.0,0.0,5145,-34.55392074584961,2.5367164198542014e-05,771,0.0,0.0,0.0,2644,-33.476417541503906,7.451189594576135e-05,332,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,11,29881,Copy,30,-53.73265838623047,4.090466518391622e-06,3161,0.0,0.0,0.0,0,-53.4511833190918,5.4202068895392586e-06,2841,0.0,0.0,0.0,986,-51.53105926513672,3.697559441206977e-05,1078,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,12,25,:,30,-0.3718074560165405,2.4498254788341e-05,85,0.0,0.0,0.0,0,0.5954464673995972,6.444779137382284e-05,41,0.0,0.0,0.0,986,1.171520709991455,0.0001146552967838943,24,0.0,0.0,0.0
