layer,negation,question,question_minus_negation
0,0.47857120633125305,0.976179301738739,0.49760809540748596
1,0.5705879330635071,0.9813716411590576,0.41078370809555054
2,0.5620653629302979,0.969275176525116,0.4072098135948181
3,0.566543459892273,0.936535656452179,0.369992196559906
4,0.5425169467926025,0.9006486535072327,0.3581317067146301
5,0.4834926426410675,0.874772310256958,0.3912796676158905
6,0.4713588058948517,0.8368853330612183,0.3655265271663666
7,0.44277381896972656,0.820360541343689,0.3775867223739624
8,0.4292856752872467,0.8075686693191528,0.37828299403190613
9,0.41085630655288696,0.789588212966919,0.378731906414032
10,0.38836637139320374,0.7932392954826355,0.40487292408943176
11,0.13727951049804688,0.9585819244384766,0.8213024139404297
