base_id,syntax_family,class,source,target,source_idx,target_idx
0,simple_svo,negation,The student examined a beautiful painting.,The student did not examine a beautiful painting.,0,1190
0,simple_svo,question,The student examined a beautiful painting.,Did the student examine a beautiful painting?,0,1191
0,simple_svo,future,The student examined a beautiful painting.,The student will examine a beautiful painting.,0,1192
0,simple_svo,uncertainty,The student examined a beautiful painting.,The student may have examined a beautiful painting.,0,1193
0,simple_svo,passive,The student examined a beautiful painting.,A beautiful painting was examined by the student.,0,1194
0,simple_svo,formalization,The student examined a beautiful painting.,It is true that the student examined a beautiful painting.,0,1195
0,with_context,negation,The student examined a beautiful painting before the deadline.,The student did not examine a beautiful painting before the deadline.,1,1196
0,with_context,question,The student examined a beautiful painting before the deadline.,Did the student examine a beautiful painting before the deadline?,1,1197
0,with_context,future,The student examined a beautiful painting before the deadline.,The student will examine a beautiful painting before the deadline.,1,1198
0,with_context,uncertainty,The student examined a beautiful painting before the deadline.,The student may have examined a beautiful painting before the deadline.,1,1199
0,with_context,passive,The student examined a beautiful painting before the deadline.,A beautiful painting was examined by the student before the deadline.,1,1200
0,with_context,formalization,The student examined a beautiful painting before the deadline.,It is true that the student examined a beautiful painting before the deadline.,1,1201
0,relative_clause,negation,The person who examined a beautiful painting was the student.,The person who did not examine a beautiful painting was the student.,2,1202
0,relative_clause,question,The person who examined a beautiful painting was the student.,Was the person who examined a beautiful painting the student?,2,1203
0,relative_clause,future,The person who examined a beautiful painting was the student.,The person who will examine a beautiful painting is the student.,2,1204
0,relative_clause,uncertainty,The person who examined a beautiful painting was the student.,The person who may have examined a beautiful painting was the student.,2,1205
0,relative_clause,passive,The person who examined a beautiful painting was the student.,The person by whom a beautiful painting was examined was the student.,2,1206
0,relative_clause,formalization,The person who examined a beautiful painting was the student.,It is true that the person who examined a beautiful painting was the student.,2,1207
0,temporal_clause,negation,"After the student examined a beautiful painting, the situation changed.","After the student did not examine a beautiful painting, the situation changed.",3,1208
0,temporal_clause,question,"After the student examined a beautiful painting, the situation changed.",Did the situation change after the student examined a beautiful painting?,3,1209
0,temporal_clause,future,"After the student examined a beautiful painting, the situation changed.","After the student will examine a beautiful painting, the situation will change.",3,1210
0,temporal_clause,uncertainty,"After the student examined a beautiful painting, the situation changed.","After the student may have examined a beautiful painting, the situation changed.",3,1211
0,temporal_clause,passive,"After the student examined a beautiful painting, the situation changed.","After a beautiful painting was examined by the student, the situation changed.",3,1212
0,temporal_clause,formalization,"After the student examined a beautiful painting, the situation changed.","It is true that after the student examined a beautiful painting, the situation changed.",3,1213
0,reported_statement,negation,The report said that the student examined a beautiful painting.,The report said that the student did not examine a beautiful painting.,4,1214
0,reported_statement,question,The report said that the student examined a beautiful painting.,Did the report say that the student examined a beautiful painting?,4,1215
0,reported_statement,future,The report said that the student examined a beautiful painting.,The report said that the student will examine a beautiful painting.,4,1216
0,reported_statement,uncertainty,The report said that the student examined a beautiful painting.,The report said that the student may have examined a beautiful painting.,4,1217
0,reported_statement,passive,The report said that the student examined a beautiful painting.,The report said that a beautiful painting was examined by the student.,4,1218
0,reported_statement,formalization,The report said that the student examined a beautiful painting.,It is true that the report said that the student examined a beautiful painting.,4,1219
0,conditional,negation,"If the student examined a beautiful painting, the result mattered.","If the student did not examine a beautiful painting, the result mattered.",5,1220
0,conditional,question,"If the student examined a beautiful painting, the result mattered.",Did the result matter if the student examined a beautiful painting?,5,1221
0,conditional,future,"If the student examined a beautiful painting, the result mattered.","If the student will examine a beautiful painting, the result will matter.",5,1222
0,conditional,uncertainty,"If the student examined a beautiful painting, the result mattered.","If the student may have examined a beautiful painting, the result mattered.",5,1223
0,conditional,passive,"If the student examined a beautiful painting, the result mattered.","If a beautiful painting was examined by the student, the result mattered.",5,1224
0,conditional,formalization,"If the student examined a beautiful painting, the result mattered.","It is true that if the student examined a beautiful painting, the result mattered.",5,1225
1,simple_svo,negation,The researcher created a beautiful painting.,The researcher did not create a beautiful painting.,6,1226
