model,source_set,prompt_style,control,a_marker_rate,b_marker_rate,both_markers_rate,any_marker_rate,content_preserved_rate,a_and_preserved_rate,b_and_preserved_rate,both_and_preserved_rate,mean_generated_chars,rows
gpt2,hard_out_of_template,copy_sentence,a_only_late,0.925,0.0,0.0,0.925,0.525,0.5,0.0,0.0,114.35,40
gpt2,hard_out_of_template,copy_sentence,a_plus_b_late,0.775,0.225,0.125,0.875,0.375,0.275,0.075,0.025,101.375,40
gpt2,hard_out_of_template,copy_sentence,a_then_b_layers,0.725,0.325,0.175,0.875,0.35,0.25,0.125,0.05,99.875,40
gpt2,hard_out_of_template,copy_sentence,b_only_late,0.0,0.925,0.0,0.925,0.65,0.0,0.65,0.0,118.55,40
gpt2,hard_out_of_template,copy_sentence,b_then_a_layers,0.825,0.2,0.1,0.925,0.35,0.3,0.025,0.0,99.4,40
gpt2,hard_out_of_template,copy_sentence,none,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,112.775,40
gpt2,hard_out_of_template,copy_sentence,random_sum_late,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,96.275,40
gpt2,hard_out_of_template,repeat_sentence,a_only_late,0.9,0.0,0.0,0.9,0.675,0.625,0.0,0.0,113.0,40
gpt2,hard_out_of_template,repeat_sentence,a_plus_b_late,0.775,0.3,0.15,0.925,0.325,0.225,0.125,0.025,103.125,40
gpt2,hard_out_of_template,repeat_sentence,a_then_b_layers,0.725,0.225,0.15,0.8,0.325,0.225,0.15,0.075,99.925,40
gpt2,hard_out_of_template,repeat_sentence,b_only_late,0.0,0.925,0.0,0.925,0.775,0.0,0.725,0.0,123.0,40
gpt2,hard_out_of_template,repeat_sentence,b_then_a_layers,0.875,0.15,0.125,0.9,0.375,0.325,0.1,0.075,103.45,40
gpt2,hard_out_of_template,repeat_sentence,none,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,121.15,40
gpt2,hard_out_of_template,repeat_sentence,random_sum_late,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,105.125,40
gpt2,hard_out_of_template,same_sentence,a_only_late,0.9,0.0,0.0,0.9,0.75,0.7,0.0,0.0,116.3,40
gpt2,hard_out_of_template,same_sentence,a_plus_b_late,0.75,0.225,0.125,0.85,0.45,0.375,0.125,0.1,101.35,40
gpt2,hard_out_of_template,same_sentence,a_then_b_layers,0.75,0.275,0.125,0.9,0.45,0.325,0.1,0.025,98.975,40
gpt2,hard_out_of_template,same_sentence,b_only_late,0.0,0.95,0.0,0.95,0.8,0.0,0.8,0.0,121.325,40
gpt2,hard_out_of_template,same_sentence,b_then_a_layers,0.775,0.175,0.125,0.825,0.475,0.375,0.1,0.075,103.825,40
gpt2,hard_out_of_template,same_sentence,none,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,109.875,40
gpt2,hard_out_of_template,same_sentence,random_sum_late,0.0,0.0,0.0,0.0,0.575,0.0,0.0,0.0,109.525,40
