model,language,triple,residualization,mean_ratio_to_exact_null,frac_below_null,mean_subspace_rank,n
Qwen/Qwen3-Embedding-0.6B,ar,NMT,raw,0.6402350321437411,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,ar,NMT,remove_endpoint_position,0.6417911228007661,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,ar,NMT,remove_sign,0.6405609532463904,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,ar,NMT,remove_triple_label,0.6413649986834952,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,ar,NMT,remove_triple_plus_position_plus_sign,0.6430416948414396,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,ar,NQM,raw,0.6141120871334188,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,ar,NQM,remove_endpoint_position,0.616661859861877,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,ar,NQM,remove_sign,0.6131227627304155,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,ar,NQM,remove_triple_label,0.6093177491987811,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,ar,NQM,remove_triple_plus_position_plus_sign,0.6113631297088645,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,ar,NQT,raw,0.6726985878879175,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,ar,NQT,remove_endpoint_position,0.6667510873141146,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,ar,NQT,remove_sign,0.6730902721663258,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,ar,NQT,remove_triple_label,0.6772522325617981,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,ar,NQT,remove_triple_plus_position_plus_sign,0.6730437245274979,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,ar,QMT,raw,0.6553601780063195,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,ar,QMT,remove_endpoint_position,0.6506667605100678,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,ar,QMT,remove_sign,0.6541515863052915,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,ar,QMT,remove_triple_label,0.653181352374336,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,ar,QMT,remove_triple_plus_position_plus_sign,0.6514182815699309,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,de,NMT,raw,0.7801917011189529,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,de,NMT,remove_endpoint_position,0.7781268948637722,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,de,NMT,remove_sign,0.7782569910247018,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,de,NMT,remove_triple_label,0.7793283693211274,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,de,NMT,remove_triple_plus_position_plus_sign,0.7762228632739602,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,de,NQM,raw,0.585489319352915,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,de,NQM,remove_endpoint_position,0.5797962618152342,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,de,NQM,remove_sign,0.5710729973306454,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,de,NQM,remove_triple_label,0.5811838676256463,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,de,NQM,remove_triple_plus_position_plus_sign,0.575109368111931,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,de,NQT,raw,0.6801822553687131,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,de,NQT,remove_endpoint_position,0.6651921368742232,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,de,NQT,remove_sign,0.6660441151227198,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,de,NQT,remove_triple_label,0.688025849066895,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,de,NQT,remove_triple_plus_position_plus_sign,0.6770909623174709,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,de,QMT,raw,0.6154522534384012,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,de,QMT,remove_endpoint_position,0.640187082885686,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,de,QMT,remove_sign,0.6210274389054814,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,de,QMT,remove_triple_label,0.6205102177663484,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,de,QMT,remove_triple_plus_position_plus_sign,0.6477930441939027,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,en,NMT,raw,0.7138239488061763,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,en,NMT,remove_endpoint_position,0.7145091324007944,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,en,NMT,remove_sign,0.7137928614073871,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,en,NMT,remove_triple_label,0.7140528240640567,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,en,NMT,remove_triple_plus_position_plus_sign,0.7153728736633265,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,en,NQM,raw,0.4896730186614022,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,en,NQM,remove_endpoint_position,0.4897163170220094,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,en,NQM,remove_sign,0.48174367405642693,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,en,NQM,remove_triple_label,0.496405608629313,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,en,NQM,remove_triple_plus_position_plus_sign,0.4932847648305545,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,en,NQT,raw,0.6512782735544486,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,en,NQT,remove_endpoint_position,0.6456909307018823,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,en,NQT,remove_sign,0.6493800890754045,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,en,NQT,remove_triple_label,0.655309251942792,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,en,NQT,remove_triple_plus_position_plus_sign,0.6501306998455222,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,en,QMT,raw,0.5956075499403917,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,en,QMT,remove_endpoint_position,0.6027916834858273,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,en,QMT,remove_sign,0.597530941106493,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,en,QMT,remove_triple_label,0.5971369004518204,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,en,QMT,remove_triple_plus_position_plus_sign,0.6058321257548377,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,es,NMT,raw,0.7113340736342509,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,es,NMT,remove_endpoint_position,0.711359539419345,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,es,NMT,remove_sign,0.7111977462492951,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,es,NMT,remove_triple_label,0.7099662633969354,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,es,NMT,remove_triple_plus_position_plus_sign,0.7100949791846688,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,es,NQM,raw,0.5346530425825237,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,es,NQM,remove_endpoint_position,0.5328320871812474,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,es,NQM,remove_sign,0.5306014690881858,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,es,NQM,remove_triple_label,0.5376893654363442,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,es,NQM,remove_triple_plus_position_plus_sign,0.5379867648363189,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,es,NQT,raw,0.7511102241944868,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,es,NQT,remove_endpoint_position,0.7475055865326748,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,es,NQT,remove_sign,0.7479718261063025,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,es,NQT,remove_triple_label,0.7606654576823693,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,es,NQT,remove_triple_plus_position_plus_sign,0.7605149606841229,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,es,QMT,raw,0.677019861898485,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,es,QMT,remove_endpoint_position,0.6744606900563475,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,es,QMT,remove_sign,0.6779590691556803,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,es,QMT,remove_triple_label,0.6798319096815484,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,es,QMT,remove_triple_plus_position_plus_sign,0.6792426804145674,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,fr,NMT,raw,0.7077287450424454,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,fr,NMT,remove_endpoint_position,0.7024945586159316,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,fr,NMT,remove_sign,0.7069839258071405,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,fr,NMT,remove_triple_label,0.7083085901913955,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,fr,NMT,remove_triple_plus_position_plus_sign,0.7002560744460208,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,fr,NQM,raw,0.49757214022939955,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,fr,NQM,remove_endpoint_position,0.5101483543250548,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,fr,NQM,remove_sign,0.49354410526298037,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,fr,NQM,remove_triple_label,0.5000136657098885,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,fr,NQM,remove_triple_plus_position_plus_sign,0.5122006606986099,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,fr,NQT,raw,0.7059122579545439,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,fr,NQT,remove_endpoint_position,0.7122943310515789,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,fr,NQT,remove_sign,0.7048433098634095,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,fr,NQT,remove_triple_label,0.7074687810985624,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,fr,NQT,remove_triple_plus_position_plus_sign,0.717947525092392,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,fr,QMT,raw,0.6537584529113407,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,fr,QMT,remove_endpoint_position,0.661390884406163,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,fr,QMT,remove_sign,0.654710304188577,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,fr,QMT,remove_triple_label,0.6537789519719904,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,fr,QMT,remove_triple_plus_position_plus_sign,0.6638170431703782,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,ru,NMT,raw,0.5979741285397583,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,ru,NMT,remove_endpoint_position,0.5951843392600823,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,ru,NMT,remove_sign,0.5976625939259299,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,ru,NMT,remove_triple_label,0.5934015789290996,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,ru,NMT,remove_triple_plus_position_plus_sign,0.5881670296142762,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,ru,NQM,raw,0.32388050386746337,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,ru,NQM,remove_endpoint_position,0.3286486384174262,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,ru,NQM,remove_sign,0.3248977218449894,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,ru,NQM,remove_triple_label,0.3260765605338996,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,ru,NQM,remove_triple_plus_position_plus_sign,0.3323271264054426,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,ru,NQT,raw,0.6072043394045502,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,ru,NQT,remove_endpoint_position,0.6045795580526402,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,ru,NQT,remove_sign,0.6072847314972302,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,ru,NQT,remove_triple_label,0.6070034159947895,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,ru,NQT,remove_triple_plus_position_plus_sign,0.6046542244273815,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,ru,QMT,raw,0.5656186579275816,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,ru,QMT,remove_endpoint_position,0.5600004072953942,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,ru,QMT,remove_sign,0.5657122503009112,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,ru,QMT,remove_triple_label,0.5627395556409217,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,ru,QMT,remove_triple_plus_position_plus_sign,0.5573286026288921,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,zh,NMT,raw,0.8181818273056914,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,zh,NMT,remove_endpoint_position,0.8181818181806967,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,zh,NMT,remove_sign,0.8181818181807309,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,zh,NMT,remove_triple_label,0.8181818181807404,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,zh,NMT,remove_triple_plus_position_plus_sign,0.818181818180722,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,zh,NQM,raw,0.5434611831405978,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,zh,NQM,remove_endpoint_position,0.5541194005989888,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,zh,NQM,remove_sign,0.5381263353303765,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,zh,NQM,remove_triple_label,0.5447802645580889,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,zh,NQM,remove_triple_plus_position_plus_sign,0.5547131547936195,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,zh,NQT,raw,0.6589001921897619,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,zh,NQT,remove_endpoint_position,0.6632921907862855,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,zh,NQT,remove_sign,0.6550348560254914,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,zh,NQT,remove_triple_label,0.6498654688304482,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,zh,NQT,remove_triple_plus_position_plus_sign,0.6559589622909356,1.0,11.0,96
Qwen/Qwen3-Embedding-0.6B,zh,QMT,raw,0.5498087374201558,1.0,0.0,96
Qwen/Qwen3-Embedding-0.6B,zh,QMT,remove_endpoint_position,0.560229646885708,1.0,6.0,96
Qwen/Qwen3-Embedding-0.6B,zh,QMT,remove_sign,0.5496721296828697,1.0,1.0,96
Qwen/Qwen3-Embedding-0.6B,zh,QMT,remove_triple_label,0.5336877763745901,1.0,4.0,96
Qwen/Qwen3-Embedding-0.6B,zh,QMT,remove_triple_plus_position_plus_sign,0.5468398202768193,1.0,11.0,96
