model,language,triple,residualization,mean_ratio_to_exact_null,frac_below_null,mean_subspace_rank,n
BAAI/bge-m3,ar,NMT,raw,0.6917328488954696,1.0,0.0,96
BAAI/bge-m3,ar,NMT,remove_endpoint_position,0.6921923195416372,1.0,6.0,96
BAAI/bge-m3,ar,NMT,remove_sign,0.6932666151630739,1.0,1.0,96
BAAI/bge-m3,ar,NMT,remove_triple_label,0.6915092241227075,1.0,4.0,96
BAAI/bge-m3,ar,NMT,remove_triple_plus_position_plus_sign,0.6936861201576119,1.0,11.0,96
BAAI/bge-m3,ar,NQM,raw,0.5498477498402189,1.0,0.0,96
BAAI/bge-m3,ar,NQM,remove_endpoint_position,0.5369879802446424,1.0,6.0,96
BAAI/bge-m3,ar,NQM,remove_sign,0.5568857702747225,1.0,1.0,96
BAAI/bge-m3,ar,NQM,remove_triple_label,0.5572520105880564,1.0,4.0,96
BAAI/bge-m3,ar,NQM,remove_triple_plus_position_plus_sign,0.5415470322974495,1.0,11.0,96
BAAI/bge-m3,ar,NQT,raw,0.5342740926742517,1.0,0.0,96
BAAI/bge-m3,ar,NQT,remove_endpoint_position,0.5242328402093965,1.0,6.0,96
BAAI/bge-m3,ar,NQT,remove_sign,0.5353785377131874,1.0,1.0,96
BAAI/bge-m3,ar,NQT,remove_triple_label,0.5423428247355013,1.0,4.0,96
BAAI/bge-m3,ar,NQT,remove_triple_plus_position_plus_sign,0.5280313655396044,1.0,11.0,96
BAAI/bge-m3,ar,QMT,raw,0.5635897793079611,1.0,0.0,96
BAAI/bge-m3,ar,QMT,remove_endpoint_position,0.5796825873613809,1.0,6.0,96
BAAI/bge-m3,ar,QMT,remove_sign,0.5643326124216611,1.0,1.0,96
BAAI/bge-m3,ar,QMT,remove_triple_label,0.5670399744684641,1.0,4.0,96
BAAI/bge-m3,ar,QMT,remove_triple_plus_position_plus_sign,0.5862126781063269,1.0,11.0,96
BAAI/bge-m3,de,NMT,raw,0.7891041052921909,1.0,0.0,96
BAAI/bge-m3,de,NMT,remove_endpoint_position,0.7910297452512621,1.0,6.0,96
BAAI/bge-m3,de,NMT,remove_sign,0.7896594896253042,1.0,1.0,96
BAAI/bge-m3,de,NMT,remove_triple_label,0.7892916096141467,1.0,4.0,96
BAAI/bge-m3,de,NMT,remove_triple_plus_position_plus_sign,0.7922988289011085,1.0,11.0,96
BAAI/bge-m3,de,NQM,raw,0.6375913197010072,1.0,0.0,96
BAAI/bge-m3,de,NQM,remove_endpoint_position,0.5992745265512277,1.0,6.0,96
BAAI/bge-m3,de,NQM,remove_sign,0.6180112945188411,1.0,1.0,96
BAAI/bge-m3,de,NQM,remove_triple_label,0.6507098192560169,1.0,4.0,96
BAAI/bge-m3,de,NQM,remove_triple_plus_position_plus_sign,0.6118305241994981,1.0,11.0,96
BAAI/bge-m3,de,NQT,raw,0.8232564595802582,1.0,0.0,96
BAAI/bge-m3,de,NQT,remove_endpoint_position,0.8109975249758183,1.0,6.0,96
BAAI/bge-m3,de,NQT,remove_sign,0.812591137214174,1.0,1.0,96
BAAI/bge-m3,de,NQT,remove_triple_label,0.821489150776647,1.0,4.0,96
BAAI/bge-m3,de,NQT,remove_triple_plus_position_plus_sign,0.8064761774913944,1.0,11.0,96
BAAI/bge-m3,de,QMT,raw,0.695320884520238,1.0,0.0,96
BAAI/bge-m3,de,QMT,remove_endpoint_position,0.7080061552058695,1.0,6.0,96
BAAI/bge-m3,de,QMT,remove_sign,0.6986714340483058,1.0,1.0,96
BAAI/bge-m3,de,QMT,remove_triple_label,0.6888541947180699,1.0,4.0,96
BAAI/bge-m3,de,QMT,remove_triple_plus_position_plus_sign,0.7018152401153074,1.0,11.0,96
BAAI/bge-m3,en,NMT,raw,0.7751633622066009,1.0,0.0,96
BAAI/bge-m3,en,NMT,remove_endpoint_position,0.7725352570995715,1.0,6.0,96
BAAI/bge-m3,en,NMT,remove_sign,0.7751829820226558,1.0,1.0,96
BAAI/bge-m3,en,NMT,remove_triple_label,0.7762653248944821,1.0,4.0,96
BAAI/bge-m3,en,NMT,remove_triple_plus_position_plus_sign,0.7738529306698557,1.0,11.0,96
BAAI/bge-m3,en,NQM,raw,0.5817561608544249,1.0,0.0,96
BAAI/bge-m3,en,NQM,remove_endpoint_position,0.5819017195474033,1.0,6.0,96
BAAI/bge-m3,en,NQM,remove_sign,0.5652688676998266,1.0,1.0,96
BAAI/bge-m3,en,NQM,remove_triple_label,0.5904473762559576,1.0,4.0,96
BAAI/bge-m3,en,NQM,remove_triple_plus_position_plus_sign,0.589274909621501,1.0,11.0,96
BAAI/bge-m3,en,NQT,raw,0.734380401175503,1.0,0.0,96
BAAI/bge-m3,en,NQT,remove_endpoint_position,0.7369528324402502,1.0,6.0,96
BAAI/bge-m3,en,NQT,remove_sign,0.7230784057823515,1.0,1.0,96
BAAI/bge-m3,en,NQT,remove_triple_label,0.7419686459020317,1.0,4.0,96
BAAI/bge-m3,en,NQT,remove_triple_plus_position_plus_sign,0.7473575774229438,1.0,11.0,96
BAAI/bge-m3,en,QMT,raw,0.7108860344353994,1.0,0.0,96
BAAI/bge-m3,en,QMT,remove_endpoint_position,0.7341691324327776,1.0,6.0,96
BAAI/bge-m3,en,QMT,remove_sign,0.7141843173576979,1.0,1.0,96
BAAI/bge-m3,en,QMT,remove_triple_label,0.7018645744428569,1.0,4.0,96
BAAI/bge-m3,en,QMT,remove_triple_plus_position_plus_sign,0.7323381209626053,1.0,11.0,96
BAAI/bge-m3,es,NMT,raw,0.7861411674655853,1.0,0.0,96
BAAI/bge-m3,es,NMT,remove_endpoint_position,0.7791239402273898,1.0,6.0,96
BAAI/bge-m3,es,NMT,remove_sign,0.7840369040640947,1.0,1.0,96
BAAI/bge-m3,es,NMT,remove_triple_label,0.7825978928996714,1.0,4.0,96
BAAI/bge-m3,es,NMT,remove_triple_plus_position_plus_sign,0.7767803783640312,1.0,11.0,96
BAAI/bge-m3,es,NQM,raw,0.6313412886381868,1.0,0.0,96
BAAI/bge-m3,es,NQM,remove_endpoint_position,0.6241682599740328,1.0,6.0,96
BAAI/bge-m3,es,NQM,remove_sign,0.6190091571691032,1.0,1.0,96
BAAI/bge-m3,es,NQM,remove_triple_label,0.6426149566645512,1.0,4.0,96
BAAI/bge-m3,es,NQM,remove_triple_plus_position_plus_sign,0.6413925023191943,1.0,11.0,96
BAAI/bge-m3,es,NQT,raw,0.7654990547121724,1.0,0.0,96
BAAI/bge-m3,es,NQT,remove_endpoint_position,0.7557497257312221,1.0,6.0,96
BAAI/bge-m3,es,NQT,remove_sign,0.7574292902949419,1.0,1.0,96
