model,template_id,pair,a,b,comm_norm,antisym_error,relative_antisym_error,cos_comm_ab_neg_comm_ba
distilgpt2,0,NQ_vs_QN,N,Q,5.551231384277344,0.0,0.0,1.0
distilgpt2,0,NM_vs_MN,N,M,5.621241092681885,0.0,0.0,1.0
distilgpt2,0,NT_vs_TN,N,T,10.340713500976562,0.0,0.0,1.0
distilgpt2,0,QM_vs_MQ,Q,M,7.588191032409668,0.0,0.0,1.0000001192092896
distilgpt2,0,QT_vs_TQ,Q,T,2.7740910053253174,0.0,0.0,0.9999998807907104
distilgpt2,0,MT_vs_TM,M,T,9.639674186706543,0.0,0.0,1.0
distilgpt2,1,NQ_vs_QN,N,Q,6.181445121765137,0.0,0.0,0.9999999403953552
distilgpt2,1,NM_vs_MN,N,M,4.023366928100586,0.0,0.0,0.9999998807907104
distilgpt2,1,NT_vs_TN,N,T,11.809972763061523,0.0,0.0,1.0000001192092896
distilgpt2,1,QM_vs_MQ,Q,M,8.10057544708252,0.0,0.0,0.9999998211860657
distilgpt2,1,QT_vs_TQ,Q,T,1.7190016508102417,0.0,0.0,0.9999998807907104
distilgpt2,1,MT_vs_TM,M,T,10.377535820007324,0.0,0.0,0.9999998807907104
distilgpt2,2,NQ_vs_QN,N,Q,6.602145195007324,0.0,0.0,1.000000238418579
distilgpt2,2,NM_vs_MN,N,M,5.332642555236816,0.0,0.0,1.0000001192092896
distilgpt2,2,NT_vs_TN,N,T,10.422905921936035,0.0,0.0,1.0
distilgpt2,2,QM_vs_MQ,Q,M,7.1512451171875,0.0,0.0,1.0000001192092896
distilgpt2,2,QT_vs_TQ,Q,T,2.5697829723358154,0.0,0.0,1.0
distilgpt2,2,MT_vs_TM,M,T,7.156213283538818,0.0,0.0,1.0000001192092896
distilgpt2,3,NQ_vs_QN,N,Q,5.723017692565918,0.0,0.0,1.0
distilgpt2,3,NM_vs_MN,N,M,5.184052467346191,0.0,0.0,0.9999998807907104
distilgpt2,3,NT_vs_TN,N,T,10.817697525024414,0.0,0.0,1.0
distilgpt2,3,QM_vs_MQ,Q,M,8.145307540893555,0.0,0.0,1.0000001192092896
distilgpt2,3,QT_vs_TQ,Q,T,2.7427849769592285,0.0,0.0,1.0
distilgpt2,3,MT_vs_TM,M,T,12.352616310119629,0.0,0.0,1.0000001192092896
distilgpt2,4,NQ_vs_QN,N,Q,5.390326976776123,0.0,0.0,1.0
distilgpt2,4,NM_vs_MN,N,M,4.863024711608887,0.0,0.0,1.0000001192092896
distilgpt2,4,NT_vs_TN,N,T,7.539255619049072,0.0,0.0,1.0
distilgpt2,4,QM_vs_MQ,Q,M,8.036730766296387,0.0,0.0,1.0
distilgpt2,4,QT_vs_TQ,Q,T,3.582911968231201,0.0,0.0,0.9999998807907104
distilgpt2,4,MT_vs_TM,M,T,8.30864143371582,0.0,0.0,1.000000238418579
distilgpt2,5,NQ_vs_QN,N,Q,5.4841227531433105,0.0,0.0,1.0
distilgpt2,5,NM_vs_MN,N,M,4.690302848815918,0.0,0.0,0.9999998807907104
distilgpt2,5,NT_vs_TN,N,T,13.230623245239258,0.0,0.0,1.0000001192092896
distilgpt2,5,QM_vs_MQ,Q,M,8.270124435424805,0.0,0.0,0.9999998807907104
distilgpt2,5,QT_vs_TQ,Q,T,2.5516903400421143,0.0,0.0,0.9999997615814209
distilgpt2,5,MT_vs_TM,M,T,14.255952835083008,0.0,0.0,1.0
distilgpt2,6,NQ_vs_QN,N,Q,5.197351932525635,0.0,0.0,1.0000001192092896
distilgpt2,6,NM_vs_MN,N,M,5.041350841522217,0.0,0.0,0.9999998807907104
distilgpt2,6,NT_vs_TN,N,T,9.264196395874023,0.0,0.0,0.9999999403953552
distilgpt2,6,QM_vs_MQ,Q,M,7.265458583831787,0.0,0.0,0.9999998807907104
distilgpt2,6,QT_vs_TQ,Q,T,2.816887855529785,0.0,0.0,1.0
distilgpt2,6,MT_vs_TM,M,T,11.011984825134277,0.0,0.0,0.9999999403953552
distilgpt2,7,NQ_vs_QN,N,Q,5.398427963256836,0.0,0.0,1.000000238418579
distilgpt2,7,NM_vs_MN,N,M,4.307412624359131,0.0,0.0,1.0000001192092896
distilgpt2,7,NT_vs_TN,N,T,9.70669937133789,0.0,0.0,1.0
distilgpt2,7,QM_vs_MQ,Q,M,7.09382438659668,0.0,0.0,1.0
distilgpt2,7,QT_vs_TQ,Q,T,1.1459853649139404,0.0,0.0,0.9999998211860657
distilgpt2,7,MT_vs_TM,M,T,7.102574825286865,0.0,0.0,1.000000238418579
distilgpt2,8,NQ_vs_QN,N,Q,5.629202365875244,0.0,0.0,1.0
distilgpt2,8,NM_vs_MN,N,M,5.093684673309326,0.0,0.0,0.9999998807907104
distilgpt2,8,NT_vs_TN,N,T,11.232421875,0.0,0.0,1.0
distilgpt2,8,QM_vs_MQ,Q,M,7.146976470947266,0.0,0.0,1.0000001192092896
distilgpt2,8,QT_vs_TQ,Q,T,1.590741753578186,0.0,0.0,0.9999999403953552
distilgpt2,8,MT_vs_TM,M,T,12.645523071289062,0.0,0.0,0.9999998807907104
distilgpt2,9,NQ_vs_QN,N,Q,8.131691932678223,0.0,0.0,0.9999998211860657
distilgpt2,9,NM_vs_MN,N,M,4.799152851104736,0.0,0.0,0.9999998211860657
distilgpt2,9,NT_vs_TN,N,T,13.045689582824707,0.0,0.0,1.0
distilgpt2,9,QM_vs_MQ,Q,M,9.689184188842773,0.0,0.0,0.9999998807907104
distilgpt2,9,QT_vs_TQ,Q,T,3.4207751750946045,0.0,0.0,0.9999999403953552
distilgpt2,9,MT_vs_TM,M,T,12.316384315490723,0.0,0.0,1.0
distilgpt2,10,NQ_vs_QN,N,Q,5.7550368309021,0.0,0.0,1.000000238418579
distilgpt2,10,NM_vs_MN,N,M,5.1406683921813965,0.0,0.0,0.9999998211860657
distilgpt2,10,NT_vs_TN,N,T,8.783574104309082,0.0,0.0,1.000000238418579
distilgpt2,10,QM_vs_MQ,Q,M,7.288725852966309,0.0,0.0,1.0
distilgpt2,10,QT_vs_TQ,Q,T,2.049283027648926,0.0,0.0,0.9999998807907104
distilgpt2,10,MT_vs_TM,M,T,8.574052810668945,0.0,0.0,0.9999999403953552
distilgpt2,11,NQ_vs_QN,N,Q,5.337210178375244,0.0,0.0,1.000000238418579
distilgpt2,11,NM_vs_MN,N,M,4.7685651779174805,0.0,0.0,0.9999998807907104
distilgpt2,11,NT_vs_TN,N,T,8.506562232971191,0.0,0.0,1.0
distilgpt2,11,QM_vs_MQ,Q,M,7.551571369171143,0.0,0.0,0.9999998807907104
distilgpt2,11,QT_vs_TQ,Q,T,2.2931461334228516,0.0,0.0,0.9999999403953552
distilgpt2,11,MT_vs_TM,M,T,9.229247093200684,0.0,0.0,1.0000001192092896
distilgpt2,12,NQ_vs_QN,N,Q,5.597201824188232,0.0,0.0,0.9999998807907104
distilgpt2,12,NM_vs_MN,N,M,4.1673583984375,0.0,0.0,0.9999999403953552
distilgpt2,12,NT_vs_TN,N,T,13.033740043640137,0.0,0.0,1.0
distilgpt2,12,QM_vs_MQ,Q,M,7.165171146392822,0.0,0.0,1.0
distilgpt2,12,QT_vs_TQ,Q,T,3.3221797943115234,0.0,0.0,0.9999999403953552
distilgpt2,12,MT_vs_TM,M,T,11.765334129333496,0.0,0.0,0.9999998807907104
distilgpt2,13,NQ_vs_QN,N,Q,5.641191482543945,0.0,0.0,1.0
distilgpt2,13,NM_vs_MN,N,M,6.207103252410889,0.0,0.0,0.9999999403953552
distilgpt2,13,NT_vs_TN,N,T,11.926830291748047,0.0,0.0,1.0
distilgpt2,13,QM_vs_MQ,Q,M,6.912012100219727,0.0,0.0,1.0000001192092896
distilgpt2,13,QT_vs_TQ,Q,T,2.6185054779052734,0.0,0.0,0.9999998807907104
distilgpt2,13,MT_vs_TM,M,T,8.932381629943848,0.0,0.0,1.0000001192092896
distilgpt2,14,NQ_vs_QN,N,Q,5.748308181762695,0.0,0.0,0.9999999403953552
distilgpt2,14,NM_vs_MN,N,M,4.292571544647217,0.0,0.0,1.0000001192092896
distilgpt2,14,NT_vs_TN,N,T,10.702424049377441,0.0,0.0,0.9999999403953552
distilgpt2,14,QM_vs_MQ,Q,M,6.9848246574401855,0.0,0.0,0.9999998807907104
distilgpt2,14,QT_vs_TQ,Q,T,2.2017621994018555,0.0,0.0,0.9999999403953552
distilgpt2,14,MT_vs_TM,M,T,11.604415893554688,0.0,0.0,1.0000001192092896
distilgpt2,15,NQ_vs_QN,N,Q,5.467128276824951,0.0,0.0,0.9999998807907104
distilgpt2,15,NM_vs_MN,N,M,4.817405700683594,0.0,0.0,0.9999999403953552
distilgpt2,15,NT_vs_TN,N,T,9.252964973449707,0.0,0.0,1.0
distilgpt2,15,QM_vs_MQ,Q,M,7.655670642852783,0.0,0.0,0.9999998807907104
distilgpt2,15,QT_vs_TQ,Q,T,3.580660343170166,0.0,0.0,0.9999999403953552
distilgpt2,15,MT_vs_TM,M,T,11.343894958496094,0.0,0.0,1.0000001192092896
distilgpt2,16,NQ_vs_QN,N,Q,5.011556148529053,0.0,0.0,1.0
