model,language,triple,residualization,mean_ratio_to_exact_null,frac_below_null,mean_subspace_rank,n
sentence-transformers/LaBSE,ar,NMT,raw,0.6489888747367557,1.0,0.0,96
sentence-transformers/LaBSE,ar,NMT,remove_endpoint_position,0.6462892803559811,1.0,6.0,96
sentence-transformers/LaBSE,ar,NMT,remove_sign,0.6498943858054648,1.0,1.0,96
sentence-transformers/LaBSE,ar,NMT,remove_triple_label,0.6492367823637173,1.0,4.0,96
sentence-transformers/LaBSE,ar,NMT,remove_triple_plus_position_plus_sign,0.6454282759520752,1.0,11.0,96
sentence-transformers/LaBSE,ar,NQM,raw,0.527077634160683,1.0,0.0,96
sentence-transformers/LaBSE,ar,NQM,remove_endpoint_position,0.5199179835605213,1.0,6.0,96
sentence-transformers/LaBSE,ar,NQM,remove_sign,0.5289151081649784,1.0,1.0,96
sentence-transformers/LaBSE,ar,NQM,remove_triple_label,0.5184934046429598,1.0,4.0,96
sentence-transformers/LaBSE,ar,NQM,remove_triple_plus_position_plus_sign,0.5030987508838101,1.0,11.0,96
sentence-transformers/LaBSE,ar,NQT,raw,0.5997728973985522,1.0,0.0,96
sentence-transformers/LaBSE,ar,NQT,remove_endpoint_position,0.5955618112962906,1.0,6.0,96
sentence-transformers/LaBSE,ar,NQT,remove_sign,0.5998831099374166,1.0,1.0,96
sentence-transformers/LaBSE,ar,NQT,remove_triple_label,0.5936490544899916,1.0,4.0,96
sentence-transformers/LaBSE,ar,NQT,remove_triple_plus_position_plus_sign,0.586532371226092,1.0,11.0,96
sentence-transformers/LaBSE,ar,QMT,raw,0.533696881669536,1.0,0.0,96
sentence-transformers/LaBSE,ar,QMT,remove_endpoint_position,0.5464704924853171,1.0,6.0,96
sentence-transformers/LaBSE,ar,QMT,remove_sign,0.5322621535403135,1.0,1.0,96
sentence-transformers/LaBSE,ar,QMT,remove_triple_label,0.5347513922949997,1.0,4.0,96
sentence-transformers/LaBSE,ar,QMT,remove_triple_plus_position_plus_sign,0.5493994489867986,1.0,11.0,96
sentence-transformers/LaBSE,de,NMT,raw,0.7421375068467749,1.0,0.0,96
sentence-transformers/LaBSE,de,NMT,remove_endpoint_position,0.7497403378402842,1.0,6.0,96
sentence-transformers/LaBSE,de,NMT,remove_sign,0.7431325645606051,1.0,1.0,96
sentence-transformers/LaBSE,de,NMT,remove_triple_label,0.7423330059496286,1.0,4.0,96
sentence-transformers/LaBSE,de,NMT,remove_triple_plus_position_plus_sign,0.7473097407638746,1.0,11.0,96
sentence-transformers/LaBSE,de,NQM,raw,0.5819124557746062,1.0,0.0,96
sentence-transformers/LaBSE,de,NQM,remove_endpoint_position,0.5387709860455504,1.0,6.0,96
sentence-transformers/LaBSE,de,NQM,remove_sign,0.5570452294219381,1.0,1.0,96
sentence-transformers/LaBSE,de,NQM,remove_triple_label,0.552307307507273,1.0,4.0,96
sentence-transformers/LaBSE,de,NQM,remove_triple_plus_position_plus_sign,0.5153452701805784,1.0,11.0,96
sentence-transformers/LaBSE,de,NQT,raw,0.6981842218679036,1.0,0.0,96
sentence-transformers/LaBSE,de,NQT,remove_endpoint_position,0.665032714462578,1.0,6.0,96
sentence-transformers/LaBSE,de,NQT,remove_sign,0.6840326991701025,1.0,1.0,96
sentence-transformers/LaBSE,de,NQT,remove_triple_label,0.6859444599086149,1.0,4.0,96
