base_id,syntax_family,class,source,target,source_idx,target_idx
0,simple_svo,negation,The student examined a beautiful painting.,The student did not examine a beautiful painting.,0,1775
0,simple_svo,question,The student examined a beautiful painting.,Did the student examine a beautiful painting?,0,1776
0,simple_svo,future,The student examined a beautiful painting.,The student will examine a beautiful painting.,0,1777
0,simple_svo,uncertainty,The student examined a beautiful painting.,The student may have examined a beautiful painting.,0,1778
0,simple_svo,passive,The student examined a beautiful painting.,A beautiful painting was examined by the student.,0,1779
0,simple_svo,formalization,The student examined a beautiful painting.,It is true that the student examined a beautiful painting.,0,1780
0,with_context,negation,The student examined a beautiful painting before the deadline.,The student did not examine a beautiful painting before the deadline.,1,1781
0,with_context,question,The student examined a beautiful painting before the deadline.,Did the student examine a beautiful painting before the deadline?,1,1782
0,with_context,future,The student examined a beautiful painting before the deadline.,The student will examine a beautiful painting before the deadline.,1,1783
0,with_context,uncertainty,The student examined a beautiful painting before the deadline.,The student may have examined a beautiful painting before the deadline.,1,1784
0,with_context,passive,The student examined a beautiful painting before the deadline.,A beautiful painting was examined by the student before the deadline.,1,1785
0,with_context,formalization,The student examined a beautiful painting before the deadline.,It is true that the student examined a beautiful painting before the deadline.,1,1786
0,relative_clause,negation,The person who examined a beautiful painting was the student.,The person who did not examine a beautiful painting was the student.,2,1787
0,relative_clause,question,The person who examined a beautiful painting was the student.,Was the person who examined a beautiful painting the student?,2,1788
0,relative_clause,future,The person who examined a beautiful painting was the student.,The person who will examine a beautiful painting is the student.,2,1789
0,relative_clause,uncertainty,The person who examined a beautiful painting was the student.,The person who may have examined a beautiful painting was the student.,2,1790
0,relative_clause,passive,The person who examined a beautiful painting was the student.,The person by whom a beautiful painting was examined was the student.,2,1791
0,relative_clause,formalization,The person who examined a beautiful painting was the student.,It is true that the person who examined a beautiful painting was the student.,2,1792
0,temporal_clause,negation,"After the student examined a beautiful painting, the situation changed.","After the student did not examine a beautiful painting, the situation changed.",3,1793
0,temporal_clause,question,"After the student examined a beautiful painting, the situation changed.",Did the situation change after the student examined a beautiful painting?,3,1794
0,temporal_clause,future,"After the student examined a beautiful painting, the situation changed.","After the student will examine a beautiful painting, the situation will change.",3,1795
0,temporal_clause,uncertainty,"After the student examined a beautiful painting, the situation changed.","After the student may have examined a beautiful painting, the situation changed.",3,1796
0,temporal_clause,passive,"After the student examined a beautiful painting, the situation changed.","After a beautiful painting was examined by the student, the situation changed.",3,1797
0,temporal_clause,formalization,"After the student examined a beautiful painting, the situation changed.","It is true that after the student examined a beautiful painting, the situation changed.",3,1798
0,reported_statement,negation,The report said that the student examined a beautiful painting.,The report said that the student did not examine a beautiful painting.,4,1799
0,reported_statement,question,The report said that the student examined a beautiful painting.,Did the report say that the student examined a beautiful painting?,4,1800
