model,base_id,class,source,target,delta_norm
bert-base-uncased,0,negation,The musician played the rule.,The musician did not play the rule.,5.261990547180176
bert-base-uncased,0,question,The musician played the rule.,Did the musician play the rule?,5.50787878036499
bert-base-uncased,0,past_to_future,The musician played the rule.,The musician will play the rule.,4.697357654571533
bert-base-uncased,0,certainty_to_uncertainty,The musician played the rule.,The musician may have played the rule.,5.886692047119141
bert-base-uncased,0,active_to_passive,The musician played the rule.,The rule was played by the musician.,5.080153465270996
bert-base-uncased,0,formalization,The musician played the rule.,It is true that the musician played the rule.,5.688665390014648
bert-base-uncased,1,negation,The student found the problem.,The student did not find the problem.,4.221043109893799
bert-base-uncased,1,question,The student found the problem.,Did the student find the problem?,4.7365264892578125
bert-base-uncased,1,past_to_future,The student found the problem.,The student will find the problem.,4.254721164703369
bert-base-uncased,1,certainty_to_uncertainty,The student found the problem.,The student may have found the problem.,5.033150672912598
bert-base-uncased,1,active_to_passive,The student found the problem.,The problem was found by the student.,3.7326419353485107
bert-base-uncased,1,formalization,The student found the problem.,It is true that the student found the problem.,4.728126525878906
bert-base-uncased,2,negation,The musician played a short story.,The musician did not play a short story.,5.7418904304504395
bert-base-uncased,2,question,The musician played a short story.,Did the musician play a short story?,5.0407209396362305
bert-base-uncased,2,past_to_future,The musician played a short story.,The musician will play a short story.,3.6522507667541504
bert-base-uncased,2,certainty_to_uncertainty,The musician played a short story.,The musician may have played a short story.,5.320072174072266
bert-base-uncased,2,active_to_passive,The musician played a short story.,A short story was played by the musician.,4.9296722412109375
bert-base-uncased,2,formalization,The musician played a short story.,It is true that the musician played a short story.,6.033506393432617
bert-base-uncased,3,negation,The programmer discovered the meal.,The programmer did not discover the meal.,4.568542003631592
bert-base-uncased,3,question,The programmer discovered the meal.,Did the programmer discover the meal?,5.217651844024658
bert-base-uncased,3,past_to_future,The programmer discovered the meal.,The programmer will discover the meal.,3.9910314083099365
bert-base-uncased,3,certainty_to_uncertainty,The programmer discovered the meal.,The programmer may have discovered the meal.,4.956958770751953
bert-base-uncased,3,active_to_passive,The programmer discovered the meal.,The meal was discovered by the programmer.,4.4139180183410645
bert-base-uncased,3,formalization,The programmer discovered the meal.,It is true that the programmer discovered the meal.,5.2778496742248535
bert-base-uncased,4,negation,The doctor explained the aircraft.,The doctor did not explain the aircraft.,4.3017964363098145
bert-base-uncased,4,question,The doctor explained the aircraft.,Did the doctor explain the aircraft?,5.265898704528809
bert-base-uncased,4,past_to_future,The doctor explained the aircraft.,The doctor will explain the aircraft.,4.248786926269531
bert-base-uncased,4,certainty_to_uncertainty,The doctor explained the aircraft.,The doctor may have explained the aircraft.,4.7585129737854
