language,template_id,kind,label,source,op_a,op_b,op_c,ab_text,ba_text,abc_text,bca_text,cab_text,acb_text,cba_text,bac_text
en,0,pair,NQ_vs_QN,The analyst supported the theory before the deadline.,N,Q,,Did the analyst fail to support the theory before the deadline?,Is it false that the analyst supported the theory before the deadline?,,,,,,
en,0,pair,NM_vs_MN,The analyst supported the theory before the deadline.,N,M,,The analyst did not support apparently the theory before the deadline.,The analyst apparently did not support the theory before the deadline.,,,,,,
en,0,pair,NT_vs_TN,The analyst supported the theory before the deadline.,N,T,,The analyst failed to will support the theory before the deadline.,The analyst did not support the theory before the deadline.,,,,,,
en,0,pair,QM_vs_MQ,The analyst supported the theory before the deadline.,Q,M,,Is it apparently true that the analyst supported the theory before the deadline?,Did the analyst apparently support the theory before the deadline?,,,,,,
en,0,pair,QT_vs_TQ,The analyst supported the theory before the deadline.,Q,T,,Will it be true that the analyst supported the theory before the deadline?,Will the analyst supported the theory before the deadline?,,,,,,
en,0,pair,MT_vs_TM,The analyst supported the theory before the deadline.,M,T,,The analyst apparently will support the theory before the deadline.,The analyst will support apparently the theory before the deadline.,,,,,,
en,0,triple,NQM,The analyst supported the theory before the deadline.,N,Q,M,,,Is it apparently true that the analyst did not support the theory before the deadline?,Is it false that the analyst supported apparently the theory before the deadline?,Did the analyst fail to support the theory before the deadline?,Did the analyst fail to support the theory before the deadline?,Is it false that the analyst apparently supported the theory before the deadline?,Is it false that the analyst supported apparently the theory before the deadline?
en,0,triple,NQT,The analyst supported the theory before the deadline.,N,Q,T,,,Will it be true that the analyst did not support the theory before the deadline?,Is it false that the analyst will support the theory before the deadline?,Will the analyst did not support the theory before the deadline?,Will the analyst did not support the theory before the deadline?,Is it false that the analyst will support the theory before the deadline?,Is it false that the analyst will support the theory before the deadline?
en,0,triple,NMT,The analyst supported the theory before the deadline.,N,M,T,,,The analyst failed to will support apparently the theory before the deadline.,The analyst apparently did not support the theory before the deadline.,The analyst did not support apparently the theory before the deadline.,The analyst failed to will support apparently the theory before the deadline.,The analyst did not support apparently the theory before the deadline.,The analyst apparently failed to will support the theory before the deadline.
en,0,triple,QMT,The analyst supported the theory before the deadline.,Q,M,T,,,Is it apparently true that the analyst will support the theory before the deadline?,Will the analyst apparently supported the theory before the deadline?,Is it apparently true that the analyst will support the theory before the deadline?,Is it apparently true that the analyst will support the theory before the deadline?,Will the analyst apparently supported the theory before the deadline?,Will it be true that the analyst apparently supported the theory before the deadline?
en,1,pair,NQ_vs_QN,The engineer supported the theory after the review.,N,Q,,Did the engineer fail to support the theory after the review?,Is it false that the engineer supported the theory after the review?,,,,,,
en,1,pair,NM_vs_MN,The engineer supported the theory after the review.,N,M,,The engineer failed to support reportedly the theory after the review.,The engineer reportedly failed to support the theory after the review.,,,,,,
en,1,pair,NT_vs_TN,The engineer supported the theory after the review.,N,T,,The engineer failed to is going to support the theory after the review.,The engineer did not support the theory after the review.,,,,,,
en,1,pair,QM_vs_MQ,The engineer supported the theory after the review.,Q,M,,Is it reportedly true that the engineer supported the theory after the review?,Did the engineer reportedly support the theory after the review?,,,,,,
en,1,pair,QT_vs_TQ,The engineer supported the theory after the review.,Q,T,,Will it be true that the engineer supported the theory after the review?,Will the engineer supported the theory after the review?,,,,,,
