model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test
sentence-transformers/LaBSE,100.0,en,additive,N,0.9493204951286316,0.18101954460144043,160
sentence-transformers/LaBSE,100.0,en,linear,N,0.9006097516205294,0.336643167005962,160
sentence-transformers/LaBSE,100.0,en,affine,N,0.9002891778945923,0.33581796288490295,160
sentence-transformers/LaBSE,100.0,en,additive,Q,0.9536206126213074,0.17113859951496124,160
sentence-transformers/LaBSE,100.0,en,linear,Q,0.8576970232246366,0.506644085677366,160
sentence-transformers/LaBSE,100.0,en,affine,Q,0.8499467968940735,0.5417068004608154,160
sentence-transformers/LaBSE,100.0,en,additive,M,0.9544792175292969,0.15352928638458252,160
sentence-transformers/LaBSE,100.0,en,linear,M,0.9118786174440711,0.2630878987743374,160
sentence-transformers/LaBSE,100.0,en,affine,M,0.909991443157196,0.26525264978408813,160
sentence-transformers/LaBSE,100.0,en,additive,T,0.9380899667739868,0.22355082631111145,160
sentence-transformers/LaBSE,100.0,en,linear,T,0.8972957669943196,0.3453093561099253,160
sentence-transformers/LaBSE,100.0,en,affine,T,0.8987671136856079,0.3396824896335602,160
sentence-transformers/LaBSE,100.0,es,additive,N,0.8900077939033508,0.31113845109939575,160
sentence-transformers/LaBSE,100.0,es,linear,N,0.8749128412978461,0.31459654719469327,160
sentence-transformers/LaBSE,100.0,es,affine,N,0.8738639950752258,0.31847628951072693,160
sentence-transformers/LaBSE,100.0,es,additive,Q,0.9316412210464478,0.21415142714977264,160
sentence-transformers/LaBSE,100.0,es,linear,Q,0.8636142450267016,0.43800888648867636,160
sentence-transformers/LaBSE,100.0,es,affine,Q,0.8592748641967773,0.4594193398952484,160
sentence-transformers/LaBSE,100.0,es,additive,M,0.9439899325370789,0.16905489563941956,160
sentence-transformers/LaBSE,100.0,es,linear,M,0.9178362745233384,0.17805883152407498,160
sentence-transformers/LaBSE,100.0,es,affine,M,0.9184075593948364,0.17654567956924438,160
sentence-transformers/LaBSE,100.0,es,additive,T,0.9051445126533508,0.293889582157135,160
sentence-transformers/LaBSE,100.0,es,linear,T,0.913976763601281,0.25907025781050524,160
sentence-transformers/LaBSE,100.0,es,affine,T,0.9143519401550293,0.2576654553413391,160
sentence-transformers/LaBSE,100.0,fr,additive,N,0.9002231359481812,0.32109537720680237,160
sentence-transformers/LaBSE,100.0,fr,linear,N,0.9067660106833226,0.2945456849421725,160
sentence-transformers/LaBSE,100.0,fr,affine,N,0.9070407748222351,0.29345402121543884,160
sentence-transformers/LaBSE,100.0,fr,additive,Q,0.924344539642334,0.3636522889137268,160
sentence-transformers/LaBSE,100.0,fr,linear,Q,0.9189138046783386,0.39100978417505006,160
sentence-transformers/LaBSE,100.0,fr,affine,Q,0.9196235537528992,0.3884606957435608,160
sentence-transformers/LaBSE,100.0,fr,additive,M,0.9318933486938477,0.20376572012901306,160
sentence-transformers/LaBSE,100.0,fr,linear,M,0.9051968569612697,0.2388701005446836,160
sentence-transformers/LaBSE,100.0,fr,affine,M,0.9048738479614258,0.2388298511505127,160
sentence-transformers/LaBSE,100.0,fr,additive,T,0.9353839159011841,0.2247476875782013,160
sentence-transformers/LaBSE,100.0,fr,linear,T,0.9223263455778502,0.2780072894540879,160
sentence-transformers/LaBSE,100.0,fr,affine,T,0.9222366213798523,0.2772148549556732,160
sentence-transformers/LaBSE,100.0,de,additive,N,0.922206699848175,0.3143025040626526,160
sentence-transformers/LaBSE,100.0,de,linear,N,0.8878190495295618,0.4251086281334695,160
sentence-transformers/LaBSE,100.0,de,affine,N,0.8882625699043274,0.4224238991737366,160
sentence-transformers/LaBSE,100.0,de,additive,Q,0.9307405352592468,0.3201735317707062,160
sentence-transformers/LaBSE,100.0,de,linear,Q,0.9373939850053745,0.2850153482915863,160
sentence-transformers/LaBSE,100.0,de,affine,Q,0.9375444650650024,0.28446143865585327,160
sentence-transformers/LaBSE,100.0,de,additive,M,0.9248083233833313,0.2901768088340759,160
sentence-transformers/LaBSE,100.0,de,linear,M,0.876896769455108,0.3934294885752104,160
sentence-transformers/LaBSE,100.0,de,affine,M,0.8753817677497864,0.3960013687610626,160
sentence-transformers/LaBSE,100.0,de,additive,T,0.9187755584716797,0.3156082034111023,160
sentence-transformers/LaBSE,100.0,de,linear,T,0.8880460528723582,0.3875736161018398,160
sentence-transformers/LaBSE,100.0,de,affine,T,0.8882182836532593,0.3871500492095947,160
sentence-transformers/LaBSE,100.0,ru,additive,N,0.8941947817802429,0.22830943763256073,160
sentence-transformers/LaBSE,100.0,ru,linear,N,0.7912274309252564,0.3854722096673403,160
sentence-transformers/LaBSE,100.0,ru,affine,N,0.7841200828552246,0.3943682014942169,160
sentence-transformers/LaBSE,100.0,ru,additive,Q,0.9002760648727417,0.25206825137138367,160
sentence-transformers/LaBSE,100.0,ru,linear,Q,0.7955248227846349,0.4812480863365714,160
sentence-transformers/LaBSE,100.0,ru,affine,Q,0.7955127954483032,0.4764213562011719,160
sentence-transformers/LaBSE,100.0,ru,additive,M,0.8837202191352844,0.26412588357925415,160
sentence-transformers/LaBSE,100.0,ru,linear,M,0.8015303593458614,0.37563144824335043,160
sentence-transformers/LaBSE,100.0,ru,affine,M,0.7943388819694519,0.3835981488227844,160
sentence-transformers/LaBSE,100.0,ru,additive,T,0.8780864477157593,0.27426645159721375,160
sentence-transformers/LaBSE,100.0,ru,linear,T,0.757019689010823,0.46853491028108174,160
sentence-transformers/LaBSE,100.0,ru,affine,T,0.7489200234413147,0.4813215732574463,160
sentence-transformers/LaBSE,100.0,zh,additive,N,0.9384737014770508,0.15943941473960876,160
sentence-transformers/LaBSE,100.0,zh,linear,N,0.8815048034948714,0.2740706688901774,160
sentence-transformers/LaBSE,100.0,zh,affine,N,0.8811982274055481,0.2754754424095154,160
sentence-transformers/LaBSE,100.0,zh,additive,Q,0.9229196310043335,0.20962083339691162,160
sentence-transformers/LaBSE,100.0,zh,linear,Q,0.84368692276114,0.40322189206837206,160
sentence-transformers/LaBSE,100.0,zh,affine,Q,0.8410409092903137,0.41466087102890015,160
sentence-transformers/LaBSE,100.0,zh,additive,M,0.9376081228256226,0.16172568500041962,160
sentence-transformers/LaBSE,100.0,zh,linear,M,0.8834023349067056,0.2234412914830342,160
sentence-transformers/LaBSE,100.0,zh,affine,M,0.8839252591133118,0.22299394011497498,160
sentence-transformers/LaBSE,100.0,zh,additive,T,0.9534164667129517,0.12614449858665466,160
sentence-transformers/LaBSE,100.0,zh,linear,T,0.8963552596368934,0.24639287609638605,160
sentence-transformers/LaBSE,100.0,zh,affine,T,0.8956247568130493,0.24884216487407684,160
sentence-transformers/LaBSE,100.0,ar,additive,N,0.8875210881233215,0.3094971179962158,160
sentence-transformers/LaBSE,100.0,ar,linear,N,0.7349603705475832,0.6526637550175679,160
sentence-transformers/LaBSE,100.0,ar,affine,N,0.6834610104560852,0.7431500554084778,160
sentence-transformers/LaBSE,100.0,ar,additive,Q,0.8563591837882996,0.373615026473999,160
sentence-transformers/LaBSE,100.0,ar,linear,Q,0.7147307988467068,0.6207205571357521,160
sentence-transformers/LaBSE,100.0,ar,affine,Q,0.6464579701423645,0.7496064901351929,160
sentence-transformers/LaBSE,100.0,ar,additive,M,0.9380863904953003,0.17991116642951965,160
sentence-transformers/LaBSE,100.0,ar,linear,M,0.7797401449840671,0.5263963495537068,160
sentence-transformers/LaBSE,100.0,ar,affine,M,0.762135922908783,0.5535185933113098,160
sentence-transformers/LaBSE,100.0,ar,additive,T,0.8868389129638672,0.3256572186946869,160
sentence-transformers/LaBSE,100.0,ar,linear,T,0.7434305375421575,0.6527937532758402,160
sentence-transformers/LaBSE,100.0,ar,affine,T,0.7047880291938782,0.7176567316055298,160
